E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.493238,0.531883,0.101634,0.113966
10,7,0.8,6,0.507116,0.448832,0.100232,0.123663
10,7,0.8,7,0.521930,0.533553,0.098715,0.113762
10,7,0.8,8,0.553711,0.533674,0.095377,0.113748
10,7,0.8,9,0.558477,0.539803,0.094866,0.112998
10,7,0.8,10,0.578958,0.516267,0.092640,0.115851
10,7,0.8,11,0.591082,0.468443,0.091297,0.121443
10,7,0.8,12,0.625192,0.494248,0.087406,0.118459
10,7,0.8,13,0.639236,0.433280,0.085753,0.125395
10,7,0.8,14,0.653189,0.454813,0.084078,0.122990
10,7,0.8,15,0.657035,0.407478,0.083610,0.128218
