REAL,ESTIMATE
0.163903,0.321343
0.170062,0.351691
0.347229,0.272170
0.152061,0.186484
0.246802,0.242792
0.352440,0.298695
0.481288,0.430758
0.158693,0.330244
0.263856,0.213835
0.270962,0.267530
0.232591,0.166056
0.271909,0.225362
0.280199,0.375687
0.402179,0.388922
0.233539,0.296568
0.190905,0.218328
0.325912,0.220163
0.238749,0.278807
0.293226,0.288850
0.273330,0.363549
0.402179,0.308025
0.441497,0.385935
0.305069,0.397234
0.385126,0.317388
0.149218,0.187571
0.462814,0.236348
0.608716,0.552755
0.518712,0.488652
0.424917,0.357580
0.165324,0.366218
0.191378,0.190405
0.081004,0.052572
0.243013,0.165142
0.430602,0.316521
0.464235,0.388729
0.434391,0.384832
0.409995,0.333465
0.491710,0.401193
0.369967,0.301762
0.402653,0.285698
0.285647,0.323974
0.337755,0.325868
0.563240,0.453191
0.364756,0.427383
0.243960,0.288071
0.108953,0.219097
0.280436,0.162130
0.337755,0.295821
0.404548,0.304393
0.484604,0.412098
0.629559,0.623144
0.596400,0.494004
0.197537,0.274294
0.169114,0.169709
0.165798,0.302174
0.204169,0.261279
0.190431,0.159804
0.242539,0.280056
0.120322,0.322592
0.204169,0.250333
0.046897,0.191239
0.174325,0.081432
0.183325,0.199752
0.131217,0.215849
0.299621,0.249677
0.461393,0.298506
0.058266,0.374868
0.086689,0.127012
0.183325,0.172329
0.159640,0.229290
0.175272,0.160123
0.307911,0.279513
0.425865,0.334785
0.311227,0.384198
0.379441,0.313345
0.337281,0.375857
0.147324,0.365704
0.285647,0.217936
0.267172,0.336889
0.216485,0.309608
0.088110,0.320843
0.106585,0.149358
0.110374,0.210652
0.252013,0.176197
0.200379,0.240922
0.407390,0.251164
0.324017,0.357324
0.158693,0.313282
0.430128,0.201563
0.212459,0.306066
0.052108,0.186887
0.119375,0.120696
0.179536,0.182959
0.204169,0.239544
0.053055,0.239540
0.255803,0.106417
0.282804,0.197394
0.229275,0.168610
0.169588,0.163925
0.125059,0.143329
0.096163,0.186022
0.069635,0.147973
0.177641,0.085964
0.194694,0.201924
0.160114,0.218823
0.083373,0.124235
0.168640,0.088094
0.157271,0.216562
0.103742,0.212621
0.184273,0.154578
0.155377,0.229077
0.174325,0.162983
0.126007,0.136775
0.115111,0.085679
0.052582,0.079847
0.079109,0.076437
0.181431,0.144246
0.214117,0.211579
0.105637,0.212430
0.136428,0.130538
0.144955,0.160284
0.254382,0.193364
0.118427,0.237817
0.168167,0.148199
0.140692,0.255061
0.171009,0.184966
0.086689,0.167331
0.080057,0.149674
0.084794,0.130092
0.051161,0.111493
0.057319,0.119250
0.094268,0.144722
0.089531,0.148694
0.065846,0.128225
0.136428,0.112298
0.134060,0.127343
0.079583,0.108491
0.116532,0.089616
0.027949,0.107140
0.172904,0.064947
0.319280,0.175540
0.111795,0.223823
0.003790,0.109506
0.078636,0.065257
0.281857,0.132757
0.154429,0.206711
0.135007,0.181537
0.216011,0.125038
0.189957,0.180534
0.051161,0.121529
0.042160,0.087316
0.122217,0.124682
0.093321,0.110437
0.234012,0.125104
0.306964,0.201958
0.110848,0.253933
0.060635,0.129911
0.030791,0.114454
0.096163,0.137963
0.132639,0.129647
0.252487,0.139277
0.267172,0.194953
0.187115,0.223798
0.177641,0.177697
0.270014,0.191012
0.145902,0.219214
0.265277,0.138700
0.282804,0.206537
0.211274,0.233001
0.130744,0.192524
0.106111,0.132572
0.161772,0.153091
0.185694,0.175131
0.149692,0.157514
0.129796,0.143322
0.148745,0.146900
0.288963,0.200947
0.186641,0.239641
0.217432,0.166946
0.306964,0.195833
0.243486,0.258050
0.124586,0.209385
0.136902,0.160718
0.217432,0.192655
0.176220,0.197316
0.174325,0.125368
0.086689,0.163708
0.096163,0.154551
0.227854,0.128663
0.270423,0.223627
0.425456,0.306019
0.215538,0.343566
0.127428,0.182786
0.144008,0.153181
0.233065,0.191248
0.310279,0.230192
0.306016,0.312488
0.404548,0.277378
0.376125,0.327604
0.298910,0.301463
0.384178,0.279681
0.312648,0.313669
0.233065,0.276002
0.337755,0.250081
0.322596,0.257868
0.198010,0.272197
0.171483,0.205547
0.359072,0.207702
0.181431,0.296324
0.171009,0.214638
0.289436,0.185543
0.121743,0.233808
0.161535,0.194829
0.066319,0.204467
0.201326,0.175025
0.323543,0.230795
0.477499,0.326370
0.428233,0.427358
0.348176,0.312015
0.207958,0.376872
0.295595,0.220290
0.117954,0.284139
0.236855,0.178321
0.379441,0.212744
0.270488,0.365911
0.263856,0.329755
0.533870,0.508865
0.462814,0.483474
0.425391,0.351614
0.289436,0.407343
0.227854,0.246072
0.414495,0.262965
0.477973,0.352110
0.418285,0.426449
0.198010,0.361716
0.190431,0.233432
0.564661,0.553290
0.837518,0.546477
1.000000,0.886621
0.662719,0.721401
0.345808,0.462067
0.083373,0.266167
0.173378,0.172928
0.441023,0.227790
0.467077,0.396512
0.391284,0.428184
0.369019,0.415475
0.543818,0.483808
0.324964,0.381931
0.601611,0.319685
0.656087,0.614236
0.091900,0.142225
0.129796,0.236561
0.324964,0.221582
0.323543,0.361883
0.459498,0.401758
0.243013,0.350357
0.345808,0.259648
0.640928,0.486796
0.680246,0.673822
0.571293,0.530671
0.466130,0.612362
0.368072,0.376450
0.444813,0.372046
0.309806,0.294555
0.351492,0.362914
0.603979,0.399665
0.411653,0.424915
0.328754,0.425568
0.261014,0.295255
0.075320,0.277300
0.136428,0.170524
0.311227,0.247562
0.186641,0.261748
0.185694,0.238878
0.205116,0.249690
0.381810,0.311986
0.369019,0.344826
0.481762,0.351289
0.723354,0.590392
0.275225,0.374613
0.365703,0.198409
0.202748,0.278508
0.322122,0.242541
0.481288,0.379108
0.170062,0.394851
0.094742,0.312292
0.289910,0.348368
0.613690,0.564720
0.191378,0.477731
0.159640,0.208285
0.383231,0.251202
0.634297,0.634916
0.401705,0.404867
0.190431,0.225295
0.328754,0.201168
0.610137,0.395812
0.718617,0.675543
0.632402,0.753296
0.487447,0.411613
0.285647,0.348046
0.074372,0.221757
0.181431,0.131060
0.359072,0.225856
0.543818,0.369222
0.659877,0.443042
0.171956,0.379837
0.186641,0.323856
0.370914,0.279816
0.559924,0.317555
0.423970,0.491034
0.207011,0.161275
0.413074,0.343098
0.671720,0.641846
0.713880,0.614395
0.518712,0.483583
0.274751,0.312469
0.041180,0.330652
0.065960,0.187006
0.158848,0.205167
0.466604,0.334413
0.574135,0.457270
0.415917,0.433985
0.421127,0.482200
0.462340,0.387554
0.478446,0.458034
0.298437,0.379272
0.136902,0.272749
0.268593,0.266398
0.430602,0.380600
0.172430,0.292891
0.230223,0.198822
0.274751,0.260751
0.495026,0.323383
0.632402,0.412871
0.537660,0.509649
0.352440,0.510330
0.428944,0.374463
0.411180,0.393928
0.050687,0.389071
0.243013,0.229409
0.456182,0.310000
0.506869,0.406729
0.190431,0.304207
0.283752,0.303086
0.442444,0.317691
0.463288,0.401061
0.398389,0.379794
0.199905,0.286256
0.195642,0.211486
0.328517,0.240390
0.380862,0.394691
0.358124,0.370665
0.161061,0.244984
0.166272,0.197250
0.293700,0.249627
0.378494,0.278132
0.106585,0.313974
0.151113,0.251702
0.458077,0.206485
0.170535,0.335417
0.334912,0.209889
0.283752,0.312937
0.111795,0.294049
0.344387,0.342613
0.548555,0.353606
0.549976,0.395838
0.553766,0.596485
0.214590,0.412414
0.078162,0.244222
0.225012,0.175557
0.227380,0.224454
0.294647,0.226575
0.342492,0.246455
0.471341,0.488984
0.681194,0.417324
0.898153,0.897205
0.508290,0.424343
0.486973,0.340317
0.610611,0.417291
0.561345,0.435341
0.317385,0.356637
0.171483,0.182160
0.342018,0.293297
0.414495,0.393108
0.506395,0.368690
0.502132,0.409412
0.478446,0.416213
0.265751,0.266162
0.510185,0.381112
0.540502,0.393478
0.270962,0.222342
0.161061,0.250104
0.333965,0.355017
0.239697,0.314475
0.265751,0.290918
0.237802,0.274551
0.231644,0.193317
0.288963,0.260370
0.539081,0.431142
0.399337,0.373525
0.490763,0.389437
0.321175,0.245075
0.109901,0.227551
0.248224,0.218608
0.226433,0.247556
0.241118,0.167529
0.249645,0.302502
0.616296,0.305554
0.323543,0.405922
0.271909,0.300905
0.377072,0.286084
0.313122,0.345058
0.292752,0.354221
0.289436,0.294660
0.351966,0.297615
0.267646,0.382074
0.296068,0.308007
0.539081,0.324261
0.325438,0.402739
0.358124,0.317227
0.348650,0.355035
0.327333,0.261487
0.151587,0.265093
0.144481,0.174141
0.133586,0.232182
0.299384,0.312675
0.433918,0.305158
0.314543,0.400176
0.218380,0.223824
0.228328,0.227451
0.243486,0.228638
0.049266,0.216269
0.119848,0.073267
0.172904,0.164875
0.274041,0.241836
0.244434,0.236839
0.197063,0.275322
0.384652,0.189624
0.132639,0.163659
0.136428,0.035071
0.208906,0.162767
0.280910,0.307338
0.338702,0.254530
0.230696,0.301511
0.188536,0.274126
0.279488,0.163105
0.403600,0.267886
0.517764,0.504121
0.365703,0.424031
0.239697,0.239706
0.162956,0.213227
0.209853,0.180895
0.247276,0.235727
0.078636,0.231046
0.311227,0.298002
0.272146,0.250943
0.166746,0.201213
0.072951,0.234315
0.150166,0.112887
0.125533,0.151209
0.303648,0.207406
0.216485,0.302063
0.109901,0.189967
0.130270,0.130027
0.078636,0.180662
0.181431,0.086168
0.321175,0.224696
0.332070,0.263547
0.170062,0.262509
0.124112,0.211339
0.273804,0.172675
0.136428,0.188000
0.246329,0.120056
0.191378,0.274678
0.314543,0.212571
0.245381,0.266389
0.076741,0.235343
0.099005,0.129815
0.132165,0.173305
0.154429,0.141064
0.153482,0.178330
0.045950,0.131984
0.056371,0.157331
0.114164,0.171136
0.181904,0.151964
0.101374,0.191945
0.237802,0.148315
0.270962,0.233702
0.093794,0.282177
0.081952,0.141513
0.210801,0.143525
0.302226,0.197431
0.025107,0.249687
0.023685,0.088363
0.136428,0.084880
0.172430,0.212971
0.054003,0.211706
