REAL,ESTIMATE
0.183154,0.154199
0.178248,0.157933
0.173342,0.207425
0.168436,0.174804
0.163530,0.155971
0.158624,0.144928
0.153718,0.173584
0.148812,0.149421
0.143905,0.139130
0.138999,0.191340
0.134093,0.170739
0.129187,0.151909
0.124281,0.152069
0.119375,0.146398
0.114469,0.192138
0.109562,0.173495
0.104656,0.144452
0.099750,0.125035
0.094844,0.160392
0.089938,0.128832
0.085032,0.103542
0.080126,0.156703
0.075220,0.162869
0.070313,0.144329
0.065407,0.104024
0.060501,0.144205
0.055595,0.146867
0.050689,0.132105
0.089359,0.113116
0.214590,0.155658
0.237328,0.226380
0.201800,0.205447
0.410706,0.179523
0.450024,0.296418
0.525817,0.323992
0.416864,0.387153
0.319280,0.320538
0.226433,0.268407
0.222170,0.222971
0.201326,0.204142
0.102795,0.202614
0.171483,0.185850
0.165324,0.201537
0.103742,0.194609
0.077688,0.154908
0.186168,0.158376
0.388441,0.210854
0.416390,0.277765
0.427286,0.309370
0.307911,0.298666
0.092847,0.245488
0.175272,0.085021
0.129323,0.160637
0.142113,0.170140
0.340597,0.156667
0.534818,0.234065
0.687826,0.348651
0.596874,0.521564
0.563240,0.516813
0.461866,0.398085
0.491710,0.373541
0.467551,0.406989
0.463288,0.288683
0.408811,0.282323
0.293226,0.300546
0.229749,0.271073
0.292279,0.232914
0.369967,0.235354
0.146376,0.286754
0.201326,0.195326
0.229275,0.246493
0.152534,0.237235
0.276646,0.202478
0.473235,0.246295
0.437707,0.345052
0.614874,0.321135
0.735670,0.521983
0.719564,0.576909
0.304595,0.650747
0.137849,0.347043
0.110374,0.209939
0.197537,0.196591
0.335149,0.268042
0.485552,0.346469
0.273330,0.471388
0.310753,0.417634
0.315017,0.221332
0.275225,0.245196
0.386547,0.285884
0.270962,0.286729
0.180009,0.218937
0.237802,0.229549
0.315490,0.267087
0.419706,0.322857
0.284225,0.396487
0.199432,0.305509
0.196116,0.196610
0.176694,0.217943
0.104216,0.258382
0.177167,0.207065
0.232938,0.242274
0.219158,0.281468
0.285232,0.147467
0.581241,0.233340
0.350545,0.489735
0.117006,0.297220
0.226907,0.246588
0.293226,0.320304
0.276172,0.315690
0.457603,0.301328
0.656561,0.314382
0.745144,0.455635
0.480815,0.454354
0.260540,0.336932
0.311701,0.185960
0.447655,0.259752
0.487920,0.383074
0.238749,0.341330
0.107532,0.425331
0.115585,0.301689
0.435812,0.198230
0.504974,0.583106
0.495500,0.502261
0.432970,0.355666
0.472762,0.265377
0.465182,0.229757
0.355756,0.283372
0.215064,0.287146
0.267172,0.237124
0.110374,0.318369
0.233539,0.327330
0.491236,0.381207
0.479394,0.210084
0.374704,0.253735
