E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.608945,0.669854,0.091788,0.077729
10,4,0.8,6,0.618806,0.669726,0.090623,0.077744
10,4,0.8,7,0.616754,0.656466,0.090867,0.079290
10,4,0.8,8,0.640503,0.689524,0.088006,0.075378
10,4,0.8,9,0.645786,0.632073,0.087357,0.082056
10,4,0.8,10,0.638440,0.672103,0.088259,0.077464
10,4,0.8,11,0.647575,0.655641,0.087137,0.079385
10,4,0.8,12,0.640432,0.645506,0.088015,0.080545
10,4,0.8,13,0.699893,0.411367,0.080409,0.103790
10,4,0.8,14,0.667981,0.622726,0.084576,0.083092
10,4,0.8,15,0.560651,0.583323,0.097291,0.087324
