REAL,ESTIMATE
0.634203,0.428450
0.496812,0.500541
0.399130,0.393293
0.296893,0.419138
0.273849,0.346895
0.281701,0.372774
0.289552,0.377252
0.297403,0.338022
0.305255,0.336412
0.313106,0.342433
0.320957,0.353401
0.328809,0.336828
0.336660,0.348669
0.344511,0.325185
0.352363,0.341830
0.360214,0.334211
0.368065,0.339426
0.375917,0.371095
0.383768,0.398291
0.391619,0.334878
0.399471,0.343088
0.407322,0.372396
0.415173,0.393677
0.423025,0.281693
0.430876,0.399780
0.438728,0.422028
0.446579,0.397519
0.454430,0.408002
0.462282,0.391148
0.470133,0.334341
0.477984,0.370727
0.485836,0.421948
0.493687,0.444671
0.428905,0.434246
0.304928,0.320860
0.272464,0.349098
0.425507,0.329869
0.265507,0.422767
0.383188,0.312478
0.200580,0.388080
0.275942,0.292240
0.427826,0.359147
0.391884,0.438684
0.287536,0.398042
0.329855,0.327296
0.351304,0.367737
0.283478,0.362173
0.195942,0.304073
0.334493,0.248654
0.502609,0.345716
0.282319,0.412635
0.180870,0.254872
0.193623,0.235699
0.161159,0.215742
0.290435,0.264379
0.313043,0.299313
0.259710,0.382010
0.176232,0.233530
0.158841,0.205259
0.188986,0.180833
0.160580,0.244182
0.213333,0.255054
0.273623,0.278441
0.238841,0.207477
0.339710,0.252236
0.266667,0.264419
0.233623,0.260803
0.249275,0.301019
0.174493,0.277921
0.218551,0.241543
0.271304,0.280703
0.227826,0.280937
0.121159,0.252744
0.273043,0.207341
0.239420,0.296450
0.210435,0.275354
0.211594,0.243729
0.163478,0.246765
0.044058,0.241480
0.150725,0.159449
0.191884,0.195533
0.182029,0.202473
0.178551,0.212685
0.289855,0.216570
0.303768,0.276191
0.322319,0.275081
0.160580,0.296661
0.086377,0.172932
0.031884,0.160448
0.168116,0.125425
0.113043,0.207050
0.072464,0.160768
0.118841,0.146446
0.008116,0.176547
0.139710,0.131616
0.186667,0.162259
0.100870,0.189797
0.078841,0.139849
0.075942,0.125460
0.084638,0.132778
0.142609,0.133504
0.135072,0.140519
0.164638,0.152507
0.267826,0.175411
0.226087,0.216607
0.166201,0.189692
0.224886,0.155487
0.218478,0.176196
0.023188,0.190499
0.101739,0.099391
0.191304,0.128096
0.157101,0.180015
0.157101,0.195054
0.147246,0.176118
0.026087,0.159595
0.015072,0.124612
0.009855,0.116416
0.005797,0.079717
0.166957,0.103771
0.172174,0.160103
0.074783,0.151589
0.003478,0.103261
0.150725,0.065291
0.234783,0.164627
0.180290,0.204869
0.020290,0.140423
0.020290,0.067753
0.027246,0.096260
0.017391,0.099951
0.019130,0.082323
0.055072,0.066011
0.142029,0.098453
0.188986,0.156772
0.144348,0.161705
0.234203,0.110993
0.148986,0.168661
0.020870,0.153589
0.023188,0.080293
0.071884,0.072255
