REAL,ESTIMATE
0.165217,0.090473
0.223188,0.162250
0.309565,0.157616
0.226667,0.178787
0.210435,0.160388
0.151304,0.185209
0.162899,0.156275
0.224928,0.161645
0.201159,0.158553
0.173913,0.189816
0.213913,0.176630
0.308986,0.206124
0.198261,0.206807
0.232464,0.193450
0.361739,0.204156
0.364058,0.233954
0.287536,0.258579
0.206377,0.242004
0.150145,0.202978
0.161739,0.193628
0.201739,0.216082
0.172174,0.205360
0.166957,0.180228
0.369275,0.220785
0.235942,0.318943
0.275362,0.241251
0.440000,0.219019
0.331014,0.291773
0.325797,0.271356
0.202899,0.278346
0.346667,0.209762
0.255652,0.263497
0.212174,0.275700
0.108986,0.236938
0.435362,0.185469
0.426087,0.386356
0.412754,0.376548
0.513623,0.354386
0.364058,0.355632
0.315942,0.354055
0.203478,0.315897
0.303768,0.238594
0.339130,0.240786
0.295652,0.367301
0.477681,0.346042
0.417971,0.406632
0.288116,0.377442
0.197101,0.366503
0.255652,0.251102
0.491014,0.288670
0.305507,0.406721
0.435942,0.334868
0.216232,0.408821
0.227246,0.277660
0.316522,0.298013
0.242319,0.339203
0.375652,0.284826
0.346087,0.376215
0.406377,0.427423
0.345507,0.371771
0.248696,0.299144
0.200000,0.262739
0.245217,0.242951
0.217101,0.295149
0.101449,0.306695
0.329275,0.227708
0.325797,0.332769
0.243478,0.278364
0.263768,0.259977
0.211014,0.266496
0.304348,0.257744
0.369275,0.333212
0.536812,0.367434
0.444638,0.393152
0.438261,0.432920
0.446957,0.386599
0.387826,0.381504
0.356522,0.335324
0.280000,0.324154
0.354203,0.328852
0.322319,0.348558
0.404058,0.343042
0.369855,0.301610
0.401739,0.364978
0.427246,0.385474
0.366377,0.409294
0.335072,0.395295
0.392464,0.359711
0.344928,0.406790
0.426667,0.396596
0.390725,0.415188
0.320290,0.354159
0.311304,0.375843
0.561739,0.376900
0.534493,0.509031
0.577391,0.479233
0.698551,0.534715
0.457391,0.559698
0.356522,0.446316
0.359420,0.372739
0.438261,0.371690
0.273623,0.349930
0.331594,0.377871
0.346087,0.378991
0.348406,0.373439
0.329275,0.372649
0.393623,0.371620
0.403478,0.400478
0.541449,0.415108
0.762319,0.578754
0.735652,0.627717
0.671304,0.585147
0.432464,0.542891
0.542029,0.431589
0.531014,0.424923
0.166957,0.178272
0.301449,0.298481
1.000000,0.395332
0.714203,0.644080
0.436522,0.612387
0.409275,0.332132
0.500290,0.500401
0.294493,0.372327
