E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,2,0.8,5,0.604523,0.445987,0.037472,0.036118
10,2,0.8,6,0.627837,0.414206,0.036351,0.037139
10,2,0.8,7,0.646832,0.333864,0.035411,0.039604
10,2,0.8,8,0.627283,0.446344,0.036378,0.036106
10,2,0.8,9,0.638125,0.506112,0.035845,0.034101
10,2,0.8,10,0.667294,0.471253,0.034370,0.035284
10,2,0.8,11,0.674463,0.477960,0.033997,0.035060
10,2,0.8,12,0.706834,0.404278,0.032263,0.037453
10,2,0.8,13,0.641292,0.399991,0.035687,0.037587
10,2,0.8,14,0.676060,0.371387,0.033914,0.038473
10,2,0.8,15,0.629901,0.094448,0.036250,0.046176
