REAL,ESTIMATE
43.000000,50.158781
48.000000,43.614820
51.000000,47.879073
43.000000,50.477039
46.000000,42.853564
53.000000,45.554044
53.000000,52.673670
58.000000,51.727454
52.000000,57.398653
53.000000,52.063113
68.000000,52.831389
91.000000,67.858612
119.000000,92.100661
122.000000,120.046666
134.000000,125.077466
132.000000,133.720147
138.000000,135.350949
152.000000,141.438298
154.000000,153.287887
140.000000,154.875856
144.000000,139.367942
149.000000,141.181096
162.000000,149.501231
157.000000,162.185898
147.000000,159.060501
144.000000,146.325105
141.000000,142.748538
150.000000,140.886633
147.000000,152.931919
147.000000,151.654653
152.000000,154.040347
161.000000,163.595977
174.000000,174.611327
122.000000,189.740522
103.000000,124.005486
78.000000,102.701792
55.000000,76.131193
45.000000,53.653772
78.000000,43.436020
102.000000,78.384650
98.000000,106.584324
109.000000,103.799015
126.000000,109.245235
116.000000,125.145547
122.000000,110.428058
145.000000,111.997987
154.000000,133.374214
153.000000,149.144517
139.000000,154.723029
132.000000,138.001020
132.000000,127.468602
134.000000,127.494716
144.000000,125.832264
123.000000,132.804330
56.000000,112.797066
54.000000,52.132268
54.000000,52.105338
52.000000,51.023614
62.000000,47.521246
69.000000,56.198504
74.000000,61.880038
74.000000,67.470553
66.000000,67.023371
55.000000,55.442319
42.000000,47.822037
45.000000,37.789733
46.000000,40.398889
38.000000,42.787806
38.000000,37.226785
40.000000,39.402820
45.000000,41.586568
50.000000,43.524964
43.000000,45.763140
44.000000,39.856151
41.000000,41.011540
44.000000,39.729759
45.000000,42.113545
50.000000,44.091657
53.000000,47.223714
51.000000,47.868869
57.000000,46.224521
50.000000,49.303915
52.000000,44.488926
44.000000,45.350624
48.000000,40.022830
58.000000,42.172323
63.000000,48.973803
76.000000,53.922328
59.000000,63.172080
59.000000,51.498510
61.000000,51.048090
64.000000,52.307478
63.000000,53.509336
68.000000,52.060673
77.000000,56.831618
91.000000,66.670831
83.000000,79.453710
86.000000,71.397018
81.000000,76.086712
76.000000,71.961860
81.000000,68.036684
79.000000,70.985162
76.000000,70.212801
95.000000,70.101417
103.000000,88.870324
107.000000,96.809598
80.000000,100.877118
72.000000,74.104815
79.333333,66.934377
86.666667,73.030827
94.000000,79.935693
87.000000,87.359713
99.000000,82.027671
103.000000,94.865736
103.000000,99.900445
108.000000,99.612201
106.000000,103.528926
125.000000,100.545752
132.000000,124.384527
135.000000,138.435306
132.000000,140.073186
130.000000,136.206586
116.000000,133.616259
118.000000,118.898181
129.000000,120.076729
114.000000,132.519255
118.000000,115.194036
130.000000,119.750126
130.000000,131.628301
156.000000,132.080581
154.000000,162.853351
153.000000,160.576240
167.000000,159.196829
189.000000,176.312750
231.000000,202.905685
243.000000,259.273482
236.000000,277.301852
226.000000,268.011063
157.000000,261.826720
149.000000,167.854290
156.000000,158.261961
159.000000,170.356176
146.000000,178.040702
153.000000,171.043710
134.000000,185.175480
127.000000,156.374357
134.000000,147.805253
127.000000,143.243751
148.000000,133.095406
138.000000,162.463033
131.000000,151.136135
146.000000,143.753703
150.000000,167.330911
149.000000,165.717845
129.000000,162.855449
144.000000,133.732997
176.000000,148.816221
216.000000,194.981373
191.000000,246.173323
139.000000,206.611819
88.000000,148.501897
81.000000,93.431996
60.000000,85.478039
54.000000,60.188579
37.000000,55.342309
36.000000,45.759705
45.000000,50.253860
40.000000,55.362831
33.000000,48.145745
38.000000,39.202339
41.000000,41.918993
42.000000,39.958857
44.000000,40.577922
45.000000,43.630729
42.000000,46.546994
54.000000,44.500256
51.000000,50.257226
56.000000,46.093444
59.000000,49.835157
63.000000,50.612810
63.000000,53.846691
58.000000,54.332505
45.000000,53.000878
45.000000,45.920159
55.000000,45.543661
62.000000,49.277253
54.000000,54.388861
46.000000,47.800523
38.000000,42.665564
33.000000,38.351112
24.000000,36.075795
30.000000,32.051241
31.000000,36.015763
34.000000,36.218981
29.000000,38.715052
31.000000,32.939833
30.000000,33.434866
39.000000,34.046791
38.000000,39.383499
39.000000,38.533914
45.000000,40.693682
53.000000,44.136798
46.000000,49.083848
40.000000,42.827595
51.000000,38.856798
47.000000,46.660217
48.000000,45.166853
45.000000,44.016885
38.000000,42.114916
34.000000,37.490489
37.000000,35.097915
37.000000,36.473513
30.000000,36.033545
29.000000,31.967508
33.000000,32.442193
40.000000,33.893389
26.000000,37.758246
29.000000,27.643294
29.000000,29.821774
27.000000,30.194937
29.000000,27.962399
31.000000,28.219809
36.000000,30.259151
39.000000,33.271178
43.000000,36.703712
47.000000,42.106086
47.000000,46.453695
49.000000,46.889311
58.000000,48.487763
40.000000,55.681009
45.000000,39.703395
40.000000,44.512013
40.000000,40.617050
