REAL,ESTIMATE
56.000000,53.557373
62.000000,51.663179
62.000000,61.953672
66.000000,65.951635
70.000000,69.951416
65.000000,64.536930
48.000000,59.939077
42.000000,45.927961
37.000000,41.902364
31.000000,37.999146
30.000000,33.302162
30.000000,32.526309
32.000000,32.451157
36.000000,33.830616
30.000000,36.832889
35.000000,32.007882
33.000000,35.916123
53.000000,34.328447
41.000000,50.337082
46.000000,39.967109
51.000000,43.383048
63.000000,47.152213
50.000000,59.018389
34.000000,48.906564
30.000000,36.623743
41.000000,32.797908
33.000000,41.108460
34.000000,34.492402
37.000000,34.904291
35.000000,37.387966
45.000000,36.326737
38.000000,46.243566
46.000000,40.255648
51.000000,46.168386
45.000000,50.670414
45.000000,44.897771
40.000000,44.832715
41.000000,40.460510
42.000000,42.696936
43.000000,43.591191
43.000000,44.048866
44.000000,42.872418
69.000000,44.398397
47.000000,67.369746
34.000000,46.979003
34.000000,35.477051
35.000000,35.339121
44.000000,36.918829
33.000000,44.832350
30.000000,34.843457
40.000000,33.130561
46.000000,40.777271
41.000000,46.607018
42.000000,41.628138
46.000000,43.013437
50.000000,46.917665
59.000000,50.378348
48.000000,58.192951
46.000000,48.606016
55.000000,46.173867
53.000000,54.922081
51.000000,52.092879
55.000000,51.233750
73.000000,55.738471
69.000000,74.411659
68.000000,69.041393
67.000000,67.876267
74.000000,65.968487
77.000000,74.812192
78.000000,77.173106
76.000000,78.091885
79.666667,77.835794
83.333333,81.221116
87.000000,85.527422
100.000000,88.636152
119.000000,102.010940
122.000000,123.161777
115.000000,124.890686
109.000000,117.095587
120.000000,111.650863
116.000000,123.727383
109.000000,117.578927
94.000000,111.480147
92.000000,93.101996
84.000000,89.837080
86.000000,80.764533
97.000000,83.519066
109.000000,96.575970
97.000000,107.928248
91.000000,94.871410
85.000000,89.461472
82.000000,83.083476
92.000000,78.873514
99.000000,88.551400
101.000000,96.644328
88.500000,100.189255
76.000000,85.478666
74.000000,72.437196
75.000000,70.765871
84.000000,72.843670
101.000000,80.160983
111.000000,96.419901
96.000000,108.118801
88.000000,92.765192
85.000000,83.332064
91.000000,80.226362
101.000000,86.939709
79.000000,100.070561
75.000000,74.617669
91.000000,69.060256
97.000000,85.779747
107.000000,92.709617
104.000000,101.621474
107.000000,99.383060
113.000000,102.947004
105.000000,110.554152
90.000000,100.824593
62.000000,83.870372
43.000000,56.756901
27.000000,40.122918
20.000000,27.369576
21.000000,22.295882
34.000000,22.802324
24.000000,33.563555
25.000000,26.479872
26.000000,27.335625
18.000000,27.566822
12.000000,21.500892
10.000000,17.824359
17.000000,16.633044
12.000000,21.301638
11.000000,17.876078
15.000000,17.852928
15.000000,20.561196
18.000000,20.638317
23.000000,22.657654
29.000000,25.935032
36.000000,29.732117
23.000000,34.663086
26.000000,25.803435
25.000000,27.809664
23.000000,27.141799
27.000000,25.638302
18.000000,28.302351
13.000000,22.574715
12.000000,19.388254
10.000000,18.668504
21.000000,17.166920
16.000000,24.388644
15.000000,21.552829
13.000000,20.906417
16.000000,19.603559
17.000000,20.832381
14.000000,21.051888
18.000000,19.294180
28.000000,21.543586
28.000000,28.377916
34.000000,28.719134
28.000000,32.806850
24.000000,28.792156
30.000000,25.913645
31.000000,29.476521
29.000000,30.292221
44.000000,28.926297
45.000000,39.773760
60.000000,40.540571
44.000000,51.834097
38.000000,39.445442
42.000000,34.331837
46.000000,37.079685
47.000000,40.129446
52.000000,40.665792
58.000000,46.108832
49.000000,51.675891
69.000000,44.849229
64.666667,60.811715
60.333333,54.608250
56.000000,51.628633
48.000000,48.164885
56.000000,41.395916
50.000000,49.703954
59.000000,46.075221
64.000000,57.979591
90.000000,66.071215
48.000000,96.809234
27.000000,48.058029
28.000000,27.434782
34.000000,28.964216
32.000000,33.589792
37.000000,31.578743
67.000000,35.290245
63.000000,64.941661
47.000000,58.950857
34.000000,45.000240
34.000000,32.353519
41.000000,32.496087
43.000000,38.613521
41.000000,40.264643
53.000000,38.203209
60.000000,48.920917
73.000000,54.527166
78.000000,71.806288
81.000000,74.956379
79.000000,78.573651
80.000000,77.573054
79.000000,77.832922
81.000000,76.157343
86.000000,78.024518
107.000000,79.397627
104.000000,104.502716
92.000000,99.273212
84.000000,87.899980
72.000000,82.081426
71.000000,68.813509
51.000000,67.744742
31.000000,47.384838
31.000000,28.726445
24.000000,28.517185
20.000000,22.490908
39.000000,19.713726
33.000000,37.646734
24.000000,32.740682
24.000000,25.765084
29.000000,26.214505
20.000000,29.211301
24.000000,21.343748
18.000000,24.059304
