E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.367184,0.281197,0.085708,0.089356
10,7,0.8,6,0.374013,0.263907,0.085244,0.090425
10,7,0.8,7,0.364454,0.244265,0.085893,0.091623
10,7,0.8,8,0.387109,0.229809,0.084348,0.092495
10,7,0.8,9,0.408583,0.199460,0.082857,0.094300
10,7,0.8,10,0.461285,0.144421,0.079079,0.097488
10,7,0.8,11,0.473040,0.227625,0.078211,0.092626
10,7,0.8,12,0.520918,0.252351,0.074574,0.091132
10,7,0.8,13,0.511963,0.171655,0.075268,0.095924
10,7,0.8,14,0.507549,0.255380,0.075607,0.090947
10,7,0.8,15,0.509313,0.263599,0.075472,0.090443
