REAL,ESTIMATE
0.152653,0.250844
0.131632,0.272429
0.282282,0.204021
0.104605,0.232697
0.193193,0.192865
0.235138,0.234735
0.435532,0.284513
0.072072,0.233522
0.195195,0.180764
0.189690,0.217473
0.147648,0.218772
0.264264,0.221834
0.220220,0.261874
0.306306,0.262113
0.203704,0.250868
0.118619,0.163239
0.237237,0.143695
0.164665,0.220672
0.232733,0.216293
0.226727,0.255993
0.377377,0.246010
0.404404,0.295022
0.258258,0.311419
0.346346,0.217416
0.098599,0.324563
0.443443,0.218665
0.550551,0.461071
0.518018,0.414717
0.384885,0.361611
0.112112,0.264414
0.127628,0.169918
0.016517,0.168567
0.195696,0.111142
0.362112,0.254158
0.392392,0.313708
0.365866,0.365752
0.343343,0.282738
0.461962,0.323311
0.302302,0.338736
0.383383,0.232602
0.227728,0.256008
0.296296,0.251849
0.510511,0.307685
0.289289,0.333509
0.142142,0.248746
0.060060,0.170252
0.330330,0.169435
0.355355,0.273923
0.399187,0.268497
0.372924,0.255424
0.304825,0.268196
0.236725,0.220645
0.168625,0.226519
0.105803,0.163420
0.129129,0.209837
0.315566,0.206644
0.210711,0.215764
0.255255,0.216226
0.105105,0.185217
0.168669,0.090501
0.027528,0.156542
0.134635,0.132679
0.177177,0.167738
0.147147,0.188626
0.305806,0.199544
0.429930,0.277188
0.063564,0.126461
0.089590,0.163058
0.227227,0.174457
0.204204,0.242380
0.191692,0.190426
0.338839,0.262412
0.447948,0.296200
0.337337,0.317959
0.462963,0.369066
0.443944,0.408616
0.240240,0.450164
0.405906,0.239963
0.371371,0.327994
0.356857,0.329142
0.156657,0.311160
0.207207,0.281158
0.234735,0.260837
0.396396,0.218517
0.356857,0.273651
0.591091,0.291558
0.463964,0.505659
0.325826,0.340852
0.621622,0.616335
0.242743,0.310983
0.085085,0.218706
0.152152,0.142420
0.296797,0.233682
0.382883,0.236842
0.117618,0.232894
0.393393,0.258091
0.409910,0.328434
0.325325,0.300751
0.214715,0.273122
0.169169,0.232127
0.127127,0.241089
0.095596,0.217837
0.237738,0.130279
0.359860,0.250729
0.218719,0.280438
0.118619,0.186691
0.242242,0.115047
0.172172,0.236381
0.115616,0.239597
0.258258,0.198830
0.208709,0.265879
0.260761,0.229337
0.214214,0.229943
0.192192,0.236594
0.099600,0.235298
0.134635,0.132580
0.273273,0.223346
0.355856,0.355052
0.210711,0.320000
0.196196,0.207308
0.193193,0.228976
0.404404,0.237451
0.157157,0.299884
0.301301,0.221657
0.245245,0.285421
0.217217,0.262540
0.184184,0.225948
0.172172,0.233627
0.153153,0.197522
0.083083,0.177241
0.134134,0.194929
0.171672,0.233513
0.167167,0.185846
0.121622,0.215087
0.199199,0.198273
0.184685,0.218883
0.150651,0.208271
0.177928,0.171561
0.053053,0.188879
0.222723,0.067844
0.316316,0.303710
0.141141,0.258280
0.024525,0.198559
0.122122,0.155585
0.390891,0.201975
0.200701,0.238426
0.193193,0.236322
0.277277,0.132509
0.205706,0.224276
0.071572,0.153554
0.044545,0.153298
0.164665,0.127024
0.161161,0.162680
0.247247,0.201790
0.320320,0.224152
0.089089,0.227870
0.043043,0.127776
0.070571,0.098146
0.130631,0.110378
0.168168,0.187609
0.228729,0.206907
0.236737,0.206856
0.189690,0.206695
0.217217,0.200230
0.215215,0.215879
0.086086,0.176376
0.231732,0.141048
0.315315,0.201449
0.209710,0.236963
0.136136,0.205829
0.119620,0.174506
0.196697,0.167497
0.153654,0.224067
0.143143,0.193628
0.118118,0.210533
0.206206,0.175614
0.346847,0.222970
0.219720,0.203261
0.247748,0.185425
0.365866,0.229221
0.245746,0.347318
0.117367,0.235148
0.158659,0.170282
0.245746,0.247861
0.216717,0.244915
0.183684,0.169496
0.099099,0.171421
0.091592,0.184324
0.237738,0.216783
0.312312,0.240111
0.407908,0.338193
0.179179,0.266999
0.118118,0.204900
0.222723,0.166339
0.264264,0.259930
0.293794,0.257163
0.231732,0.270718
0.331832,0.258632
0.345846,0.262834
0.307307,0.319591
0.303303,0.268620
0.256757,0.268683
0.185185,0.259907
0.316817,0.221225
0.261762,0.260697
0.167668,0.236777
0.189189,0.189593
0.311311,0.210747
0.117117,0.273280
0.125125,0.168609
0.244244,0.183508
0.102603,0.226362
0.109109,0.166538
0.000000,0.136157
0.173173,0.104048
0.269770,0.198116
0.410410,0.356648
0.400400,0.345137
0.272272,0.294792
0.131131,0.315881
0.216717,0.196860
0.079580,0.223759
0.148148,0.100825
0.274775,0.257506
0.178178,0.304393
0.276276,0.201312
0.401902,0.289308
0.336336,0.289590
0.320320,0.320483
0.205706,0.311753
0.141141,0.246142
0.285786,0.190718
0.346346,0.226403
0.318819,0.316125
0.167167,0.289002
0.184685,0.227475
0.379880,0.329532
0.523023,0.377583
0.546547,0.455550
0.345095,0.487937
0.227728,0.278321
0.048549,0.224973
0.092092,0.146118
0.218060,0.153077
0.255413,0.235341
0.288789,0.298228
0.230230,0.300516
0.364865,0.230235
0.196697,0.297880
0.435936,0.178668
0.525526,0.402156
0.078579,0.207039
0.110611,0.187881
0.283283,0.216585
0.264264,0.240767
0.356356,0.258775
0.241742,0.287192
0.283784,0.265189
0.500000,0.316501
0.529029,0.469870
0.486987,0.401069
0.398398,0.448119
0.283784,0.331337
0.402402,0.335460
0.254755,0.215205
0.268268,0.258297
0.509009,0.305695
0.317317,0.406679
0.246246,0.328219
0.199199,0.279554
0.059560,0.108123
0.112613,0.166994
0.251752,0.229101
0.181181,0.103166
0.131632,0.216393
0.157658,0.190180
0.233734,0.237547
0.287287,0.216061
0.361361,0.253510
0.475475,0.423919
0.204705,0.331503
0.257257,0.208804
0.121121,0.251233
0.197698,0.209055
0.313313,0.226740
0.141642,0.279986
0.093594,0.204983
0.234735,0.230090
0.423924,0.248241
0.182683,0.356462
0.130631,0.191727
0.316316,0.212207
0.525526,0.428942
0.371371,0.463843
0.113614,0.111135
0.238238,0.209796
0.382382,0.250919
0.476476,0.375443
0.446947,0.564723
0.329329,0.359865
0.204705,0.246307
0.006507,0.059018
0.127127,0.106134
0.238238,0.193337
0.336336,0.272148
0.422422,0.323771
0.151652,0.241242
0.160661,0.199529
0.247748,0.260190
0.351852,0.201135
0.273774,0.298218
0.112112,0.249724
0.250250,0.190966
0.384384,0.276579
0.450450,0.320789
0.327327,0.303830
0.217718,0.235129
0.110611,0.232968
0.217718,0.195535
0.175676,0.237375
0.297297,0.246280
0.375876,0.389945
0.299800,0.296815
0.317317,0.230947
0.278779,0.267978
0.298799,0.230257
0.234735,0.274777
0.127127,0.159176
0.230731,0.224784
0.328328,0.250020
0.143644,0.226574
0.156657,0.102411
0.180180,0.203161
0.376877,0.235550
0.500000,0.361189
0.479479,0.381380
0.325325,0.279414
0.322823,0.265694
0.343844,0.287791
0.063564,0.171799
0.209209,0.177102
0.341842,0.244731
0.386386,0.274359
0.182683,0.271965
0.214214,0.223336
0.353854,0.215878
0.346847,0.302964
0.302052,0.308412
0.213714,0.275356
0.181181,0.111133
0.242242,0.128852
0.280280,0.255951
0.250751,0.256304
0.156657,0.222795
0.160160,0.218105
0.244244,0.198982
0.326827,0.196147
0.199199,0.286040
0.191441,0.191402
0.305305,0.185061
0.139139,0.261323
0.251752,0.193497
0.227227,0.231052
0.105105,0.219933
0.277778,0.170059
0.434434,0.279420
0.447948,0.325679
0.385385,0.411228
0.168669,0.310198
0.080534,0.132085
0.173971,0.192506
0.230981,0.194776
0.286787,0.234266
0.276777,0.217073
0.425425,0.273190
0.647648,0.414624
1.000000,0.928114
0.321321,0.380599
0.316817,0.230241
0.470470,0.275347
0.447948,0.279691
0.192192,0.179278
0.136637,0.201067
0.267768,0.244528
0.317818,0.323110
0.381882,0.313029
0.392392,0.277472
0.385385,0.289091
0.197698,0.302794
0.360861,0.212544
0.386887,0.184143
0.145145,0.137632
0.100100,0.205575
0.178679,0.221406
0.117618,0.225552
0.123123,0.224759
0.139640,0.155632
0.143143,0.068885
0.152653,0.184978
0.306306,0.176857
0.309309,0.284603
