REAL,ESTIMATE
0.353854,0.242727
0.206206,0.251401
0.133634,0.168707
0.132633,0.170618
0.100100,0.176594
0.069570,0.163798
0.111111,0.164910
0.175676,0.193359
0.318819,0.204831
0.291291,0.259925
0.149650,0.260912
0.227227,0.189998
0.085586,0.328516
0.177928,0.174946
0.177678,0.171379
0.225726,0.161216
0.215716,0.237633
0.011011,0.217241
0.109109,0.116036
0.093093,0.159998
0.109610,0.148203
0.139139,0.179818
0.173674,0.184280
0.144144,0.212622
0.074074,0.207739
0.246246,0.138052
0.227728,0.265997
0.129630,0.269143
0.061061,0.187287
0.168168,0.167966
0.199199,0.210302
0.164665,0.217580
0.342843,0.174242
0.364865,0.318717
0.391892,0.304512
0.322322,0.339152
0.288789,0.300613
0.200701,0.296032
0.174174,0.223431
0.177678,0.169097
0.058058,0.194236
0.104104,0.152426
0.109610,0.193286
0.084084,0.197502
0.083584,0.198744
0.167167,0.190464
0.293794,0.184327
0.335335,0.222297
0.355355,0.212479
0.256256,0.297620
0.063564,0.224036
0.133634,0.166714
0.090090,0.199014
0.101101,0.166262
0.236737,0.197254
0.419419,0.220251
0.493493,0.311917
0.479479,0.367760
0.411411,0.523182
0.383383,0.447858
0.349349,0.284398
0.363864,0.268241
0.354354,0.230203
0.290791,0.284854
0.201702,0.263929
0.199700,0.240243
0.183684,0.227512
0.235235,0.217671
0.118118,0.256162
0.165666,0.174026
0.161662,0.147979
0.117618,0.138578
0.194695,0.154286
0.289790,0.179929
0.289289,0.189300
0.432933,0.180755
0.480981,0.473555
0.501502,0.512382
0.190190,0.455022
0.077077,0.186220
0.049550,0.166637
0.155656,0.151577
0.220220,0.198151
0.285786,0.246291
0.183183,0.299673
0.190691,0.259371
0.206707,0.200475
0.191692,0.187210
0.232733,0.166400
0.203203,0.187307
0.090591,0.192347
0.142893,0.155612
0.214715,0.090018
0.267768,0.247851
0.197197,0.277413
0.119119,0.232323
0.116116,0.206259
0.121622,0.185106
0.091592,0.173455
0.141642,0.166399
0.234234,0.190428
0.194194,0.240474
0.252252,0.189636
0.342342,0.248228
0.250751,0.410198
0.067568,0.267691
0.149149,0.171706
0.200701,0.185253
0.188689,0.201167
0.291792,0.204232
0.381381,0.275285
0.419419,0.304840
0.279279,0.296082
0.163163,0.206014
0.212212,0.211193
0.286286,0.223706
0.281782,0.285950
0.182683,0.229293
0.094595,0.206668
0.099099,0.190478
0.261261,0.157657
0.287788,0.209615
0.309810,0.245558
0.272773,0.255651
0.289289,0.252845
0.308809,0.234732
0.260260,0.220375
0.142142,0.200691
0.218218,0.210421
0.086587,0.253431
0.196196,0.187942
0.335335,0.231367
0.323824,0.303332
0.267267,0.245905
