E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.643046,0.573832,0.092048,0.080515
10,3,0.8,6,0.657325,0.552489,0.090188,0.082506
10,3,0.8,7,0.657645,0.523045,0.090146,0.085177
10,3,0.8,8,0.653698,0.590109,0.090664,0.078962
10,3,0.8,9,0.669980,0.589913,0.088507,0.078981
10,3,0.8,10,0.687107,0.570290,0.086180,0.080849
10,3,0.8,11,0.708572,0.572331,0.083171,0.080656
10,3,0.8,12,0.698486,0.585100,0.084598,0.079443
10,3,0.8,13,0.722847,0.590396,0.081109,0.078935
10,3,0.8,14,0.696300,0.604540,0.084904,0.077560
10,3,0.8,15,0.733119,0.482438,0.079591,0.088729
