REAL,ESTIMATE
0.281072,0.349861
0.404789,0.263906
0.560433,0.339145
0.442417,0.458670
0.379704,0.341368
0.441277,0.346038
0.326112,0.375014
0.280502,0.320753
0.227480,0.278886
0.446408,0.273131
0.495439,0.363849
0.358894,0.416325
0.179590,0.380235
0.197834,0.238747
0.343216,0.485444
0.206956,0.453886
0.270239,0.262589
0.428734,0.336438
0.402509,0.421857
0.420182,0.349300
0.331243,0.378175
0.334094,0.338267
0.322691,0.309805
0.232611,0.325408
0.364880,0.304014
0.308438,0.335941
0.328392,0.318986
0.328962,0.318283
0.311859,0.322563
0.291904,0.311808
0.261117,0.306240
0.356328,0.329392
0.317560,0.363599
0.285063,0.350124
0.290764,0.259978
0.334094,0.242337
0.275371,0.311810
0.234322,0.285916
0.422463,0.277182
0.242873,0.388955
0.328962,0.247616
0.166477,0.302364
0.233181,0.190034
0.340365,0.232035
0.355758,0.291686
0.267959,0.383339
0.283922,0.264030
0.355758,0.289965
0.277651,0.321908
0.179019,0.245332
0.306727,0.224891
0.460091,0.279336
0.234892,0.389583
0.151083,0.245085
0.139111,0.212360
0.106043,0.202494
0.210376,0.125726
0.338655,0.257559
0.248575,0.321898
0.189282,0.263764
0.173888,0.165890
0.192132,0.200392
0.122577,0.213067
0.171608,0.154544
0.193273,0.195819
0.208096,0.217600
0.253136,0.248155
0.259407,0.242589
0.203535,0.227678
0.204105,0.218969
0.152794,0.251487
0.233751,0.202118
0.210946,0.213135
0.239453,0.198760
0.129418,0.220420
0.230331,0.179957
0.188712,0.232187
0.175599,0.201404
0.172748,0.209334
0.125998,0.215627
0.056442,0.187859
0.118016,0.144496
0.130559,0.158794
0.121437,0.167459
0.099202,0.174653
0.230331,0.178361
0.239453,0.225856
0.261688,0.201234
0.110604,0.224328
0.070125,0.162537
0.042189,0.163189
0.132839,0.144438
0.107754,0.179433
0.064424,0.161634
0.086089,0.163261
0.028506,0.165352
0.088369,0.142912
0.176739,0.154135
0.099202,0.185434
0.057013,0.158736
0.064994,0.152279
0.070696,0.143464
0.116876,0.132068
0.135690,0.147224
0.133979,0.175755
0.208666,0.161047
0.181300,0.175383
0.092360,0.169118
0.051881,0.133468
0.091790,0.137897
0.055872,0.159392
0.187571,0.137825
0.192132,0.161408
0.208381,0.177744
0.088940,0.165331
0.082098,0.148643
0.013113,0.152082
0.011973,0.123916
0.020525,0.129210
0.014253,0.137420
0.129418,0.122249
0.122007,0.137391
0.042759,0.145583
0.000000,0.113594
0.091220,0.129259
0.160490,0.155748
0.121437,0.154119
0.016534,0.140215
0.018244,0.124254
0.021665,0.112753
0.003991,0.120313
0.007982,0.121120
0.022235,0.117429
0.091220,0.130948
0.149943,0.138077
0.089510,0.127580
0.173318,0.115666
0.110034,0.144350
0.026796,0.133639
0.026226,0.123345
0.050171,0.122617
