REAL,ESTIMATE
0.043900,0.145265
0.167047,0.127146
0.133979,0.164258
0.035918,0.152958
0.075827,0.126592
0.255416,0.144096
0.249715,0.176200
0.181870,0.159743
0.101482,0.178442
0.173318,0.149783
0.213797,0.166532
0.299886,0.183064
0.251995,0.216192
0.214367,0.178925
0.116306,0.188870
0.159065,0.153705
0.226340,0.160300
0.189282,0.189112
0.212087,0.200670
0.212087,0.197754
0.297605,0.203367
0.190992,0.208227
0.243444,0.170326
0.323831,0.198379
0.320410,0.259565
0.344356,0.262507
0.264538,0.247607
0.163626,0.219446
0.214367,0.183527
0.209806,0.222458
0.204675,0.228488
0.167617,0.213200
0.334094,0.200723
0.262828,0.281468
0.266249,0.230745
0.362600,0.241274
0.316420,0.275024
0.348917,0.264523
0.234322,0.282700
0.320410,0.255283
0.283067,0.267843
0.167415,0.248455
0.091422,0.218120
0.466363,0.191503
0.464652,0.369270
0.521095,0.365256
0.603193,0.377966
0.414481,0.433371
0.370011,0.328903
0.282212,0.289846
0.337514,0.289230
0.375143,0.335938
0.386545,0.364399
0.635690,0.408303
0.583808,0.458415
0.408780,0.381343
0.259407,0.367666
0.339795,0.335937
0.637970,0.383121
0.373432,0.555456
0.551881,0.417971
0.256556,0.499180
0.303877,0.293118
0.327822,0.320427
0.279361,0.330319
0.427024,0.332253
0.428734,0.409461
0.530217,0.433868
0.481756,0.442926
0.350912,0.389169
0.273090,0.312151
0.314709,0.327330
0.339795,0.299451
0.142531,0.196175
0.445838,0.374471
0.393957,0.434078
0.345496,0.395991
0.340365,0.338713
0.258267,0.367158
0.371722,0.305935
0.460091,0.367100
0.665906,0.509332
0.504561,0.630935
0.435006,0.441613
0.252386,0.403029
0.344230,0.309627
0.359745,0.326832
0.375259,0.434775
0.390774,0.418716
0.409305,0.383078
0.446978,0.407971
0.359179,0.385233
0.487457,0.307446
0.521665,0.473938
0.434436,0.487901
0.450399,0.395853
0.533637,0.619032
0.438426,0.496418
0.575257,0.414824
0.531927,0.528841
0.399088,0.443842
0.338084,0.389616
0.685861,0.594459
0.676739,0.584481
0.738883,0.588841
0.906499,0.674983
0.578107,0.661336
0.354048,0.541300
0.418472,0.459263
0.514253,0.446715
0.274230,0.528157
0.367731,0.329275
0.427594,0.418844
0.409920,0.438398
0.420753,0.421492
0.436146,0.446771
0.521665,0.528930
0.569555,0.422102
0.917332,0.578573
1.000000,0.770534
0.746294,0.732667
0.441847,0.632938
0.680160,0.460675
0.599772,0.461664
0.148233,0.488528
0.334094,0.336472
0.516534,0.386224
0.474344,0.478695
0.358039,0.415514
0.334094,0.351913
0.510832,0.418943
0.248005,0.486704
0.312429,0.254892
0.191562,0.188636
0.277081,0.289554
0.486887,0.391328
0.556442,0.500808
0.636830,0.436898
0.354618,0.452634
0.511403,0.381776
0.571836,0.441224
0.476625,0.444511
0.413341,0.484982
0.420182,0.398970
0.420753,0.406475
0.305587,0.431291
0.350057,0.391422
0.413911,0.378901
0.362600,0.432777
0.273090,0.305108
0.605473,0.581729
0.589510,0.598599
0.337514,0.470925
0.445268,0.402889
0.561003,0.528600
0.285633,0.495136
0.344356,0.309017
0.248005,0.413077
0.330673,0.342641
0.455815,0.351608
0.442987,0.488596
0.132269,0.422311
0.361460,0.212059
0.978335,0.934085
0.823261,0.752797
0.607184,0.681718
0.791904,0.617539
0.859179,0.642708
0.683580,0.556174
0.435576,0.550547
0.385975,0.393485
0.311859,0.405427
0.467503,0.449186
0.305872,0.361086
0.104903,0.285054
0.176169,0.258415
0.231471,0.345689
0.182440,0.336614
0.724629,0.719142
0.956670,0.795353
0.555872,0.704205
0.657925,0.506049
0.346066,0.441310
0.177879,0.300212
0.275371,0.240244
0.325542,0.338407
0.326682,0.308218
0.258267,0.358620
0.504276,0.273742
0.425884,0.258470
0.159635,0.340760
0.424743,0.319406
0.639681,0.521504
0.359749,0.568361
0.357469,0.456100
0.664196,0.638047
0.342645,0.548594
0.295325,0.370180
0.416762,0.303209
0.378563,0.376948
0.261117,0.379654
0.324401,0.332237
0.188141,0.326810
0.189282,0.239543
0.159065,0.208871
0.526796,0.376000
0.455530,0.474867
0.462372,0.397572
0.380844,0.516802
0.443558,0.377747
0.303877,0.394683
0.330103,0.316981
0.297605,0.339525
0.396237,0.307750
0.385975,0.420144
0.356328,0.348704
0.242303,0.362513
0.270239,0.290554
0.347206,0.319908
0.368871,0.419388
0.438426,0.362604
0.460661,0.454421
0.557583,0.441274
0.655644,0.536456
0.376853,0.526347
0.336374,0.363053
0.205245,0.338120
0.348347,0.353163
0.363740,0.363732
0.457241,0.377836
0.287343,0.420863
0.218358,0.290639
0.223489,0.281983
0.278221,0.401614
0.380274,0.417581
0.283352,0.425345
0.317560,0.274705
0.303877,0.375965
0.256556,0.286192
0.273660,0.311470
0.200684,0.277613
0.397948,0.246783
0.297605,0.336871
0.118016,0.299683
0.247434,0.191654
0.298746,0.231000
0.212087,0.282547
0.346636,0.227591
0.282212,0.344622
0.477195,0.285721
0.274230,0.419482
0.209806,0.309555
0.181300,0.219700
0.298746,0.215629
0.312429,0.264715
0.397377,0.298758
0.316990,0.358713
0.356328,0.337588
0.255416,0.303301
0.265678,0.247804
0.328392,0.272115
0.199544,0.293173
0.128848,0.200152
0.289054,0.173363
0.141391,0.286111
0.169897,0.202738
0.228620,0.203376
0.154504,0.248161
0.150513,0.233087
0.192702,0.182012
0.282782,0.194170
0.219498,0.228330
0.091220,0.207796
0.049601,0.148877
0.048461,0.156686
0.132839,0.154993
0.240023,0.194056
0.464082,0.262458
0.262543,0.334369
0.099202,0.235968
0.146522,0.165256
0.172748,0.184849
0.154504,0.197076
0.033637,0.193723
0.230901,0.164885
0.104333,0.229442
0.114025,0.153544
0.301596,0.160920
0.253706,0.254668
0.145382,0.231500
0.123147,0.199756
0.090080,0.178053
0.182440,0.147680
0.165336,0.161633
0.079818,0.189351
0.099202,0.165183
0.129418,0.168068
0.098062,0.186174
0.086659,0.157193
0.032497,0.165537
0.169327,0.147748
0.196693,0.176395
0.041619,0.168666
0.047320,0.137463
0.090650,0.138054
0.104903,0.166648
0.273090,0.173993
0.202965,0.196513
0.098347,0.179368
0.181300,0.153946
0.208096,0.174362
0.177309,0.172915
0.100342,0.172557
0.118016,0.161824
0.114025,0.171355
0.091790,0.160392
0.144242,0.151036
0.131129,0.163475
0.194983,0.154465
0.127138,0.187005
0.072976,0.175596
0.201254,0.137695
0.259977,0.173468
0.196693,0.203184
0.088940,0.170877
0.181870,0.160255
0.163626,0.181011
0.113170,0.153628
0.091220,0.166958
0.179590,0.175029
0.251425,0.174119
0.163626,0.195505
0.103763,0.173894
0.108324,0.153144
0.139111,0.161154
0.174458,0.177953
0.226910,0.181814
0.270239,0.200856
0.216078,0.217216
0.144812,0.186973
0.151631,0.172130
0.144265,0.179174
0.291334,0.177832
0.249145,0.228698
0.214595,0.223402
0.195610,0.194251
0.256556,0.183759
0.318985,0.206450
0.193273,0.231392
0.150228,0.219695
0.124572,0.195779
0.161117,0.176323
0.266192,0.176896
0.292474,0.224768
0.209026,0.238968
0.239378,0.212573
0.070125,0.225415
0.037058,0.169007
0.078677,0.140117
0.116306,0.160563
0.136260,0.174995
0.046750,0.182653
0.145952,0.149131
0.229190,0.167864
0.120867,0.205930
0.037628,0.185973
0.210376,0.169565
0.196693,0.203678
0.173318,0.183032
0.092360,0.169494
0.070696,0.162868
0.137970,0.155335
0.251425,0.179517
0.181300,0.217943
0.172748,0.192457
0.337514,0.189789
0.189852,0.239930
0.138540,0.180276
0.137400,0.156723
0.303307,0.176797
0.274180,0.229281
0.210678,0.223493
0.143068,0.212780
0.065917,0.171690
0.272520,0.142411
0.282212,0.225579
0.216648,0.220027
0.251995,0.197028
0.136830,0.214256
0.248005,0.167919
0.224059,0.196021
0.192702,0.222975
0.179590,0.205275
0.378563,0.197164
0.281642,0.306097
0.086659,0.227186
0.324401,0.154608
0.235462,0.263826
0.297605,0.234900
0.381984,0.240121
0.191562,0.319681
0.112885,0.196199
0.155074,0.164172
0.240023,0.219628
0.401938,0.233845
0.376497,0.284872
0.375499,0.328412
0.332383,0.298928
0.293615,0.252891
0.218928,0.245145
0.201539,0.206699
0.152223,0.233514
0.073546,0.201027
0.183580,0.183721
0.104618,0.192015
0.141676,0.187906
0.374002,0.191884
0.343786,0.316390
0.362600,0.307563
0.212087,0.275086
0.203820,0.199092
0.169612,0.167503
0.211517,0.179371
0.324971,0.232874
0.355758,0.309765
0.307868,0.298168
0.237742,0.283701
0.234322,0.249916
0.329532,0.232314
0.148233,0.278148
0.372292,0.199346
