E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.595224,0.278791,0.035981,0.028832
10,4,0.8,6,0.611398,0.308821,0.035255,0.028225
10,4,0.8,7,0.659242,0.327960,0.033013,0.027832
10,4,0.8,8,0.695497,0.215207,0.031208,0.030076
10,4,0.8,9,0.689661,0.314495,0.031505,0.028109
10,4,0.8,10,0.708428,0.240936,0.030538,0.029579
10,4,0.8,11,0.669125,0.371257,0.032531,0.026920
10,4,0.8,12,0.256905,-1.183963,0.048752,0.050173
10,4,0.8,13,0.694289,0.377993,0.031270,0.026776
10,4,0.8,14,0.766406,0.288171,0.027334,0.028644
10,4,0.8,15,0.740195,0.285726,0.028826,0.028693
