REAL,ESTIMATE
51.000000,51.285596
61.000000,50.822824
64.000000,61.212651
59.000000,64.504199
75.000000,58.455275
65.000000,76.536467
61.000000,65.592577
69.000000,61.512284
98.000000,69.952170
104.000000,100.898048
130.000000,108.921243
141.000000,135.437726
163.000000,146.098734
169.000000,167.651448
173.000000,173.961190
188.000000,176.402205
184.000000,189.661605
191.000000,188.538304
189.000000,196.446887
196.000000,192.999400
202.000000,203.712278
191.000000,212.593982
207.000000,200.935552
200.000000,226.999531
166.000000,216.372671
162.000000,175.083737
200.000000,171.058742
181.000000,228.741246
177.000000,203.405131
177.000000,205.084959
177.000000,208.923077
149.000000,208.906863
94.000000,176.416361
80.000000,107.111932
58.000000,87.371491
63.000000,63.878803
112.000000,76.403427
135.000000,126.190260
127.000000,154.610909
168.000000,144.979193
182.000000,198.053085
157.000000,210.665909
158.000000,159.940028
175.000000,153.255187
180.000000,166.683967
162.000000,176.864702
161.000000,166.152589
154.000000,168.750496
171.000000,156.908198
153.000000,188.776544
121.000000,163.963814
61.000000,113.160313
61.000000,56.483910
63.000000,57.742534
79.000000,61.535427
81.000000,75.110337
85.000000,78.942059
80.000000,80.725862
79.000000,83.425495
71.000000,80.635101
55.000000,65.987086
50.000000,48.480727
54.000000,46.414424
59.000000,50.285009
61.000000,54.187781
52.000000,57.046000
42.000000,51.134856
56.000000,46.235347
48.000000,55.723695
55.000000,47.925741
52.000000,48.846685
44.000000,47.222637
48.000000,43.909207
52.000000,45.802829
64.000000,48.957602
68.000000,56.360525
67.000000,57.041533
67.000000,57.905096
48.000000,57.071643
54.000000,44.949154
59.000000,47.882375
55.000000,51.117802
57.000000,49.247126
62.000000,51.166971
84.000000,55.151745
71.000000,67.904950
67.000000,61.070718
72.000000,58.046536
82.000000,61.034310
84.000000,67.614983
94.000000,68.929191
94.000000,75.923471
110.000000,76.404222
99.000000,89.522637
99.000000,84.796406
121.000000,83.017738
107.000000,101.338765
98.000000,93.738853
102.000000,86.460841
106.000000,88.184154
108.000000,93.766499
134.000000,95.520726
126.000000,122.189649
95.000000,114.558856
96.000000,86.956558
103.500000,91.908587
111.000000,98.728661
113.000000,104.599652
100.000000,106.766955
109.000000,95.902035
122.000000,103.957693
142.000000,121.834415
138.000000,138.283606
145.000000,128.230735
158.000000,140.988086
168.000000,156.419946
174.000000,165.652144
169.000000,172.792678
159.000000,167.378707
148.000000,157.932852
155.000000,149.986864
150.000000,159.165522
143.000000,150.757587
127.000000,144.868196
146.000000,129.813586
167.000000,154.071113
165.000000,181.876977
152.000000,175.849518
166.000000,159.097701
189.000000,173.923278
209.000000,209.284330
235.000000,236.081598
293.000000,269.907626
268.000000,356.938479
269.000000,330.285753
242.000000,343.534988
190.000000,296.000941
181.000000,211.858905
184.000000,198.907604
195.000000,212.724116
177.000000,237.417419
164.000000,216.764764
149.000000,212.116729
176.000000,187.332631
182.000000,230.837597
168.000000,231.309444
160.000000,191.200041
176.000000,178.858928
177.000000,204.506891
159.000000,214.754054
153.000000,187.623345
172.000000,183.293943
169.000000,198.914638
224.000000,203.422588
276.000000,282.209996
260.000000,347.890911
184.000000,313.901342
127.000000,208.886793
106.000000,140.758226
101.000000,112.440939
71.000000,105.890693
56.000000,79.961537
51.000000,69.730697
52.000000,73.739748
49.000000,81.343542
53.000000,75.820192
50.000000,68.090079
57.000000,57.150701
48.000000,58.566578
59.000000,52.096471
57.000000,57.447723
56.000000,55.295621
60.000000,58.087927
72.000000,65.552174
61.000000,72.823779
72.000000,59.936506
74.000000,62.073964
71.000000,63.081288
67.000000,60.649130
55.000000,58.364239
51.000000,50.756756
60.000000,48.345337
79.000000,53.738043
65.000000,66.025320
60.000000,56.193444
53.000000,54.101503
50.000000,51.332093
48.000000,50.498513
42.000000,49.002910
45.000000,45.604265
42.000000,45.339496
43.000000,42.827354
46.000000,45.201849
50.000000,46.381888
46.000000,50.212934
39.000000,47.953308
55.000000,45.451114
57.000000,53.361231
60.000000,54.187645
46.000000,55.548567
45.000000,47.567028
53.000000,47.760639
52.000000,51.436453
42.000000,51.442064
47.000000,44.740067
41.000000,47.934070
45.000000,45.165565
46.000000,47.861917
49.000000,49.614843
41.000000,49.757123
39.000000,44.634946
41.000000,42.643967
37.000000,42.580069
43.000000,38.531227
35.000000,42.399105
35.000000,36.915365
31.000000,37.377155
35.000000,37.105371
39.000000,40.759156
35.000000,40.989593
46.000000,37.077436
51.000000,43.855622
52.000000,48.251920
51.000000,49.464300
61.000000,47.653048
58.000000,55.693406
47.000000,49.861779
50.000000,43.778815
48.000000,45.232774
51.000000,44.540597
41.000000,50.488467
42.000000,41.831437
44.000000,42.572661
42.000000,44.997932
43.000000,42.412192
43.000000,43.342473
47.000000,43.542443
52.000000,47.523684
46.000000,53.015153
41.000000,46.918538
41.000000,41.721460
37.000000,41.621319
36.000000,37.760837
43.000000,36.729045
63.000000,43.535055
53.000000,64.491088
60.000000,53.414249
89.000000,60.728816
70.000000,92.639654
47.000000,71.224611
39.000000,47.342353
43.000000,39.392629
44.000000,43.166000
56.000000,44.029615
52.000000,55.622168
52.000000,51.819705
53.000000,51.891258
52.000000,52.216144
45.000000,51.480188
52.000000,45.239636
45.000000,52.661613
38.000000,45.432805
45.000000,38.412472
46.000000,44.919961
42.000000,46.053059
39.000000,42.039333
46.000000,39.104916
44.000000,45.710110
49.000000,44.223673
60.000000,48.801038
88.000000,60.395903
97.000000,90.942825
92.000000,100.555993
69.000000,95.685775
56.000000,70.138209
59.000000,55.461198
49.000000,58.807094
51.000000,49.308666
49.000000,50.789448
59.000000,48.493028
70.000000,57.238533
63.000000,67.822203
59.000000,61.373409
51.000000,58.433458
48.000000,50.983511
44.000000,47.915585
51.000000,44.227597
68.000000,50.916262
68.000000,68.982327
54.000000,67.204777
52.000000,52.592443
62.000000,51.271276
72.000000,62.222180
59.000000,72.352778
63.000000,59.442396
59.000000,64.076241
49.000000,59.451638
40.000000,48.306035
32.000000,39.362277
39.000000,32.505707
32.000000,38.898339
31.000000,32.817618
31.000000,32.232561
56.000000,31.699555
55.000000,55.770804
48.000000,54.760056
46.000000,47.876027
48.000000,45.891897
35.000000,48.737360
32.000000,36.067537
29.000000,33.410126
30.000000,30.426783
27.000000,31.243182
38.000000,27.934814
34.000000,38.142815
44.000000,34.263628
51.000000,43.565692
67.000000,50.924365
77.000000,67.903852
91.000000,79.806689
100.000000,92.625544
116.000000,105.050871
117.000000,122.422053
118.000000,124.460428
122.000000,126.467076
111.000000,127.291075
100.000000,113.932032
106.000000,101.543679
117.000000,107.494116
116.000000,116.445190
114.000000,114.996157
111.000000,110.616857
106.000000,108.977850
118.000000,103.105630
118.000000,115.725203
113.000000,116.791711
108.000000,113.064452
110.000000,107.493597
114.000000,108.675213
127.000000,113.557574
142.000000,127.056771
146.000000,144.810215
149.000000,149.550355
198.000000,154.164852
280.000000,211.862631
302.000000,317.324134
272.666667,349.522838
243.333333,311.509878
214.000000,271.772769
215.000000,235.052950
212.000000,240.377595
201.000000,236.712770
164.000000,224.347588
151.000000,186.220566
164.000000,189.652022
183.000000,213.266899
187.000000,232.059207
151.000000,228.385393
147.000000,171.154737
151.000000,168.561611
164.000000,173.451893
121.000000,187.935537
81.000000,130.757046
52.000000,94.456839
93.000000,70.888945
76.000000,112.298273
80.000000,90.315293
112.000000,84.949457
112.000000,118.816879
110.000000,119.180724
102.000000,117.806726
96.000000,97.226821
96.000000,85.263013
109.000000,82.696041
115.000000,102.446193
118.000000,105.057315
118.000000,104.746144
85.000000,109.866973
55.000000,79.193222
42.000000,55.194696
56.000000,41.124817
50.000000,48.721730
44.000000,44.659584
34.000000,44.319541
37.000000,37.716178
34.000000,39.255165
36.000000,38.761948
34.000000,37.536768
34.000000,35.123212
16.000000,34.605958
18.000000,28.563877
3.000000,30.670629
8.000000,22.855076
13.000000,23.697076
15.000000,25.336229
23.000000,26.771568
19.000000,29.905663
17.000000,27.352414
21.000000,27.057518
18.000000,32.222999
20.000000,32.594224
24.000000,31.054291
21.000000,31.970813
19.000000,29.342493
24.000000,28.350299
16.000000,30.996926
18.000000,27.236222
20.000000,27.946232
22.000000,31.451263
17.000000,33.455382
24.000000,30.325222
20.000000,32.524008
15.000000,28.703097
24.000000,26.838246
22.000000,31.741227
30.000000,30.857884
30.000000,34.046658
29.000000,35.395465
37.000000,35.813390
38.000000,39.402507
31.000000,39.809192
39.000000,34.428159
25.000000,38.657972
23.000000,31.924310
21.000000,30.663177
17.000000,27.207820
13.000000,23.362949
8.000000,21.063948
8.000000,21.146279
3.000000,21.074360
11.000000,15.690328
13.000000,21.271509
28.000000,21.046163
45.000000,30.505001
45.000000,42.466059
40.000000,42.752016
40.000000,37.948098
51.000000,37.703598
49.000000,46.917815
53.000000,44.745085
48.000000,48.017457
53.000000,44.803669
43.000000,48.845819
47.000000,40.559372
36.000000,43.774984
55.000000,34.254312
61.000000,48.836400
68.000000,54.139478
72.000000,59.576995
67.000000,63.496016
63.000000,62.129341
56.000000,60.021940
31.000000,54.600279
6.000000,30.543274
5.500000,10.948523
5.000000,11.432925
5.000000,11.069761
6.000000,11.647884
5.000000,12.123936
3.000000,11.082340
15.000000,9.547904
7.000000,17.708257
18.000000,11.708474
12.000000,19.871959
18.000000,16.057815
