REAL,ESTIMATE
40.000000,39.956946
34.000000,33.128904
32.000000,28.414060
26.000000,27.277799
30.000000,28.270225
26.000000,30.074975
28.000000,30.388637
37.000000,31.714868
31.000000,30.619488
42.000000,33.124291
53.000000,52.993036
50.000000,49.990894
56.000000,49.219388
66.000000,53.903893
52.000000,65.259912
48.000000,51.575229
43.000000,47.528932
43.000000,42.733413
40.000000,42.518496
34.000000,39.843843
38.000000,34.720434
42.000000,38.195028
37.000000,41.141295
40.000000,37.740205
42.000000,40.180510
43.000000,42.351932
43.000000,43.736786
42.000000,43.130057
44.000000,42.365089
36.000000,44.476537
39.000000,36.923729
42.000000,39.959292
39.000000,43.372268
35.000000,39.615067
54.000000,35.883968
64.000000,54.592533
48.000000,64.908264
48.000000,48.167159
41.000000,47.795817
35.000000,41.135546
46.000000,35.479948
36.000000,46.192300
37.000000,36.347374
34.000000,37.396570
48.000000,34.655189
47.000000,47.699950
38.000000,47.401232
45.000000,38.533420
42.000000,45.516877
42.000000,42.790741
40.000000,42.945401
42.000000,40.407884
43.000000,42.408792
40.000000,43.631110
50.000000,40.155019
50.000000,50.316538
54.000000,50.149985
61.000000,53.970501
64.000000,60.660432
69.000000,64.054567
64.000000,68.625492
79.000000,64.081470
79.000000,80.451023
78.000000,80.358336
115.000000,79.643305
102.000000,119.474802
102.000000,104.532942
122.000000,102.698450
129.000000,124.142053
130.000000,129.428200
121.000000,131.308933
95.000000,122.799824
87.000000,95.017841
85.000000,87.281072
93.000000,81.926124
88.000000,91.057266
89.000000,85.954119
83.000000,86.294848
82.000000,80.071768
82.000000,78.905870
81.000000,79.487232
82.000000,78.939898
105.000000,80.766707
88.000000,103.041130
89.000000,85.578658
82.000000,86.882917
96.000000,79.100463
89.000000,92.593099
86.000000,85.297899
102.000000,82.849497
103.000000,101.210116
72.000000,102.299930
103.000000,67.638446
98.000000,99.226095
90.000000,93.984308
84.000000,84.481164
75.000000,77.406821
61.000000,68.703851
81.000000,56.407003
93.000000,77.812012
89.000000,90.182103
89.000000,83.343375
102.000000,83.772912
97.000000,97.032239
97.000000,90.867769
93.000000,89.393198
116.000000,85.729786
124.000000,110.495896
108.000000,121.769136
90.000000,105.311106
50.000000,83.053596
31.000000,47.120868
21.000000,31.614959
29.000000,24.271278
31.000000,30.220242
37.000000,31.619786
30.000000,37.051680
37.000000,31.871276
26.000000,37.206980
15.000000,28.875251
19.000000,20.000442
7.000000,23.002721
14.000000,15.149187
7.000000,20.185568
16.000000,15.235847
17.000000,21.963427
17.000000,21.780272
21.000000,21.548574
24.000000,25.344500
20.000000,27.388060
32.000000,24.180351
28.000000,33.113569
22.000000,30.245550
23.000000,25.717425
21.000000,26.601199
18.000000,24.854038
21.000000,22.812356
11.000000,25.637700
24.000000,18.232379
30.000000,27.649761
23.000000,31.940689
17.000000,27.107576
14.000000,22.517535
24.000000,20.337661
19.000000,27.508028
18.000000,23.794293
13.000000,22.564465
17.000000,18.707834
22.000000,21.747270
18.000000,25.419483
24.000000,22.147394
22.000000,26.125211
21.000000,24.860572
28.000000,24.972930
34.000000,29.918182
31.000000,34.535899
42.000000,31.104670
45.000000,40.491038
51.000000,43.030633
44.000000,48.313278
44.000000,41.794134
40.000000,41.797631
50.000000,38.916059
69.000000,47.298380
65.000000,65.528833
49.000000,59.515116
52.000000,45.790067
61.000000,48.476231
54.000000,56.841256
51.000000,50.376374
47.000000,47.540449
47.000000,43.896180
45.000000,44.655592
49.000000,43.427804
60.000000,45.907335
58.000000,55.342862
58.000000,53.370282
43.000000,53.917636
39.000000,40.480238
29.000000,37.446106
31.000000,29.571277
32.000000,31.062160
47.000000,31.803543
72.000000,44.316414
57.000000,69.415852
46.000000,54.148227
31.000000,43.746048
46.000000,30.426948
51.000000,43.883833
59.000000,49.315581
50.000000,56.667561
54.000000,47.493578
53.000000,51.125148
65.000000,50.256088
65.000000,63.255243
67.000000,62.784045
76.000000,66.264872
74.000000,75.534385
99.000000,73.199280
103.000000,98.886402
92.000000,103.407969
82.000000,89.596168
90.000000,79.645415
84.000000,89.434467
65.000000,82.029545
67.000000,62.637210
68.000000,63.973101
48.000000,65.931760
27.000000,45.615107
31.000000,28.075900
31.000000,30.671613
37.000000,30.473033
38.000000,36.165942
32.000000,37.055645
31.000000,31.952125
30.000000,30.926972
23.000000,30.097620
24.000000,24.368757
20.000000,25.371804
15.000000,21.843779
26.000000,17.767817
23.000000,27.005767
40.000000,24.530661
42.000000,39.432375
28.000000,41.278487
26.000000,28.187958
34.000000,26.478650
36.000000,33.323409
32.000000,35.809462
33.000000,32.784872
33.000000,33.899389
27.000000,34.161014
31.000000,27.752024
33.000000,31.656044
30.000000,33.326311
36.000000,30.795487
31.000000,36.022968
34.000000,32.011928
30.000000,34.766975
37.000000,31.509277
37.000000,38.029598
33.000000,37.506518
39.000000,33.877245
30.000000,39.043623
37.000000,30.325456
37.000000,36.073671
38.000000,36.667923
53.000000,37.847358
43.000000,52.656161
42.000000,42.830956
36.000000,41.356709
41.000000,35.936431
26.000000,40.392985
29.666667,26.364888
33.333333,29.585483
37.000000,32.917217
51.000000,36.535687
43.000000,50.168433
52.000000,42.427502
45.000000,51.662392
50.000000,44.854607
59.000000,49.549259
66.000000,56.817350
58.000000,63.692039
50.000000,56.433730
48.000000,48.618153
49.000000,47.260054
53.000000,48.230561
44.000000,52.277544
46.000000,43.450750
57.000000,45.248040
62.000000,53.709718
69.000000,58.023914
62.000000,65.299847
67.000000,59.017252
47.000000,64.729702
38.000000,45.630767
54.000000,37.560827
65.000000,53.030863
60.000000,63.915272
70.000000,57.968756
58.000000,68.495031
38.000000,55.998140
66.000000,37.016956
59.000000,64.475430
64.000000,58.311362
63.000000,64.355068
62.000000,62.895376
78.000000,60.709331
67.000000,76.054662
66.000000,64.687300
65.000000,64.301950
64.000000,64.516144
67.000000,62.530857
80.000000,66.628015
72.000000,79.830917
76.000000,71.525850
74.000000,75.758311
81.000000,71.345854
88.000000,79.850884
116.000000,87.359163
157.000000,118.204509
160.000000,160.797599
154.000000,164.759042
150.000000,157.075750
172.000000,153.117450
182.000000,175.867892
188.000000,183.918125
177.000000,190.808212
178.000000,179.866395
162.000000,181.293985
172.000000,166.516992
176.000000,179.545187
169.000000,186.156634
163.000000,174.964817
181.000000,171.218298
182.000000,194.883715
160.000000,198.611902
