E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.462561,0.214812,0.112339,0.150950
10,7,0.8,6,0.448188,0.223681,0.113831,0.150095
10,7,0.8,7,0.437480,0.288988,0.114931,0.143643
10,7,0.8,8,0.484772,0.250427,0.109993,0.147487
10,7,0.8,9,0.473474,0.193819,0.111193,0.152955
10,7,0.8,10,0.474917,0.281282,0.111040,0.144420
10,7,0.8,11,0.478523,0.190868,0.110658,0.153235
10,7,0.8,12,0.473924,0.286264,0.111145,0.143918
10,7,0.8,13,0.515830,0.215320,0.106627,0.150901
10,7,0.8,14,0.472932,0.306289,0.111250,0.141885
10,7,0.8,15,0.500478,0.382513,0.108304,0.133863
