REAL,ESTIMATE
0.256115,0.333119
0.238430,0.350882
0.439047,0.262482
0.256668,0.423138
0.396491,0.296349
0.542395,0.431370
0.635795,0.361531
0.147240,0.199342
0.426335,0.295110
0.486023,0.462183
0.437941,0.405334
0.434073,0.313732
0.449547,0.477886
0.542947,0.407126
0.399255,0.453133
0.287617,0.297237
0.539079,0.286712
0.466127,0.497795
0.484089,0.455617
0.461982,0.474865
0.580528,0.567092
0.735827,0.601761
0.482707,0.597538
0.557869,0.498632
0.252799,0.467184
0.702667,0.337936
0.730853,0.695447
0.771750,0.700887
0.625294,0.591156
0.246443,0.438927
0.345094,0.336634
0.175426,0.351035
0.429651,0.280511
0.608162,0.535018
0.732511,0.735275
0.660665,0.706317
0.626952,0.522365
0.756828,0.630716
0.588266,0.588373
0.728642,0.724304
0.591029,0.544695
0.596003,0.594916
0.655138,0.645285
0.499840,0.618321
0.227929,0.504905
0.246720,0.314775
0.508130,0.301126
0.620320,0.498486
0.689956,0.508691
0.571133,0.592646
0.848570,0.575315
0.722010,0.783138
0.180953,0.150830
0.162162,0.333524
0.172663,0.294440
0.322435,0.221525
0.398702,0.314420
0.401465,0.392530
0.263300,0.383626
0.327409,0.243967
0.129555,0.333495
0.284301,0.264344
0.375490,0.276859
0.308618,0.317820
0.507024,0.422917
0.518630,0.418597
0.105238,0.244072
0.246720,0.229182
0.416940,0.275865
0.400636,0.330637
0.355594,0.318299
0.488234,0.443352
0.646295,0.507667
0.491550,0.487270
0.600977,0.447808
0.555659,0.519305
0.373832,0.549142
0.519183,0.358952
0.508130,0.464121
0.404781,0.507822
0.203612,0.442894
0.311381,0.211675
0.367753,0.233006
0.470548,0.357088
0.493760,0.379349
0.671718,0.400549
0.618662,0.650876
0.383228,0.582427
0.545158,0.436448
0.172110,0.426717
0.046655,0.259513
0.094185,0.160159
0.253904,0.254748
0.450652,0.367548
0.207481,0.429153
0.382675,0.224305
0.302539,0.348662
0.348962,0.337128
0.306407,0.345806
0.363884,0.333573
0.345094,0.295449
0.269379,0.395723
0.431862,0.352660
0.412519,0.482730
0.319119,0.411924
0.288169,0.287352
0.297565,0.279273
0.178742,0.321560
0.163267,0.329886
0.356700,0.240125
0.373832,0.406427
0.389860,0.410539
0.337909,0.429154
0.263852,0.402773
0.000000,0.279265
0.164016,0.174011
0.359499,0.257557
0.368306,0.431591
0.263852,0.375169
0.159952,0.316130
0.189243,0.266676
0.472206,0.299068
0.199191,0.448344
0.310829,0.206762
0.331277,0.363939
0.217429,0.337521
0.234561,0.307884
0.285959,0.260210
0.258878,0.302095
0.159399,0.225762
0.231798,0.193388
0.260536,0.295695
0.289827,0.313686
0.215771,0.318223
0.290933,0.234308
0.300328,0.302430
0.238982,0.318427
0.278774,0.222540
0.124581,0.244910
0.335146,0.268926
0.295354,0.370422
0.232903,0.314390
0.143924,0.296079
0.170452,0.183685
0.309723,0.180486
0.255010,0.301433
0.276011,0.282991
0.322435,0.345760
0.158846,0.310972
0.060472,0.229543
0.035050,0.174420
0.263852,0.134516
0.311381,0.297641
0.452863,0.300658
0.474970,0.352689
0.106343,0.372042
0.053840,0.173531
0.097501,0.128405
0.256668,0.118156
0.320777,0.288193
0.431862,0.341466
0.269932,0.432952
0.311381,0.323393
0.368306,0.279431
0.258326,0.200704
0.093079,0.152695
0.299775,0.196361
0.415835,0.330984
0.325751,0.321050
0.332383,0.347549
