REAL,ESTIMATE
0.311934,0.254158
0.223508,0.226026
0.219087,0.223728
0.164373,0.209007
0.054945,0.138244
0.048313,0.150784
0.123476,0.170173
0.239535,0.199868
0.419703,0.224502
0.343988,0.295143
0.211902,0.254037
0.216876,0.148138
0.087000,0.168540
0.272142,0.157538
0.285406,0.230010
0.304197,0.237020
0.304749,0.288558
0.042787,0.272076
0.140608,0.115747
0.113528,0.152725
0.147793,0.149940
0.277669,0.198879
0.314697,0.251884
0.250588,0.302464
0.203612,0.255368
0.376596,0.130913
0.306960,0.201805
0.141714,0.189972
0.084237,0.193369
0.241193,0.196225
0.327961,0.282572
0.290933,0.297871
0.252562,0.171338
0.444810,0.197326
0.667297,0.236018
0.445679,0.409879
0.409755,0.388386
0.331277,0.432005
0.331830,0.310691
0.329619,0.203271
0.084237,0.233610
0.201401,0.161633
0.235114,0.237006
0.252799,0.273270
0.261089,0.322248
0.297565,0.293139
0.513103,0.216349
0.566159,0.319352
0.598766,0.287055
0.498734,0.352741
0.198085,0.399686
0.265510,0.287978
0.185927,0.314287
0.176531,0.205686
0.384886,0.235070
0.555659,0.282233
0.651269,0.391623
0.793857,0.506127
0.677797,0.762445
0.514209,0.702166
0.534105,0.349988
0.588818,0.373658
0.498182,0.354989
0.366648,0.407607
0.445126,0.386776
0.349515,0.419334
0.261089,0.393582
0.389860,0.280804
0.241746,0.362834
0.284853,0.267056
0.263852,0.321111
0.188690,0.331369
0.299775,0.289099
0.502603,0.327658
0.500945,0.407226
0.558975,0.453722
0.799936,0.526106
0.743564,0.840626
0.263300,0.919296
0.115186,0.306199
0.079815,0.269514
0.290380,0.233363
0.389307,0.348434
0.429651,0.415295
0.295907,0.436459
0.270484,0.382570
0.369411,0.312328
0.332935,0.382299
0.367753,0.358897
0.295907,0.348844
0.134529,0.325400
0.271590,0.238366
0.405887,0.287066
0.433520,0.341288
0.297012,0.387596
0.240088,0.326407
0.264958,0.344383
0.251141,0.328423
0.189795,0.270650
0.278774,0.278262
0.434073,0.288594
0.407545,0.394737
0.441257,0.390538
0.557869,0.421913
0.498182,0.548258
0.197533,0.387469
0.290933,0.268631
0.397597,0.294457
0.379359,0.384063
0.597661,0.366327
0.768987,0.515633
0.792751,0.606346
0.589371,0.500862
0.313039,0.384744
0.358910,0.299449
0.556211,0.376519
0.544053,0.575279
0.394281,0.457350
0.167689,0.404770
0.173215,0.244556
0.508130,0.237238
0.558422,0.387777
0.600977,0.494171
0.521946,0.536029
0.524157,0.466615
0.592687,0.457179
0.495971,0.375405
0.279327,0.360277
0.382122,0.355258
0.212455,0.397287
0.273248,0.323184
0.564501,0.318638
0.571133,0.528724
0.483812,0.417992
