E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.609452,0.422638,0.095914,0.107773
10,7,0.8,6,0.626715,0.435072,0.093770,0.106606
10,7,0.8,7,0.593456,0.449889,0.097859,0.105199
10,7,0.8,8,0.590996,0.446764,0.098154,0.105497
10,7,0.8,9,0.635963,0.400744,0.092601,0.109797
10,7,0.8,10,0.632236,0.364620,0.093074,0.113058
10,7,0.8,11,0.657130,0.337226,0.089869,0.115469
10,7,0.8,12,0.650540,0.375296,0.090728,0.112104
10,7,0.8,13,0.662787,0.248173,0.089125,0.122983
10,7,0.8,14,0.685577,0.324145,0.086060,0.116603
10,7,0.8,15,0.699282,0.217839,0.084164,0.125439
