REAL,ESTIMATE
0.329928,0.264998
0.352764,0.232455
0.200120,0.268234
0.322716,0.184283
0.231370,0.259258
0.158654,0.237110
0.063101,0.207030
0.479567,0.163354
0.349760,0.329452
0.316106,0.299908
0.373197,0.239423
0.286659,0.327538
0.298678,0.263081
0.189904,0.264199
0.253606,0.187634
0.332332,0.252041
0.236779,0.311229
0.427885,0.230734
0.372296,0.393533
0.252704,0.305367
0.241587,0.246711
0.243690,0.220116
0.553486,0.261899
0.275240,0.478305
0.504207,0.247297
0.202524,0.499061
0.262019,0.249472
0.268029,0.269898
0.206731,0.245509
0.282752,0.271112
0.233774,0.351274
0.317308,0.258663
0.251803,0.368557
0.204928,0.238104
0.131010,0.223609
0.194111,0.183846
0.205529,0.179798
0.076322,0.185421
0.279447,0.154332
0.258413,0.342356
0.212139,0.275948
0.217548,0.242316
0.242788,0.217046
0.307091,0.241641
0.403846,0.341642
0.460938,0.328947
0.329327,0.477222
0.272236,0.267628
0.308293,0.274616
0.325120,0.293501
0.228966,0.290997
0.210938,0.252760
0.311298,0.252157
0.323918,0.333216
0.396034,0.306776
0.299880,0.348037
0.307692,0.272108
0.319111,0.298567
0.293870,0.268195
0.272837,0.263992
0.368389,0.326388
0.293269,0.369872
0.320913,0.301342
0.319111,0.307424
0.228966,0.315728
0.271635,0.257902
0.448317,0.288194
0.394832,0.423208
0.403245,0.389324
0.637019,0.393037
0.603966,0.503858
0.399038,0.577934
0.447115,0.387518
0.576923,0.442319
0.402043,0.555770
0.438702,0.397634
0.361779,0.471948
0.482572,0.418823
0.412861,0.519503
0.464543,0.417933
0.500000,0.441840
0.533053,0.435767
0.873798,0.548307
1.000000,0.783488
0.713341,0.743319
0.462740,0.653410
0.711538,0.480641
0.630409,0.602808
0.222957,0.320690
0.411058,0.308685
0.683293,0.437194
0.631010,0.537305
0.501202,0.562483
0.387620,0.518762
0.536058,0.433110
0.350962,0.315040
0.420673,0.387030
0.204327,0.452413
0.356370,0.291540
0.507212,0.443900
0.609976,0.516216
0.734976,0.600550
0.380409,0.371230
0.637019,0.415160
0.707332,0.612340
0.514423,0.492754
0.500000,0.564463
0.506611,0.484070
0.444111,0.521604
0.281851,0.375571
0.372596,0.278948
0.490385,0.452257
0.479567,0.393034
0.359976,0.469191
0.717548,0.424788
0.686899,0.603502
0.424279,0.576620
0.651442,0.419432
0.685697,0.613568
0.405649,0.453270
0.527043,0.569585
0.352163,0.492656
0.436298,0.420737
0.645433,0.464125
0.326923,0.536237
0.140625,0.317885
0.335337,0.194376
0.887620,0.843994
0.805889,0.673875
0.564904,0.635850
0.793870,0.651800
0.613281,0.612196
0.575120,0.529048
0.360577,0.304776
0.339543,0.331939
0.284856,0.354812
0.433894,0.309039
0.314303,0.412987
0.084736,0.367204
0.140024,0.204966
0.260817,0.179022
0.145433,0.321175
0.653245,0.526455
0.917067,0.578736
0.576322,0.623669
0.604567,0.535852
0.302284,0.396944
0.145433,0.181979
0.246394,0.222902
0.294471,0.256502
0.290865,0.248542
