REAL,ESTIMATE
0.161058,0.429799
0.207332,0.245400
0.484375,0.264332
0.568510,0.447408
0.560096,0.486784
0.272236,0.578974
0.264423,0.348058
0.371995,0.358707
0.193510,0.368030
0.362981,0.297739
0.457933,0.361187
0.503005,0.437994
0.540865,0.484564
0.302885,0.448037
0.329928,0.317402
0.384615,0.267603
0.262620,0.360577
0.462740,0.318097
0.373197,0.435584
0.423678,0.384243
0.407452,0.423748
0.312500,0.393531
0.267428,0.344220
0.250601,0.289379
0.345553,0.368533
0.281851,0.450017
0.322716,0.395958
0.423077,0.334045
0.436298,0.395717
0.389423,0.377992
0.266226,0.337894
0.286525,0.339274
0.689587,0.385771
0.619742,0.567840
0.109375,0.513373
0.237380,0.242979
0.339543,0.272266
0.331731,0.339817
0.253606,0.321011
0.250000,0.366741
0.394832,0.334801
0.314303,0.402898
0.183293,0.348256
0.253606,0.208601
0.417668,0.276558
0.246394,0.384290
0.139423,0.317665
0.134615,0.342362
0.098558,0.177408
0.224159,0.179821
0.323317,0.274228
0.261418,0.323147
0.184495,0.316577
0.211538,0.283995
0.210938,0.297892
0.147236,0.322423
0.245793,0.197415
0.135216,0.267190
0.191106,0.226051
0.334135,0.244845
0.283053,0.374694
0.206731,0.279932
0.256611,0.245526
0.255409,0.236795
0.203726,0.255428
0.244591,0.246897
0.309495,0.283564
0.149639,0.363888
0.247596,0.167080
0.206130,0.235453
0.201322,0.210504
0.219351,0.268886
0.153245,0.241083
0.057692,0.220641
0.115385,0.166967
0.179087,0.187066
0.096755,0.269184
0.138221,0.130623
0.339844,0.194546
0.367788,0.323808
0.386418,0.326207
0.143029,0.343082
0.067909,0.146998
0.057091,0.151895
0.195913,0.117320
0.195313,0.211011
0.112380,0.239030
0.089543,0.195075
0.019231,0.183464
0.158654,0.067887
0.184495,0.153024
0.130108,0.168449
0.044471,0.181458
0.121394,0.155518
0.162260,0.176737
0.182091,0.186250
0.161659,0.143235
0.174279,0.171936
0.274038,0.168173
0.226563,0.239800
0.105168,0.216570
0.025841,0.150927
0.103966,0.109606
0.038462,0.114025
0.063101,0.110743
0.191707,0.117329
0.165865,0.210664
0.145433,0.193283
0.136418,0.157699
0.025240,0.121146
0.034255,0.077343
0.021635,0.076682
0.000000,0.075391
0.203726,0.107919
0.213942,0.206310
0.053486,0.192968
0.004207,0.091434
0.132813,0.059136
0.281851,0.102037
0.221755,0.178534
0.039663,0.187154
0.048678,0.109230
0.041466,0.102290
0.023438,0.056635
0.042067,0.055086
0.018404,0.088676
0.043419,0.119534
0.050631,0.121956
0.057843,0.095093
0.065054,0.097580
0.072266,0.072120
0.054462,0.087635
0.028245,0.077226
0.065505,0.082892
