E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.599543,0.489235,0.035035,0.024681
10,4,0.8,6,0.570377,0.397156,0.036288,0.026814
10,4,0.8,7,0.653815,0.393301,0.032574,0.026900
10,4,0.8,8,0.644491,0.433413,0.033010,0.025995
10,4,0.8,9,0.638123,0.305524,0.033305,0.028780
10,4,0.8,10,-2.317319,-2.651246,0.100836,0.065990
10,4,0.8,11,0.156230,0.247597,0.050855,0.029956
10,4,0.8,12,0.603826,0.301371,0.034847,0.028866
10,4,0.8,13,0.436057,-0.259025,0.041576,0.038750
10,4,0.8,14,0.302201,-0.940380,0.046247,0.048106
10,4,0.8,15,0.498463,0.085254,0.039208,0.033030
