REAL,ESTIMATE
34.000000,35.477687
40.000000,35.190890
37.000000,40.327588
36.000000,36.904790
38.000000,36.341979
38.000000,38.282886
48.000000,37.922428
43.000000,47.395277
49.000000,42.570524
47.000000,48.843511
60.000000,46.997284
65.000000,59.941218
77.000000,65.814308
101.000000,79.441041
120.000000,106.985321
135.000000,130.175776
135.000000,149.378916
135.000000,150.892092
147.000000,153.322555
155.000000,160.618799
146.000000,170.093325
141.000000,157.607040
137.000000,143.805474
135.000000,136.530780
133.000000,133.611792
142.000000,132.689168
150.000000,142.017414
136.000000,151.648767
128.000000,136.984133
129.000000,129.544740
131.000000,132.651716
137.000000,137.269108
149.000000,144.913913
154.000000,158.714292
115.000000,165.974681
52.000000,125.404140
51.000000,61.524578
59.000000,58.594581
63.000000,65.991788
80.000000,70.049962
83.000000,87.778787
74.000000,93.263288
104.000000,86.830547
121.000000,108.480018
115.000000,110.718498
122.000000,104.289866
131.000000,111.294014
111.000000,119.350953
104.000000,102.395371
96.000000,97.892571
89.000000,89.170472
77.000000,83.731170
92.000000,69.400114
71.000000,81.119714
60.000000,65.078820
56.000000,57.941787
47.000000,53.337946
55.000000,46.806014
63.000000,50.749899
65.000000,56.442374
67.000000,56.229217
61.000000,59.883961
52.000000,53.239415
42.000000,46.362365
36.000000,38.381408
35.000000,33.426184
46.000000,33.139872
44.000000,41.759902
37.000000,41.433521
29.000000,37.992482
39.000000,31.757983
40.000000,37.079258
35.000000,35.938393
40.000000,31.985422
36.000000,35.145155
44.000000,34.614206
35.000000,39.075240
38.000000,33.442753
38.000000,34.523908
35.000000,35.050358
41.000000,34.574123
42.000000,37.509992
38.000000,39.052630
43.000000,37.589381
51.000000,38.791313
45.000000,42.577281
51.000000,39.735297
63.000000,44.486392
71.000000,59.324988
69.000000,64.557673
69.000000,60.653364
71.000000,74.362698
71.000000,65.235950
71.000000,64.673544
73.000000,66.394199
77.000000,68.561387
85.000000,77.781316
84.000000,79.496493
81.000000,78.138537
69.000000,87.951358
74.000000,64.294691
77.000000,68.962193
85.000000,71.693194
98.000000,78.361374
116.000000,94.707600
115.000000,113.903569
94.000000,114.603841
84.000000,92.821772
93.000000,82.684765
96.000000,90.822141
106.000000,92.346879
92.000000,102.171963
86.000000,90.426569
75.000000,85.739072
112.000000,75.239895
120.000000,113.100592
134.000000,124.229897
160.000000,137.084777
155.000000,168.987129
145.000000,163.141806
153.000000,150.940923
156.000000,157.408485
138.000000,161.082551
114.000000,142.124653
107.000000,115.233900
114.000000,108.684692
110.000000,119.594031
112.000000,115.869596
115.000000,114.244489
105.000000,117.231396
140.000000,106.144538
164.000000,145.922516
172.000000,172.030130
170.000000,179.745961
185.000000,180.864545
208.000000,197.199051
219.000000,222.318625
217.000000,234.731539
200.000000,228.837217
173.000000,220.948038
160.000000,191.651053
163.000000,176.262357
155.000000,181.542203
146.000000,174.786427
131.000000,171.820233
146.000000,158.672835
151.000000,173.817276
143.000000,180.460026
133.000000,165.793177
131.000000,150.079638
142.000000,146.973643
162.000000,159.275810
175.000000,185.810315
149.000000,197.308287
133.000000,171.509815
154.000000,154.059299
115.000000,172.167788
143.000000,124.470853
169.000000,151.483611
143.000000,183.101944
112.000000,160.944131
100.000000,130.159286
83.000000,114.551565
54.000000,94.427137
53.000000,72.162383
48.000000,62.314490
44.000000,64.855573
42.000000,68.374353
39.000000,63.524880
40.000000,57.338208
44.000000,53.640691
45.000000,51.847939
51.000000,49.253145
51.000000,49.128311
48.000000,52.109832
53.000000,53.012950
56.000000,53.672943
59.000000,53.025267
62.000000,52.242967
66.000000,52.946428
64.000000,53.759259
66.000000,52.233503
51.000000,54.772220
38.000000,46.970328
44.000000,40.190896
62.000000,42.772501
48.000000,51.899623
53.000000,44.642516
51.000000,46.375794
47.000000,45.491189
39.000000,43.366394
42.000000,37.622908
36.000000,38.719315
34.000000,37.012356
32.000000,37.981129
32.000000,36.022421
33.000000,36.803808
36.000000,37.003005
30.000000,38.042050
45.000000,33.949306
51.000000,41.755234
41.000000,44.888551
39.000000,40.642434
34.000000,38.133842
31.000000,35.678546
44.000000,35.099608
44.000000,42.688922
39.000000,39.695906
40.000000,38.567766
29.000000,38.999793
29.000000,32.282750
46.000000,31.686883
41.000000,40.074696
33.000000,39.184280
35.000000,32.929006
31.000000,33.485208
28.000000,31.647802
29.000000,29.665029
31.000000,29.225819
27.000000,31.644619
29.000000,28.280639
33.000000,31.054768
37.000000,32.591623
39.000000,33.997559
43.000000,36.385535
37.000000,41.826604
39.000000,37.486810
44.000000,39.725108
46.000000,44.610576
43.000000,46.561069
37.000000,43.331609
42.000000,37.895880
42.000000,42.718731
33.000000,42.101547
38.000000,33.739805
33.000000,38.374010
31.000000,33.945217
35.000000,32.668106
35.000000,36.285779
39.000000,36.198709
38.000000,40.474856
39.000000,39.835580
34.000000,39.900397
29.000000,35.725143
34.000000,31.413356
35.000000,35.518998
47.000000,36.960048
48.000000,47.854973
51.000000,48.101279
43.000000,51.057158
52.000000,43.075612
69.000000,51.591765
42.000000,70.865841
40.000000,42.345858
39.000000,40.437739
36.000000,39.300340
40.000000,36.994530
33.000000,40.113066
33.000000,33.757151
46.000000,33.727742
42.000000,44.478436
41.000000,41.388894
38.000000,41.130523
39.000000,38.380646
37.000000,40.053058
34.000000,38.541047
31.000000,34.861929
29.000000,32.374713
28.000000,30.858702
38.000000,29.965442
35.000000,39.027874
42.000000,36.122189
48.000000,42.342605
51.000000,48.008991
72.000000,49.712265
81.000000,72.065772
63.000000,81.590709
48.000000,62.872179
53.000000,47.509319
41.000000,52.882845
52.000000,41.218004
48.000000,51.375566
41.000000,47.296017
56.000000,40.449307
55.000000,52.733880
50.000000,53.261466
47.000000,49.595415
44.000000,47.193599
39.000000,44.827606
44.000000,40.440285
38.000000,44.300909
38.000000,38.723697
39.000000,38.713306
48.000000,39.895965
45.000000,48.491138
43.000000,45.211253
33.000000,43.478434
47.000000,34.517879
42.000000,46.485746
41.000000,40.851141
34.000000,39.153317
28.000000,34.399336
34.000000,30.182534
29.000000,35.136514
32.000000,31.248639
34.000000,33.339918
56.000000,35.179118
41.000000,54.613535
30.000000,38.926452
31.000000,30.765911
37.000000,32.294661
28.000000,38.058027
21.000000,30.432606
30.000000,24.977186
30.000000,32.156536
28.000000,32.508759
31.000000,30.856115
30.000000,32.945058
31.000000,31.813882
40.000000,32.918993
47.000000,40.302912
60.000000,47.428547
70.000000,60.319075
77.000000,69.061238
89.000000,77.361314
100.000000,94.008879
98.000000,110.519639
111.000000,107.193338
111.000000,123.159057
89.000000,118.361047
86.000000,91.706414
97.000000,84.361321
101.000000,93.955060
89.000000,98.481319
85.000000,85.988693
88.000000,82.251901
84.000000,84.964292
82.000000,81.039158
76.000000,82.221856
77.000000,75.886173
77.000000,76.293684
84.000000,76.337382
107.000000,82.545188
116.000000,108.374385
119.000000,116.664627
121.000000,120.428925
139.000000,125.202317
186.000000,147.347044
233.000000,198.257447
244.000000,245.568136
202.000000,256.250962
194.000000,213.979109
188.000000,204.657962
187.000000,196.539625
184.000000,197.277030
162.000000,193.203221
125.000000,176.696257
134.000000,146.591165
153.000000,160.386538
138.000000,175.277554
116.000000,155.903949
116.000000,129.306174
132.000000,130.453196
116.000000,150.829776
118.000000,133.712091
128.000000,132.172793
128.000000,148.529605
97.000000,149.098150
67.000000,109.397362
71.000000,74.960274
94.000000,79.097410
119.000000,106.357714
98.000000,125.720008
87.000000,101.900132
87.000000,96.740821
84.000000,96.549237
74.000000,83.857341
72.000000,66.843021
73.000000,66.096006
94.000000,72.885577
60.000000,91.773894
45.000000,59.770201
37.000000,49.847291
33.000000,44.495122
32.000000,38.644141
30.000000,33.745268
29.000000,32.061549
26.000000,33.886846
34.000000,37.258710
35.000000,37.755353
31.000000,36.699629
13.000000,32.812319
4.000000,22.527108
1.000000,16.669785
5.000000,14.462436
7.000000,17.230264
14.000000,21.277865
12.000000,24.896590
15.000000,23.953828
13.000000,23.189401
13.000000,20.385644
12.000000,19.174333
18.000000,18.428021
20.000000,21.711505
17.000000,24.084674
16.000000,24.249436
15.000000,24.654716
11.000000,22.982025
19.000000,19.797517
14.000000,22.301433
15.000000,19.992451
17.000000,21.716778
14.000000,23.150078
20.000000,23.006077
19.000000,26.555903
20.000000,24.906155
16.000000,23.480126
24.000000,20.965720
22.000000,24.379190
28.000000,24.349960
28.333333,27.506008
28.666667,28.355305
29.000000,28.038879
30.000000,27.815042
27.000000,28.090860
24.000000,26.519380
15.000000,24.832724
17.000000,19.781914
4.000000,21.558554
10.000000,13.943734
8.000000,17.169097
1.000000,15.969006
6.000000,11.725780
5.000000,13.727656
11.000000,13.123735
14.000000,16.471280
36.000000,18.604931
39.000000,32.888300
44.000000,36.064208
37.000000,40.021356
41.000000,33.177148
40.000000,36.482409
39.000000,35.250876
35.000000,35.001553
40.000000,32.044624
32.000000,36.709986
27.000000,30.738436
39.000000,26.798984
29.000000,34.102046
38.000000,27.011538
38.000000,33.075748
56.000000,33.537813
54.000000,48.872569
48.000000,48.344513
43.000000,43.694638
7.000000,39.055963
4.000000,12.782585
4.000000,10.587019
3.000000,10.835960
4.500000,10.522807
6.000000,12.118326
2.000000,13.134129
7.000000,10.411574
4.000000,13.210867
9.000000,10.229333
8.000000,13.066927
12.000000,12.441420
12.000000,14.884363
16.000000,15.227823
16.000000,17.380377
16.000000,17.510901
12.000000,17.557013
18.000000,14.242156
17.000000,18.309252
14.000000,17.583970
16.000000,15.899850
16.000000,17.372751
14.000000,17.668610
14.000000,16.795567
13.000000,16.934597
12.000000,15.737474
11.000000,15.365494
10.000000,14.882238
12.000000,14.071917
8.000000,15.513107
10.000000,13.124158
10.000000,14.387027
17.000000,14.363606
14.000000,18.328339
20.000000,16.534945
23.000000,20.228326
16.000000,21.942505
16.000000,17.941509
12.000000,17.806916
17.000000,15.529862
15.000000,18.586087
15.000000,16.684065
15.000000,16.698918
21.000000,16.934648
21.000000,20.861251
15.000000,20.755339
23.000000,17.798658
14.000000,22.587265
22.000000,17.247744
26.000000,21.818978
27.000000,24.515349
21.000000,25.451766
21.000000,21.754371
25.000000,21.734970
29.000000,24.393587
31.000000,26.932411
32.000000,28.073675
42.000000,28.383669
56.000000,35.772236
79.000000,47.762682
94.000000,69.366154
106.000000,86.070783
112.000000,98.277405
100.000000,104.613844
99.000000,91.512807
76.000000,86.225930
65.000000,64.496771
60.000000,55.073438
58.000000,51.210015
53.000000,50.249598
43.000000,47.195552
50.000000,40.479690
44.000000,44.897434
43.000000,40.391259
45.000000,39.297809
49.000000,40.955030
45.000000,44.487307
55.000000,41.082838
44.000000,49.096550
26.000000,39.436314
19.000000,26.573424
20.000000,21.254595
34.000000,21.785623
34.000000,32.090330
27.000000,31.883779
32.000000,26.267330
25.000000,29.946604
42.000000,24.087685
39.000000,35.594470
35.000000,33.243159
37.000000,31.261794
36.000000,33.964320
24.000000,32.593176
20.000000,22.634496
16.000000,19.649830
15.000000,16.685966
14.000000,16.839295
13.000000,16.371387
12.000000,16.334492
16.000000,16.449987
15.000000,19.397166
10.000000,17.838017
15.000000,14.134354
14.000000,17.231064
10.000000,16.969560
18.000000,14.522315
20.000000,20.418974
24.000000,21.971357
28.000000,24.602150
28.000000,26.517660
37.000000,25.234258
43.000000,31.692118
32.000000,36.626022
40.000000,28.519164
41.000000,36.788368
51.000000,38.829435
42.000000,46.888912
42.000000,37.849947
33.000000,37.172269
42.000000,30.805374
38.000000,37.935522
39.000000,34.075200
42.000000,37.000632
41.000000,41.173423
37.000000,40.797852
35.000000,36.567832
36.000000,34.472996
47.000000,34.713907
49.000000,45.142867
43.000000,45.858226
37.000000,42.042679
44.000000,37.472231
39.000000,43.984619
41.000000,38.651638
41.000000,39.810448
65.000000,39.277697
55.000000,61.994918
56.000000,51.132674
62.000000,52.541506
50.000000,59.186756
48.000000,48.265176
48.000000,45.806238
38.000000,45.615911
38.000000,36.755485
39.000000,36.980202
36.000000,36.926441
37.000000,34.764949
40.000000,36.338180
40.000000,39.215256
40.000000,38.556990
37.000000,38.484632
53.000000,35.689715
55.000000,51.476571
58.000000,52.495459
65.000000,56.249863
64.000000,63.717720
56.000000,63.881147
43.000000,54.027955
45.000000,40.936386
39.000000,42.292284
54.000000,37.048805
68.000000,50.192893
58.000000,64.332929
45.000000,54.178320
53.000000,43.146359
60.000000,50.547340
53.000000,56.819853
56.000000,50.831693
54.000000,54.152113
55.000000,51.749745
48.000000,53.292928
53.000000,46.563402
57.000000,52.286644
64.000000,56.529370
62.000000,63.548273
61.000000,62.267740
69.000000,61.711519
70.000000,69.632924
69.000000,70.826377
71.000000,70.043282
69.000000,72.654070
79.000000,70.193872
65.000000,81.211779
51.000000,64.654268
56.000000,50.651198
38.000000,55.353812
47.000000,38.416259
59.000000,46.160627
60.000000,58.417182
60.000000,59.408149
54.000000,59.041376
53.000000,53.552232
50.000000,53.411360
52.000000,50.620998
55.000000,51.751344
57.000000,54.903462
57.000000,57.437791
52.000000,57.051286
52.000000,51.277648
49.000000,51.820258
53.000000,49.287226
49.000000,53.142030
43.000000,48.756173
39.000000,43.423185
44.000000,39.471983
32.000000,44.196465
31.000000,33.170269
23.000000,32.476217
34.000000,26.445169
28.000000,35.182380
31.000000,29.935554
36.000000,32.366607
32.000000,36.550441
29.000000,33.341355
31.000000,30.027926
28.000000,32.412284
29.000000,30.429318
21.000000,31.700793
23.000000,25.152760
21.000000,26.925967
17.000000,25.103623
18.000000,21.902040
20.000000,22.036400
21.000000,23.878636
23.000000,24.207018
25.000000,26.303482
28.000000,27.378216
32.000000,30.075846
26.000000,33.163143
32.000000,28.300204
25.000000,32.931281
22.000000,27.700059
23.000000,25.562815
19.000000,26.230174
22.000000,23.140894
17.000000,25.468860
25.000000,21.859468
31.000000,27.631711
33.000000,32.222471
32.000000,34.230163
33.000000,33.187424
29.000000,34.613031
22.000000,30.726315
28.000000,25.441926
25.000000,29.894726
24.000000,27.655257
23.000000,26.904634
23.000000,26.068554
24.000000,25.461285
20.000000,26.761166
12.000000,22.879783
16.000000,17.601072
9.000000,20.721226
16.000000,15.969108
8.000000,20.598891
9.000000,15.117791
13.000000,15.559282
13.000000,18.409544
6.000000,17.969067
13.000000,13.234816
11.000000,17.908509
17.000000,16.245891
11.000000,20.318673
12.000000,15.983019
7.000000,16.400841
13.000000,13.708574
12.000000,17.238171
12.000000,16.224583
12.000000,16.556838
16.000000,16.269745
17.000000,19.069752
25.000000,19.183049
29.000000,24.266932
34.000000,27.832840
31.000000,31.047173
37.000000,28.416445
42.000000,33.620922
50.000000,37.156526
53.000000,45.417278
55.000000,47.363682
54.000000,49.296245
56.000000,48.647065
62.000000,49.834181
77.000000,53.913737
96.000000,69.800237
89.000000,87.541536
82.000000,82.773403
68.000000,73.770113
63.000000,60.956673
68.000000,56.827059
75.000000,61.818927
60.000000,66.984902
48.000000,54.460691
53.000000,44.809901
56.000000,49.846698
47.000000,51.554193
49.000000,43.711485
48.000000,45.443639
62.000000,44.643823
88.000000,56.378904
86.000000,81.995030
78.000000,78.807138
42.000000,73.054969
39.000000,39.681032
62.000000,36.876813
96.000000,57.332521
119.000000,93.184714
110.000000,115.140303
104.000000,105.455406
92.000000,95.727629
83.000000,85.537607
77.000000,75.676702
82.000000,71.759550
69.000000,77.624931
59.000000,63.866799
54.000000,55.865907
43.000000,52.054940
47.000000,41.486442
48.000000,44.334553
47.000000,43.473983
47.000000,43.380178
52.000000,44.263445
56.000000,48.493793
65.000000,50.323695
59.000000,58.320840
64.000000,51.818810
62.000000,58.185656
59.000000,57.489694
63.000000,55.933435
62.000000,58.899796
76.000000,56.823913
86.000000,66.764522
86.000000,75.618853
76.000000,73.904816
66.000000,67.819259
58.000000,60.911849
62.000000,55.120827
56.000000,58.912285
55.000000,51.983863
61.000000,49.371344
62.000000,55.794364
58.000000,56.606217
63.000000,54.833520
67.000000,60.667150
63.000000,66.323294
59.000000,62.324191
41.000000,57.656065
41.000000,39.924640
35.000000,40.777236
43.000000,36.492098
37.000000,43.551200
39.000000,38.775856
43.000000,40.597263
46.000000,43.787203
38.000000,45.512578
34.000000,37.283829
44.000000,33.751157
45.000000,40.409527
49.000000,43.069953
44.000000,47.447379
47.000000,43.228713
39.000000,45.849195
41.000000,38.803991
34.000000,38.807196
33.000000,33.831026
26.000000,32.974604
26.000000,28.773651
30.000000,28.213784
30.000000,31.360644
33.000000,32.177098
28.000000,35.364764
21.000000,30.620563
20.000000,24.913931
19.000000,23.997349
17.000000,23.519677
16.000000,22.081947
19.000000,21.345789
22.000000,23.658432
13.000000,26.059086
3.000000,19.085637
10.000000,12.162201
17.000000,16.198430
20.000000,21.145141
12.000000,23.481629
11.000000,17.928496
12.000000,17.256995
7.000000,18.281290
9.000000,14.475325
3.000000,15.362616
9.000000,11.794386
5.000000,15.913573
5.000000,13.308168
8.000000,13.028133
12.000000,15.073422
8.000000,17.897733
