REAL,ESTIMATE
56.000000,51.595842
55.000000,55.673165
63.000000,63.619046
75.000000,67.902868
75.000000,79.739716
80.000000,77.614314
73.000000,75.044529
66.000000,75.506295
56.000000,59.720751
54.000000,56.132808
41.000000,53.277431
38.000000,43.026710
33.000000,40.362095
32.000000,36.731035
35.000000,36.593613
41.000000,37.719489
39.000000,41.952677
57.000000,39.020953
66.000000,53.872435
68.000000,63.407009
63.000000,63.614505
71.000000,57.415880
71.000000,63.717906
57.000000,67.383067
44.000000,56.394694
45.000000,44.997199
41.000000,45.829802
43.000000,41.227447
46.000000,42.249817
48.000000,44.381959
43.000000,45.177575
45.000000,42.301515
45.000000,44.977855
40.000000,45.099150
43.000000,40.863719
39.000000,43.520159
45.000000,39.174672
44.000000,44.413639
41.000000,42.339239
48.000000,40.813188
45.000000,48.539910
50.000000,45.804394
58.000000,49.586466
57.000000,57.121779
47.000000,55.744991
36.000000,46.334048
38.000000,35.465945
40.000000,38.138772
31.000000,41.415151
47.000000,33.741241
38.000000,47.820989
38.000000,38.364851
34.000000,37.688651
35.000000,34.204295
40.000000,33.861746
39.000000,39.100657
41.000000,39.484184
35.000000,41.826654
37.000000,37.506209
46.000000,39.084765
40.000000,47.025977
46.000000,41.233408
46.000000,45.903582
55.000000,46.891193
51.000000,56.341715
57.000000,51.928832
61.000000,58.106695
65.000000,61.217206
61.000000,65.021338
64.000000,61.547391
64.000000,63.850981
78.000000,64.176423
96.000000,81.067539
114.000000,104.311067
104.000000,124.736673
103.000000,109.896596
110.000000,107.394441
91.000000,117.020746
96.000000,92.191196
87.000000,98.494713
75.000000,88.666711
79.000000,73.670886
72.000000,77.833695
66.000000,71.464764
68.000000,65.848713
61.000000,67.446356
68.000000,60.843812
65.000000,67.636393
92.000000,64.829915
90.000000,92.026798
87.000000,88.988478
99.000000,85.606793
89.000000,98.822371
79.000000,87.635131
75.000000,78.464257
85.000000,73.843259
94.000000,84.231530
87.000000,92.212955
67.000000,83.009053
76.000000,63.968978
71.000000,72.697620
62.000000,67.370422
73.000000,59.465583
100.000000,69.887093
100.000000,98.860802
79.000000,97.010339
84.000000,73.743052
71.000000,79.854913
59.000000,66.939006
60.000000,54.698729
80.000000,57.017742
91.000000,76.583792
125.000000,88.043377
115.500000,122.450469
106.000000,109.751168
104.000000,101.303917
105.000000,98.309114
84.000000,99.597463
75.000000,81.379200
39.000000,71.436400
25.000000,40.685993
19.000000,34.306570
26.000000,28.127615
29.000000,31.568086
28.000000,33.120046
32.000000,31.951941
25.000000,33.786480
20.000000,28.610852
17.000000,23.223461
19.000000,21.459114
18.000000,22.333387
13.000000,22.077426
20.000000,18.935156
15.000000,23.429940
21.000000,20.412993
22.000000,23.793098
21.000000,22.899395
32.000000,21.375316
31.000000,28.944727
31.000000,28.784761
27.000000,28.841177
21.000000,27.097654
22.000000,23.488885
26.000000,24.246714
18.000000,26.035982
14.000000,19.137832
19.000000,17.934390
26.000000,21.225451
22.000000,25.506986
17.000000,23.151844
22.000000,20.545078
14.000000,24.425286
16.000000,19.012370
12.000000,19.689285
19.000000,17.556417
18.000000,22.161794
22.000000,22.054392
25.000000,24.516006
20.000000,26.996864
24.000000,23.456811
23.000000,25.198767
25.000000,23.629422
31.000000,24.374765
39.000000,29.065723
39.000000,35.319978
46.000000,35.410426
52.000000,42.086537
53.000000,47.099292
41.000000,46.462313
48.000000,34.950827
40.000000,40.576201
43.000000,36.242880
50.000000,39.001470
52.000000,44.842454
50.000000,47.822852
49.000000,46.731491
49.000000,45.975824
48.000000,42.903633
55.000000,43.112635
54.000000,50.522066
57.000000,50.332714
52.000000,53.148470
53.000000,49.436634
54.000000,50.791965
58.000000,51.003541
66.000000,52.866531
50.000000,59.931227
51.000000,46.477621
35.000000,47.857896
32.000000,34.438934
27.000000,31.655944
52.000000,27.828710
75.000000,48.002004
68.000000,69.620127
48.000000,62.778384
50.000000,44.986139
55.000000,46.631487
60.000000,51.605401
57.000000,55.620291
50.000000,53.040858
50.000000,47.078547
46.000000,47.090581
53.000000,43.857107
55.000000,50.766238
62.000000,53.549141
75.000000,59.668312
74.000000,72.607382
80.000000,71.829913
82.000000,79.974664
76.000000,79.517300
84.000000,72.337543
104.000000,83.602082
101.000000,108.948446
76.000000,104.559945
60.000000,73.895256
48.000000,57.526065
28.000000,45.907557
39.000000,29.365154
34.000000,37.513615
38.000000,34.864476
37.000000,38.893285
37.000000,38.546448
35.000000,37.988386
36.000000,35.634646
30.000000,36.297294
29.000000,29.859957
23.000000,30.041230
25.000000,25.365701
24.000000,26.973557
25.000000,26.034245
30.000000,26.932683
36.000000,30.983847
33.000000,36.530262
29.000000,32.778876
29.000000,30.258331
32.000000,29.409742
36.000000,30.763011
31.000000,34.174482
30.000000,31.443713
38.000000,31.328285
32.000000,38.341713
31.000000,32.129174
29.000000,31.632870
22.000000,30.288297
29.000000,23.798992
29.000000,29.155277
29.000000,30.223939
33.000000,30.873709
25.000000,35.106549
29.000000,27.872108
28.000000,31.480017
33.000000,30.080569
40.000000,33.096853
39.000000,38.568104
39.000000,37.983982
53.000000,37.998400
57.000000,52.249401
76.000000,54.036344
52.000000,75.673025
41.000000,48.779255
39.000000,37.783564
36.000000,37.173519
39.000000,35.993570
38.000000,38.965294
35.000000,38.431495
39.000000,35.201926
38.000000,38.941812
37.000000,37.362529
51.000000,35.565577
57.000000,47.745543
60.000000,55.191391
49.000000,59.573277
42.000000,49.557452
39.000000,41.876046
46.000000,39.228448
39.000000,45.295990
47.000000,38.275091
48.000000,45.928494
52.000000,47.567081
