E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.352130,0.222998,0.117960,0.129200
10,7,0.8,6,0.400599,0.236190,0.113462,0.128099
10,7,0.8,7,0.413193,0.335433,0.112264,0.119487
10,7,0.8,8,0.418422,0.269060,0.111762,0.125312
10,7,0.8,9,0.397228,0.322247,0.113781,0.120667
10,7,0.8,10,0.453851,0.146046,0.108305,0.135447
10,7,0.8,11,0.437588,0.339036,0.109905,0.119163
10,7,0.8,12,0.468236,0.263289,0.106869,0.125806
10,7,0.8,13,0.452997,0.302469,0.108389,0.122415
10,7,0.8,14,0.468481,0.259584,0.106844,0.126122
10,7,0.8,15,0.455980,0.309732,0.108093,0.121776
