REAL,ESTIMATE
0.367472,0.321048
0.236998,0.376002
0.292915,0.238119
0.209941,0.285368
0.175068,0.172902
0.120353,0.135318
0.165447,0.218030
0.244213,0.203505
0.577312,0.252375
0.501553,0.461168
0.327788,0.218959
0.399940,0.268444
0.155827,0.331329
0.381301,0.222558
0.363263,0.371131
0.467883,0.294514
0.375889,0.379699
0.157631,0.314237
0.321174,0.203307
0.348231,0.276691
0.297725,0.299411
0.407155,0.351556
0.434212,0.380446
0.352440,0.426756
0.315763,0.360392
0.537028,0.312043
0.389117,0.445741
0.312757,0.336874
0.292314,0.315946
0.476300,0.340040
0.521996,0.434241
0.455256,0.453476
0.535224,0.368202
0.638040,0.459276
0.827738,0.554738
0.948893,0.730743
0.577914,0.975970
0.296523,0.620410
0.378896,0.343129
0.254434,0.344537
0.158834,0.299646
0.243612,0.256955
0.212947,0.290116
0.231286,0.260872
0.247219,0.352066
0.317567,0.325700
0.408959,0.303750
0.440224,0.363007
0.414370,0.354557
0.392725,0.331850
0.215954,0.226966
0.226776,0.239550
0.212947,0.294383
0.201523,0.280250
0.378896,0.288239
0.502756,0.353019
0.657280,0.446724
0.598357,0.506769
0.544243,0.512261
0.413769,0.535163
0.502756,0.389041
0.398737,0.551619
0.422187,0.431777
0.332598,0.463822
0.453452,0.422842
0.354244,0.375616
0.292314,0.347087
0.316966,0.353332
0.243612,0.354393
0.296523,0.396819
0.303137,0.430591
0.204530,0.463996
0.302535,0.270619
0.442028,0.276816
0.470889,0.440780
0.489528,0.338393
0.685540,0.474773
0.584528,0.646622
0.230985,0.496426
0.072853,0.320863
0.046397,0.252539
0.249023,0.246263
0.258042,0.328019
0.374086,0.328067
0.198517,0.400238
0.128770,0.286020
0.316364,0.182102
0.253232,0.292034
0.203928,0.271902
0.238801,0.290489
0.134783,0.279083
0.196713,0.230001
0.297124,0.242450
0.384307,0.279067
0.288706,0.323329
0.241207,0.235130
0.187093,0.233877
0.212947,0.199425
0.199719,0.227977
0.234593,0.203804
0.376491,0.235804
0.238801,0.396159
0.365668,0.285402
0.422187,0.405950
0.410161,0.425524
0.208137,0.382852
0.264656,0.278158
0.362662,0.338280
0.285099,0.255038
0.489528,0.321604
0.600762,0.258522
0.595951,0.396894
0.362662,0.489168
0.288706,0.339838
0.293516,0.301514
0.425794,0.346173
0.459465,0.406579
0.348231,0.340284
0.182884,0.312422
0.190099,0.203947
0.393627,0.238003
0.455857,0.362094
0.537028,0.373935
0.403547,0.425393
0.472693,0.351296
0.498547,0.391882
0.434212,0.465709
0.261649,0.190083
0.396934,0.257275
0.160637,0.419286
0.241808,0.254190
0.470288,0.327491
0.508167,0.470454
0.434212,0.469639
