REAL,ESTIMATE
0.224371,0.259235
0.204530,0.336142
0.394529,0.312290
0.195511,0.278066
0.331396,0.306326
0.604970,0.408036
0.564085,0.563823
0.226776,0.384052
0.414971,0.290567
0.456459,0.384059
0.461269,0.480369
0.458864,0.436173
0.324181,0.417987
0.506363,0.410061
0.301333,0.347212
0.223770,0.308729
0.472091,0.305965
0.434813,0.425801
0.477503,0.410741
0.458864,0.475032
0.469686,0.446738
0.786552,0.487969
0.453452,0.425123
0.357851,0.361537
0.193707,0.396967
0.501553,0.230361
0.585730,0.463132
0.577914,0.499502
0.408959,0.451121
0.153422,0.325594
0.255637,0.265381
0.153422,0.328259
0.448642,0.297885
0.507566,0.419296
0.511173,0.430262
0.474496,0.470260
0.515984,0.357434
0.502155,0.501912
0.414370,0.479598
0.460066,0.362881
0.548752,0.403114
0.616394,0.484061
0.565287,0.523353
0.370478,0.465886
0.191302,0.360282
0.158232,0.300295
0.297725,0.218085
0.277884,0.330837
0.436016,0.341289
0.419782,0.404484
0.564085,0.513261
0.511173,0.606245
0.178675,0.314358
0.083676,0.223729
0.100511,0.224431
0.154023,0.261535
0.372282,0.276877
0.310352,0.356263
0.142599,0.328944
0.243010,0.217966
0.089688,0.283502
0.200922,0.178293
0.264656,0.220250
0.200922,0.316402
0.324181,0.265365
0.328390,0.345699
0.118549,0.306219
0.200321,0.217783
0.333801,0.242028
0.247219,0.280779
0.161239,0.236728
0.328390,0.334344
0.387313,0.346828
0.327788,0.349521
0.438421,0.276487
0.243010,0.341493
0.186492,0.293929
0.405351,0.303344
0.401744,0.364509
0.350035,0.456860
0.188295,0.410674
0.227377,0.202095
0.274877,0.234812
0.324181,0.241702
0.394529,0.301077
0.456459,0.293546
0.461870,0.481257
0.211745,0.209723
0.420383,0.266724
0.138992,0.314380
0.029562,0.233371
0.116745,0.199274
0.168454,0.199205
0.308548,0.250727
0.130574,0.339320
0.250225,0.242104
0.246618,0.297710
0.175669,0.239777
0.171460,0.213369
0.288706,0.273164
0.244814,0.294450
0.132979,0.285561
0.246618,0.148053
0.344624,0.260505
0.200922,0.262185
0.185289,0.175869
0.182283,0.151799
0.127568,0.259605
0.089688,0.263213
0.257441,0.169342
0.236396,0.255909
0.300732,0.253162
0.184087,0.242763
0.132979,0.184698
0.115543,0.163314
0.143201,0.128931
0.244213,0.188924
0.271270,0.271689
0.229181,0.314864
0.075258,0.267157
0.161239,0.158371
0.401142,0.251503
