E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.698117,0.310269,0.095798,0.113297
10,5,0.8,6,0.705326,0.285297,0.094647,0.115330
10,5,0.8,7,0.721392,0.180118,0.092031,0.123525
10,5,0.8,8,0.725246,0.195863,0.091392,0.122333
10,5,0.8,9,0.734355,0.172746,0.089865,0.124079
10,5,0.8,10,0.743915,0.141084,0.088233,0.126431
10,5,0.8,11,0.749870,0.089995,0.087201,0.130137
10,5,0.8,12,0.734872,0.259816,0.089777,0.117368
10,5,0.8,13,0.756251,0.121654,0.086081,0.127853
10,5,0.8,14,0.760805,0.146108,0.085273,0.126061
10,5,0.8,15,0.762189,0.270226,0.085026,0.116539
