REAL,ESTIMATE
0.754510,0.698163
0.652657,0.745741
0.370648,0.585540
0.331741,0.379458
0.312628,0.391733
0.488737,0.392757
0.590444,0.527455
0.552901,0.583259
0.369966,0.509808
0.341297,0.433046
0.358362,0.328264
0.250512,0.381562
0.403072,0.322686
0.470990,0.449725
0.483959,0.496416
0.641638,0.497660
0.303208,0.635768
0.369829,0.291583
0.295222,0.393420
0.277133,0.347952
0.453925,0.329428
0.353584,0.470271
0.353584,0.351040
0.445051,0.375904
0.282253,0.479517
0.275768,0.325471
0.271672,0.361402
0.364505,0.290041
0.398635,0.378369
0.444369,0.430081
0.496928,0.457067
0.393857,0.638556
0.351536,0.389315
0.258703,0.372390
0.419795,0.292267
0.415700,0.391852
0.567918,0.418507
0.267235,0.537526
0.319454,0.310855
0.426621,0.294816
0.393174,0.438513
0.258020,0.720858
0.427304,0.303895
0.447782,0.405715
0.361092,0.424115
0.209556,0.388949
0.324573,0.273995
0.510580,0.293316
0.266212,0.491213
0.209556,0.306463
0.215358,0.229970
0.168601,0.218337
0.303754,0.187568
0.325597,0.353407
0.286007,0.325790
0.152901,0.246365
0.165870,0.148994
0.193629,0.187728
0.130489,0.214015
0.224346,0.176543
0.223208,0.256457
0.208532,0.231193
0.436177,0.219707
0.291468,0.384660
0.338957,0.244374
0.306436,0.323574
0.302048,0.290864
0.120137,0.305624
0.190444,0.203591
0.351109,0.217966
0.230461,0.348707
0.245734,0.256978
0.226621,0.253525
0.193174,0.235026
0.307167,0.233841
0.180887,0.318838
0.092406,0.194178
0.129144,0.143489
0.203706,0.186255
0.101706,0.212102
0.217065,0.139049
0.379181,0.199689
0.438225,0.293266
0.432765,0.348494
0.086007,0.366515
0.051195,0.090395
0.056314,0.138589
0.253925,0.162581
0.311263,0.265083
0.037853,0.303521
0.051226,0.110011
0.059727,0.131019
0.142321,0.142360
0.326962,0.214026
0.203413,0.323466
0.144710,0.202885
0.158362,0.177349
0.188396,0.177170
0.202730,0.177552
0.277133,0.233120
0.266553,0.251552
0.370648,0.233825
0.329010,0.289635
0.170648,0.282898
0.283959,0.187437
0.172014,0.270879
0.140614,0.204967
0.167235,0.195059
0.286689,0.213761
0.268259,0.258923
0.239590,0.252574
0.262116,0.233961
0.084642,0.256543
0.102389,0.176909
0.119454,0.201354
0.181570,0.166969
0.276451,0.201889
0.347440,0.252966
0.159044,0.283274
0.092833,0.192535
0.219795,0.146493
0.383618,0.215330
0.248464,0.311211
0.095904,0.252233
0.081911,0.142195
0.075085,0.154436
0.139932,0.165314
0.094881,0.213526
0.108532,0.176831
0.257338,0.154280
0.308532,0.225659
0.204096,0.256695
0.361092,0.233442
0.302389,0.302053
0.094198,0.243242
0.098294,0.179374
0.191126,0.182836
