REAL,ESTIMATE
0.200000,0.225056
0.247099,0.182474
0.223891,0.211409
0.202730,0.208239
0.268259,0.218772
0.299659,0.242329
0.327645,0.222318
0.290102,0.269925
0.227986,0.267629
0.159386,0.233979
0.212287,0.206588
0.252560,0.221018
0.245051,0.259912
0.139249,0.240986
0.311945,0.197524
0.212287,0.258613
0.278498,0.211216
0.369283,0.257471
0.298294,0.298904
0.313311,0.253926
0.217065,0.310022
0.311945,0.225408
0.230034,0.291686
0.126962,0.263994
0.138567,0.199311
0.401365,0.200150
0.352218,0.302575
0.353242,0.322137
0.376109,0.298038
0.348805,0.298037
0.379522,0.292428
0.226621,0.337677
0.305119,0.257501
0.331741,0.317185
0.265529,0.332215
0.419113,0.298499
0.374744,0.395673
0.286007,0.350675
0.247782,0.298963
0.153584,0.267481
0.507167,0.191787
0.419113,0.477783
0.487372,0.406537
0.247099,0.420675
0.262116,0.247317
0.318089,0.251120
0.340614,0.356046
0.433447,0.358858
0.335836,0.479001
0.425256,0.326511
0.339932,0.384261
0.309898,0.332401
0.273720,0.320592
0.338567,0.295745
0.335836,0.319068
0.243003,0.322291
0.503072,0.279744
0.508532,0.495704
0.218089,0.485484
0.232082,0.261748
0.340614,0.270250
0.415700,0.326295
0.561775,0.426277
0.684642,0.553124
0.497611,0.536694
0.466894,0.438591
0.484642,0.442608
0.473720,0.484884
0.427304,0.476043
0.358362,0.462832
0.386348,0.375910
0.494881,0.484073
0.541980,0.527774
0.451195,0.561794
0.328328,0.425379
0.463481,0.325497
0.417065,0.458476
0.376109,0.447663
0.450512,0.437506
0.370648,0.458719
0.450512,0.394379
0.439932,0.459237
0.335154,0.452857
0.415017,0.372500
0.546075,0.436887
0.558362,0.516665
0.600683,0.534187
0.701706,0.589064
0.579522,0.587894
0.365870,0.530277
0.479181,0.384206
0.481229,0.487486
0.350171,0.499558
0.452560,0.425534
0.444369,0.547754
0.408191,0.483603
0.409556,0.457575
0.458703,0.462783
0.490785,0.464815
0.618430,0.485847
0.867235,0.593582
1.000000,0.719645
0.788396,0.694720
0.529693,0.553401
0.682594,0.530030
0.722867,0.634709
0.324232,0.556760
0.467577,0.405349
0.674403,0.499626
0.552901,0.585202
0.544027,0.527696
0.445734,0.548349
0.549488,0.452598
0.427304,0.651232
0.442321,0.454927
0.354266,0.508949
0.384300,0.438543
0.507167,0.491710
0.627986,0.537771
0.772014,0.643020
0.450512,0.721686
0.541980,0.462355
0.733788,0.465567
0.550853,0.635036
0.518771,0.507553
0.555631,0.512846
0.491468,0.556863
0.341297,0.495302
0.450512,0.434255
0.462799,0.504520
0.564505,0.484454
0.472355,0.493198
0.811604,0.662662
0.744710,0.653744
0.561092,0.596948
0.718771,0.762766
0.706485,0.594751
0.522184,0.563168
0.567235,0.463938
0.427304,0.533794
0.436177,0.440320
0.634130,0.422685
0.360410,0.529793
0.129693,0.408742
0.401706,0.293573
0.926962,0.745192
0.859386,0.689189
0.679181,0.626273
0.778157,0.577932
0.826621,0.795439
0.686007,0.557175
0.399317,0.415832
0.344027,0.437338
0.424573,0.418704
0.552901,0.426846
0.292833,0.487914
0.076451,0.355562
0.204778,0.127840
0.499659,0.456594
0.412287,0.493485
0.765870,0.540493
0.995904,0.944235
0.733106,0.748663
0.617065,0.662462
0.300341,0.456593
0.232082,0.302221
0.320137,0.334124
0.354266,0.380937
0.354266,0.385025
0.296928,0.408148
0.276264,0.302964
0.308719,0.398933
0.227304,0.244384
0.507167,0.394995
0.842321,0.838127
0.536519,0.588472
0.486007,0.513357
0.898976,0.832730
0.287372,0.583026
0.308532,0.315444
0.529010,0.411816
0.518089,0.437008
0.329693,0.411752
0.422526,0.411310
0.174061,0.364554
0.249829,0.180766
0.202730,0.418002
0.687372,0.645526
0.531741,0.545115
0.548123,0.470644
0.522867,0.582596
0.541980,0.461328
0.374744,0.471552
0.516041,0.366865
0.518771,0.518153
0.518089,0.478244
0.382935,0.480174
0.589078,0.367313
0.291468,0.453091
0.361092,0.337600
0.418430,0.418509
0.402730,0.446823
0.571331,0.336951
0.693515,0.538670
0.658703,0.654198
0.754949,0.764315
0.516724,0.558000
0.567235,0.412664
0.376109,0.575465
0.446416,0.400906
0.554949,0.466090
0.710239,0.621706
0.431399,0.711165
0.218430,0.418543
0.178157,0.272629
0.288737,0.354289
0.415017,0.374698
0.350853,0.448102
0.361092,0.357275
0.406143,0.390822
0.296928,0.360878
0.332423,0.318758
0.210239,0.355452
0.313311,0.266906
0.218430,0.344534
0.206826,0.283773
0.255973,0.243003
0.280546,0.276046
0.146075,0.276801
0.352901,0.233864
0.289420,0.305223
0.451195,0.280736
0.329010,0.410959
0.230034,0.315868
0.311263,0.276699
0.372696,0.365571
0.389078,0.405011
0.359727,0.379046
0.251195,0.396484
0.376109,0.259059
0.290785,0.397553
0.294198,0.359478
0.318089,0.440034
0.207509,0.329860
0.120819,0.201567
0.322184,0.140775
0.202048,0.281986
0.256655,0.201291
0.184983,0.256708
0.131741,0.206076
0.124232,0.143540
0.160410,0.146970
0.251195,0.135622
0.310580,0.237189
0.088737,0.299791
0.036860,0.152550
0.020478,0.103636
0.152218,0.107736
0.295563,0.183288
0.519454,0.285205
0.263481,0.365117
0.121502,0.233314
0.164505,0.154142
0.231399,0.191292
0.089420,0.249527
0.004096,0.206291
0.219795,0.140268
0.144027,0.223413
0.126280,0.185657
0.344027,0.182030
0.307850,0.284793
0.146758,0.221150
0.178840,0.187046
0.118771,0.199313
0.205461,0.164095
0.186348,0.240552
0.096928,0.238324
0.086007,0.146319
0.100341,0.148692
0.065529,0.160754
0.080546,0.148226
0.006143,0.145347
0.226621,0.116214
0.233447,0.211817
0.004096,0.218639
0.218430,0.135618
0.098976,0.203922
0.195222,0.149648
0.317839,0.214420
0.316574,0.279838
0.302479,0.238385
0.288384,0.263609
0.274289,0.208907
0.260194,0.240512
0.246100,0.265777
0.232005,0.218458
0.217910,0.217603
0.203815,0.198296
0.189720,0.224793
0.175625,0.209795
0.161530,0.197592
0.147435,0.196913
0.133340,0.168466
0.119245,0.181368
0.105150,0.175315
0.091055,0.165219
0.076961,0.163364
0.062866,0.150096
0.048771,0.150223
0.034676,0.150390
0.011443,0.132056
0.181570,0.126960
0.353584,0.190417
0.210239,0.259548
0.037543,0.195940
0.000000,0.144273
0.043686,0.120251
