E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.588208,0.396640,0.034944,0.026661
10,5,0.8,6,0.583951,0.329979,0.035124,0.028096
10,5,0.8,7,0.586133,0.357278,0.035032,0.027517
10,5,0.8,8,0.571542,0.327981,0.035644,0.028138
10,5,0.8,9,0.601309,0.327920,0.034384,0.028139
10,5,0.8,10,0.595497,0.329773,0.034633,0.028100
10,5,0.8,11,0.636234,0.361978,0.032843,0.027417
10,5,0.8,12,0.638397,0.375171,0.032745,0.027132
10,5,0.8,13,0.678144,0.239846,0.030893,0.029926
10,5,0.8,14,0.613514,0.388192,0.033853,0.026847
10,5,0.8,15,0.745180,0.365085,0.027488,0.027350
