REAL,ESTIMATE
0.041251,0.080278
0.033112,0.042946
0.056110,0.038230
0.057980,0.047282
0.042325,0.043407
0.057426,0.044321
0.059920,0.057032
0.043295,0.053130
0.005265,0.048375
0.010945,0.034451
0.028124,0.045046
0.036714,0.045364
0.043779,0.042722
0.048767,0.050922
0.047382,0.066481
0.031518,0.055796
0.036644,0.038884
0.036160,0.040867
0.050707,0.042427
0.041909,0.049687
0.015378,0.047548
0.016452,0.033820
0.015967,0.033776
0.021024,0.014973
0.040316,0.032974
0.058119,0.050535
0.028263,0.048551
0.030722,0.033469
0.050152,0.040612
0.032557,0.055882
0.018807,0.048512
0.016729,0.020607
0.030202,0.023821
0.048767,0.032518
0.073081,0.044207
0.068579,0.058947
0.062344,0.056537
0.060751,0.043515
0.052023,0.043942
0.052819,0.042662
0.069618,0.046723
0.049321,0.056518
0.045511,0.038868
0.032523,0.039663
0.027085,0.044004
0.020331,0.039295
0.045442,0.022723
0.072735,0.035082
0.042533,0.055440
0.041424,0.042437
0.042325,0.061387
0.065808,0.063310
0.082502,0.059374
0.049113,0.065513
0.029648,0.043266
0.021682,0.030332
0.024972,0.028907
0.046758,0.026666
0.070310,0.043858
0.089983,0.057172
0.106955,0.066582
0.093412,0.072178
0.122749,0.067136
0.165212,0.097844
0.147686,0.155775
0.193960,0.134451
0.123996,0.233377
0.080216,0.099236
0.050360,0.070839
0.042740,0.049530
0.044334,0.047321
0.061998,0.045068
0.046758,0.057168
0.034185,0.062159
0.041840,0.054510
0.047797,0.058580
0.059504,0.059273
0.084996,0.073040
0.110695,0.089142
0.147063,0.087895
0.122264,0.109654
0.075852,0.089822
0.008382,0.074565
0.000000,0.028662
0.017179,0.037606
0.069964,0.044616
0.065011,0.069589
0.017456,0.069997
0.011603,0.054102
0.012469,0.051057
0.025769,0.051619
0.029717,0.061734
0.018703,0.059779
0.009490,0.045595
0.012677,0.047530
0.047589,0.057783
0.070033,0.073997
0.043849,0.078469
0.011360,0.049464
0.034843,0.032294
0.014478,0.043636
0.054101,0.037701
0.058811,0.034513
0.066500,0.060458
0.051469,0.065458
0.065184,0.065631
0.069202,0.090337
0.081047,0.071985
0.028540,0.077662
0.060682,0.028786
0.049945,0.051864
0.046204,0.063099
0.073774,0.065394
0.095109,0.060253
0.090607,0.055253
0.058396,0.065151
0.048767,0.057505
0.038307,0.051778
0.052923,0.040698
0.058257,0.037797
0.090953,0.057024
0.044334,0.092641
0.030964,0.039164
0.063452,0.044155
0.100028,0.041209
0.087282,0.070718
0.075783,0.081847
0.110938,0.059076
0.097950,0.081628
0.164311,0.077475
0.043987,0.158470
0.123164,0.054011
0.046481,0.099666
0.037822,0.049733
0.080285,0.041026
0.092027,0.066669
0.096218,0.088685
