REAL,ESTIMATE
0.089637,0.078723
0.113882,0.096751
0.022028,0.044134
0.041840,0.046412
0.096218,0.053896
0.100720,0.093434
0.142630,0.101967
0.166390,0.121233
0.258451,0.149149
0.268495,0.323620
0.205805,0.195021
0.171654,0.178579
0.179343,0.160128
0.153782,0.160294
0.048628,0.088485
0.087005,0.062966
0.122333,0.105443
0.057980,0.067948
0.051261,0.059112
0.042048,0.046268
0.062483,0.058784
0.058603,0.066176
0.056110,0.063290
0.075921,0.067855
0.050914,0.076887
0.066778,0.077505
0.093447,0.087677
0.124203,0.091022
0.148656,0.089239
0.093239,0.099772
0.196453,0.072421
0.190357,0.187463
0.113951,0.158143
0.041355,0.094633
0.086173,0.072527
0.122402,0.086149
0.077930,0.114308
0.087005,0.100267
0.089360,0.086708
0.134178,0.085238
0.171100,0.092979
0.076822,0.114687
0.052646,0.057258
0.088736,0.088604
0.098296,0.109926
0.092616,0.102005
0.078761,0.079295
0.029094,0.032312
0.057634,0.065658
0.059296,0.075830
0.101967,0.089087
0.073150,0.078419
0.113674,0.092939
0.073982,0.105012
0.105015,0.096663
0.104877,0.093843
0.107648,0.111265
0.101344,0.111527
0.112843,0.100990
0.238224,0.097529
0.140067,0.141237
0.094971,0.120090
0.069410,0.093414
0.061859,0.090823
0.085689,0.075449
0.073843,0.089709
0.128013,0.112868
0.167221,0.111401
0.084234,0.124299
0.073774,0.087459
0.032488,0.053339
0.009282,0.028270
0.012884,0.038586
0.034151,0.036031
0.081255,0.069558
0.121294,0.086732
0.035536,0.083722
0.060751,0.072516
0.054101,0.082351
0.055694,0.064286
0.066293,0.084865
0.047139,0.087996
0.058707,0.063455
0.045996,0.076110
0.042533,0.039776
0.065877,0.090076
0.144361,0.095418
0.117830,0.093706
0.072943,0.100276
0.074190,0.069678
0.082641,0.086224
0.074259,0.062714
0.084857,0.098918
0.101829,0.108326
0.084580,0.092818
0.075575,0.098730
0.116930,0.076257
0.100236,0.108242
0.066916,0.090273
0.128741,0.079674
0.245740,0.197827
0.267664,0.278918
0.197077,0.184410
0.103630,0.136532
0.177265,0.099787
0.133070,0.143510
0.123649,0.098795
0.029232,0.042597
0.021128,0.056778
0.019881,0.026550
0.035744,0.056837
0.049113,0.070040
0.046204,0.074974
0.057010,0.079143
0.046897,0.069775
0.026947,0.071756
0.035813,0.073120
0.078346,0.082367
0.057080,0.086492
0.060197,0.062206
0.046100,0.079183
0.103907,0.078806
0.094140,0.110505
0.073081,0.093141
0.075506,0.071947
0.029787,0.078973
0.027847,0.072587
0.042671,0.075900
0.057980,0.089662
0.072042,0.073388
0.064561,0.091477
0.044195,0.071389
0.049875,0.076978
0.044749,0.066844
0.048698,0.054909
0.062968,0.070065
0.114367,0.081172
0.025353,0.106291
0.021751,0.038602
0.041147,0.019001
0.034012,0.046362
0.044819,0.057327
0.039692,0.067228
0.027812,0.064742
0.039000,0.035289
0.091819,0.067795
0.108894,0.088970
0.075298,0.108042
0.120740,0.073315
0.139166,0.081233
0.075575,0.100475
0.030826,0.066910
0.019119,0.058339
0.061929,0.030920
0.080147,0.055918
0.075229,0.074678
0.022860,0.067171
0.021336,0.050907
0.008342,0.035148
0.022206,0.039737
0.051261,0.053696
0.122541,0.081780
0.088321,0.061035
0.061236,0.067357
0.037684,0.069371
0.034359,0.060705
0.016556,0.051382
0.011845,0.042073
0.006165,0.016860
0.010321,0.011642
0.034138,0.024551
0.049749,0.047040
0.071072,0.065851
0.027916,0.058159
0.024591,0.036696
0.011984,0.044403
0.038549,0.034259
0.095802,0.050899
0.113536,0.070523
0.039900,0.072893
0.043364,0.044870
0.058015,0.053453
0.037961,0.056889
0.008520,0.035438
0.021058,0.022913
0.051953,0.033481
0.023102,0.043629
0.117207,0.043464
0.123926,0.102734
0.085481,0.105530
0.070795,0.073163
0.018253,0.066933
0.008174,0.036113
0.023414,0.037874
0.033666,0.039444
0.033458,0.036764
0.034220,0.036699
0.046135,0.044066
0.026185,0.055448
0.004503,0.035970
0.021197,0.021539
0.038653,0.031754
0.044334,0.028146
0.073566,0.053979
0.078138,0.069873
0.107509,0.105304
0.036922,0.075115
0.050845,0.039781
0.060058,0.053295
0.026323,0.047143
0.020019,0.024454
0.057010,0.025569
0.049390,0.041945
0.066431,0.059977
0.027154,0.063984
0.036506,0.029370
0.045096,0.042961
0.037545,0.036231
0.035917,0.047603
0.028540,0.049992
0.022513,0.041275
0.030826,0.045971
0.034913,0.030482
0.045580,0.045617
0.063314,0.060187
0.064769,0.044433
0.022790,0.048338
0.033458,0.033673
0.042810,0.034223
0.028817,0.042491
0.027986,0.027073
0.020019,0.037499
0.020989,0.027174
0.036852,0.036960
0.046342,0.048326
0.060058,0.040482
0.055001,0.049149
0.043087,0.039871
0.041009,0.037470
0.022686,0.048512
0.029440,0.034120
0.043987,0.038077
0.050845,0.035174
0.039000,0.041327
0.045927,0.036049
0.077515,0.031929
0.031276,0.059473
0.009282,0.031938
0.018218,0.016326
0.031311,0.019831
0.045026,0.035789
0.059989,0.049151
0.041978,0.054786
0.060959,0.040227
0.074605,0.052016
0.068925,0.050206
0.076545,0.054818
0.052819,0.054921
0.049564,0.038046
0.081394,0.041814
0.051815,0.061129
0.032142,0.061979
0.035675,0.034496
0.077584,0.027735
0.065461,0.060216
0.079870,0.057338
0.077307,0.069431
0.071696,0.079576
0.094382,0.064848
0.056456,0.080681
0.110834,0.063080
0.040662,0.090660
0.044334,0.044452
0.059296,0.038539
0.043502,0.053955
0.044334,0.050891
0.068717,0.055197
0.075783,0.061023
0.074259,0.057773
0.058534,0.075784
0.106955,0.060582
0.085966,0.095515
0.039138,0.078808
0.034982,0.050986
0.058603,0.051094
0.022582,0.058980
0.018184,0.029620
0.013646,0.036160
0.089360,0.035182
0.137346,0.079902
0.133719,0.116536
0.130091,0.112147
0.126464,0.106566
0.122837,0.091982
0.119210,0.092456
0.115582,0.109166
0.111955,0.098964
0.108328,0.091597
0.104700,0.088482
0.101073,0.103130
0.097446,0.097912
0.093818,0.095438
0.090191,0.083959
0.086564,0.082001
0.082937,0.092422
0.079309,0.081873
0.075682,0.088205
0.072055,0.086510
0.068427,0.079075
0.064800,0.071253
0.061173,0.078269
0.073912,0.071548
0.042463,0.080756
0.047035,0.060784
0.060682,0.072134
0.067470,0.082692
0.175395,0.092856
0.160363,0.145475
0.052161,0.120297
0.114782,0.060610
0.042810,0.078035
0.048975,0.065245
0.057357,0.077505
0.121987,0.072926
0.063106,0.082090
0.055763,0.089084
0.060266,0.085690
0.059850,0.086228
0.049113,0.082204
0.068786,0.066055
0.061236,0.079944
0.081532,0.065668
0.115822,0.087108
0.112081,0.099401
0.146439,0.107758
0.059781,0.063499
0.049598,0.071700
0.108825,0.074142
0.074467,0.078544
0.106124,0.075298
0.077445,0.071960
0.068440,0.073000
0.090053,0.088057
0.105085,0.113500
0.076614,0.095320
0.080770,0.093706
0.073635,0.073234
0.079039,0.080459
0.070033,0.075392
0.067678,0.082348
0.049321,0.071709
0.072943,0.055186
0.103838,0.083245
0.142560,0.104515
0.158908,0.128191
0.091646,0.127569
0.075298,0.074881
0.174494,0.104056
0.070934,0.095402
0.150757,0.090786
0.136995,0.101152
0.061929,0.104343
0.051399,0.079608
0.096287,0.085054
0.134040,0.093445
0.064769,0.100521
0.112219,0.074824
0.106262,0.089133
0.100998,0.083426
0.085827,0.094378
0.034012,0.057428
0.425326,0.068424
1.000000,0.997589
0.188210,0.074001
0.118523,0.125328
0.057010,0.066280
0.048663,0.071958
0.065600,0.053750
0.171100,0.015834
0.144292,0.124458
0.085758,0.115206
0.068371,0.068430
0.065046,0.070530
0.075644,0.020083
0.072458,0.057229
0.149764,0.094877
0.124480,0.124099
0.044957,0.097949
0.068024,0.022508
0.048213,0.062447
0.064422,0.074815
0.054516,0.084820
0.061859,0.073659
0.147409,0.027196
0.222291,0.110612
0.116653,0.137915
0.081186,0.095629
0.142630,0.095765
0.252009,0.038411
0.218412,0.179570
0.081671,0.113576
0.061236,0.078306
0.064422,0.074533
0.062552,0.018721
0.082987,0.093598
0.074328,0.083854
0.114021,0.085425
0.242519,0.119082
0.174494,0.060542
0.033389,0.026786
0.031380,0.021479
0.045927,0.077041
0.016694,0.042136
0.017803,0.000437
0.090399,0.089158
0.061236,0.105572
0.043849,0.077884
0.067817,0.059700
0.079731,0.016829
0.103283,0.091630
0.071488,0.105063
0.037060,0.083504
0.023206,0.049081
0.066639,0.076229
0.125450,0.103155
0.101829,0.111757
0.074259,0.076320
0.039623,0.051247
0.017941,0.057909
0.063037,0.069023
0.111527,0.097318
0.095456,0.114791
0.108617,0.079504
0.090884,0.103111
0.087420,0.107941
0.099543,0.080508
0.063245,0.094816
0.061444,0.078276
0.041493,0.058173
0.056525,0.061353
0.052923,0.084789
0.031796,0.070947
0.067055,0.047366
0.052023,0.087102
0.067193,0.074765
0.056941,0.085786
0.087351,0.070665
0.055971,0.072328
0.049945,0.077766
0.068786,0.076874
0.056802,0.082339
0.107301,0.072829
0.089776,0.078023
0.161610,0.073957
0.066500,0.113996
0.075436,0.076477
0.057772,0.072198
0.074328,0.070646
0.057218,0.071955
0.060127,0.060126
0.078138,0.061954
0.055348,0.078592
0.042186,0.074163
0.064838,0.062871
0.056802,0.075826
0.050845,0.053111
0.051399,0.054586
0.066570,0.050320
0.053893,0.076184
0.065669,0.074624
0.052369,0.070078
0.048559,0.050068
0.058742,0.044948
0.046204,0.040003
0.042879,0.053013
0.043641,0.035804
0.043295,0.038847
0.052923,0.054875
0.059920,0.063364
0.064145,0.072914
0.052231,0.063761
0.063730,0.056125
0.114159,0.069167
0.041909,0.054516
0.051469,0.058276
0.067955,0.045281
0.057149,0.060371
0.039900,0.045925
0.031588,0.038298
0.054932,0.053759
0.029925,0.055342
0.043087,0.033865
0.047451,0.045237
0.057564,0.066974
0.059643,0.063303
0.009144,0.058094
0.012954,0.014959
0.025630,0.031334
0.029440,0.040758
0.043225,0.048278
0.045719,0.044507
0.078969,0.045036
0.054447,0.063677
0.041009,0.056824
0.046135,0.045922
0.041944,0.051239
0.045788,0.036683
0.006581,0.040424
0.011049,0.028618
0.027570,0.022478
0.042117,0.032603
0.008590,0.041863
0.038168,0.030045
0.092754,0.046565
0.067851,0.066240
0.009075,0.060877
0.009698,0.025729
0.039866,0.036974
0.034705,0.037985
0.029787,0.030269
0.030687,0.027622
0.046065,0.029552
0.046620,0.034349
0.018357,0.038181
0.026150,0.030127
0.021266,0.038217
0.037337,0.019311
0.048698,0.031009
0.055625,0.049371
0.110418,0.096836
0.092339,0.083065
0.070934,0.054147
0.043225,0.050004
0.039554,0.035638
0.037891,0.028725
0.042394,0.030281
0.050776,0.033216
0.048178,0.042127
0.047382,0.042482
0.025838,0.044494
0.032495,0.043248
0.083050,0.029310
0.083403,0.058891
0.059643,0.064464
0.056664,0.051174
0.110211,0.105520
0.103422,0.085540
