E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.379414,0.356645,0.124984,0.136551
11,2,0.8,6,0.381847,0.299634,0.124739,0.142473
11,2,0.8,7,0.415656,0.309817,0.121279,0.141434
11,2,0.8,8,0.421254,0.336388,0.120697,0.138684
11,2,0.8,9,0.459346,0.271483,0.116657,0.145308
11,2,0.8,10,0.450049,0.357781,0.117656,0.136431
11,2,0.8,11,0.469593,0.348753,0.115547,0.137386
11,2,0.8,12,0.492077,0.280065,0.113071,0.144450
11,2,0.8,13,0.539045,0.206447,0.107716,0.151656
11,2,0.8,14,0.556309,0.219640,0.105680,0.150390
11,2,0.8,15,0.551140,0.216096,0.106294,0.150731
