REAL,ESTIMATE
0.548100,0.443621
0.692399,0.602510
0.730404,0.724052
0.439430,0.501276
0.170428,0.232734
0.548100,0.377280
0.286817,0.428014
0.574822,0.392808
0.320071,0.265239
0.314133,0.334606
0.418052,0.314457
0.297506,0.366083
0.073634,0.193322
0.060570,0.272023
0.279691,0.271643
0.487530,0.429351
0.261283,0.459297
0.154394,0.273807
0.127078,0.246210
0.261876,0.236253
0.294537,0.238556
0.384798,0.322076
0.349169,0.404831
0.293943,0.310544
0.423397,0.323703
0.584917,0.407382
0.463777,0.557198
0.194181,0.330090
0.364014,0.241594
0.391330,0.365207
0.410333,0.417225
0.541568,0.394298
0.489311,0.499742
0.637173,0.461493
0.850356,0.730350
0.809382,0.703379
0.718527,0.686931
0.529097,0.467084
0.595606,0.536893
0.179929,0.405487
0.522565,0.487238
0.750000,0.532373
0.077791,0.131239
0.170428,0.241198
0.156176,0.246647
0.404988,0.318523
0.156176,0.210060
0.346200,0.389360
0.572447,0.386342
0.628266,0.430530
0.172209,0.405260
0.380641,0.335259
0.434679,0.449920
0.421021,0.395345
0.509501,0.523228
0.333729,0.396902
0.523753,0.393000
0.295131,0.376182
0.169834,0.265255
0.453088,0.345521
0.404988,0.347219
0.513064,0.575032
0.369359,0.482891
0.502969,0.393703
0.761283,0.602383
0.404394,0.560248
0.433492,0.438683
0.162114,0.283321
0.608670,0.429402
0.621140,0.543791
0.601544,0.426444
0.453088,0.468951
0.142518,0.260105
0.216152,0.257194
0.084323,0.156222
0.394893,0.316227
0.502375,0.406630
0.580760,0.536573
0.508314,0.379494
0.526722,0.339391
0.590261,0.509772
0.422803,0.443855
0.632720,0.495296
0.576603,0.455547
0.598575,0.581056
0.549287,0.535621
0.376485,0.367298
0.171615,0.350470
0.144299,0.238241
0.281770,0.379563
0.457838,0.385165
0.588480,0.558473
0.497031,0.488736
0.779097,0.439609
0.646081,0.574077
0.138955,0.283495
0.160333,0.270598
0.139549,0.291782
0.182898,0.328958
0.370546,0.295569
0.356295,0.303319
0.130048,0.298520
0.308789,0.276346
0.083729,0.354899
0.213777,0.341776
0.364608,0.337028
0.251781,0.418127
0.418052,0.320651
0.443587,0.407599
0.128266,0.345976
0.192399,0.257141
0.353325,0.246119
0.258314,0.342479
0.203088,0.348581
0.360451,0.304789
0.485748,0.398511
0.356888,0.392364
0.521378,0.325487
0.384798,0.367605
0.255938,0.328528
0.482779,0.307411
0.482779,0.466024
0.443587,0.407706
0.243468,0.383137
0.312945,0.312734
0.392518,0.322729
0.460214,0.514397
0.512470,0.514857
0.659739,0.502861
0.628860,0.549436
0.263658,0.479026
0.516627,0.367859
0.183492,0.385982
0.043943,0.213431
0.119952,0.230356
0.203088,0.309903
0.361639,0.275751
0.128860,0.329466
0.295724,0.282520
0.284442,0.282256
0.278504,0.357029
0.230404,0.279809
0.349169,0.266788
0.276128,0.344288
0.192399,0.252877
0.372922,0.254318
0.391330,0.394180
0.265439,0.397438
0.236936,0.251645
0.246437,0.264932
0.194181,0.343744
0.238717,0.272434
0.438836,0.253075
0.313539,0.346474
0.366390,0.309800
0.263064,0.332457
0.205463,0.206529
0.166865,0.249453
0.182898,0.201488
0.283254,0.264722
0.312352,0.270843
0.275534,0.348383
0.146081,0.231203
0.195368,0.172263
0.423990,0.220597
0.217933,0.329581
0.292162,0.223010
0.343230,0.263686
0.252969,0.295211
0.137767,0.250780
0.238717,0.168546
0.184086,0.245533
0.113420,0.197603
0.204869,0.255960
0.234561,0.248747
0.238717,0.271461
0.210214,0.211621
0.274941,0.158501
0.257720,0.199544
0.134798,0.258234
0.244656,0.183077
0.111045,0.181501
0.351544,0.210855
0.320071,0.287655
0.241093,0.223014
0.148456,0.231086
0.128860,0.181519
0.330166,0.181819
0.290380,0.219358
0.248812,0.293766
0.302257,0.230860
0.210808,0.228583
0.089074,0.234680
0.033848,0.160975
0.181116,0.171724
0.254157,0.211692
0.375891,0.267830
0.442993,0.305669
0.154394,0.298495
0.067696,0.171837
0.036223,0.078788
0.181116,0.160336
0.211401,0.229390
0.437945,0.288860
0.285926,0.361634
0.262470,0.237067
0.270784,0.286951
0.261876,0.177366
0.150238,0.212041
0.334323,0.196768
0.448931,0.400620
0.287411,0.345623
0.320665,0.302148
0.264252,0.247348
0.241686,0.234986
0.185273,0.264495
0.175772,0.284681
0.137173,0.303077
0.210214,0.257365
0.325416,0.293521
0.213183,0.248112
0.269002,0.240585
0.404394,0.227382
0.299287,0.269189
0.184086,0.258031
0.243468,0.212587
0.346200,0.226904
0.261876,0.265789
0.156176,0.278462
0.133017,0.202698
0.133017,0.195393
0.290380,0.241353
0.310570,0.269582
0.500594,0.278565
0.242874,0.358374
0.115202,0.207740
0.177435,0.139265
0.292280,0.209872
0.419240,0.255817
0.333729,0.280026
0.432898,0.354290
0.402019,0.326233
0.411520,0.453300
0.394893,0.316560
0.290974,0.318838
0.239311,0.316682
0.376485,0.341312
0.323634,0.443684
0.314133,0.338127
0.311758,0.330569
0.381235,0.274588
0.138361,0.401169
0.219121,0.308443
0.399644,0.304597
0.171021,0.351333
0.200713,0.205407
0.051663,0.201648
0.203682,0.183257
0.377672,0.240528
0.569477,0.330301
0.475059,0.437980
0.359857,0.334527
0.198337,0.183445
0.362233,0.193484
0.083729,0.297567
0.183237,0.228861
0.332796,0.341399
0.292162,0.347273
0.431116,0.403067
0.557601,0.374523
0.463777,0.474344
0.412114,0.309668
0.286817,0.406956
0.202494,0.308325
0.495843,0.274251
0.562945,0.441929
0.513658,0.572083
0.308195,0.427910
0.213777,0.228524
0.581948,0.331715
0.847387,0.624303
0.986936,0.889735
0.712589,0.740718
0.432304,0.423946
0.037411,0.153808
0.175178,0.241474
0.459026,0.228649
0.521971,0.498269
0.425178,0.557475
0.464964,0.398035
0.577791,0.394342
0.292162,0.604987
0.592043,0.448417
0.689430,0.555216
0.071259,0.369561
0.092637,0.245623
0.411520,0.316063
0.304632,0.338304
0.496437,0.354960
0.260689,0.322469
0.316508,0.295875
0.588480,0.469884
0.710808,0.574247
0.669834,0.575397
0.572447,0.582924
0.344418,0.236435
0.490499,0.431054
0.267221,0.217551
0.370546,0.395569
0.638361,0.531576
0.432898,0.430639
0.280285,0.488812
0.261283,0.296156
0.040974,0.354449
0.111045,0.295995
0.239311,0.177576
0.174584,0.305689
0.122922,0.257634
0.094418,0.272998
0.418052,0.273275
0.358076,0.464169
0.528504,0.323541
0.666865,0.355687
0.234561,0.440887
0.351544,0.319972
0.107482,0.275111
0.355107,0.251287
0.498219,0.358289
0.154988,0.387183
0.068290,0.339744
0.337292,0.229553
0.658848,0.410892
0.264846,0.415810
0.140736,0.319982
0.501781,0.316944
0.755938,0.440904
0.565914,0.526261
0.110451,0.398249
0.415083,0.330096
0.669834,0.618953
0.787411,0.708070
0.692399,0.612918
0.545131,0.523325
0.279097,0.202015
0.015439,0.306629
0.144299,0.278151
0.475059,0.342579
0.570071,0.528140
0.687648,0.617173
0.153207,0.449675
0.172209,0.212166
0.336698,0.340418
0.514846,0.316865
0.442399,0.411975
0.168052,0.111744
0.447743,0.292265
0.705463,0.444796
0.757126,0.670850
0.643705,0.576847
0.356295,0.444982
0.165083,0.279776
0.404394,0.363950
0.216152,0.320433
0.508907,0.362707
0.662114,0.558717
0.499406,0.461123
0.509501,0.522641
0.560570,0.422127
0.486936,0.459628
0.340855,0.425537
0.150238,0.315761
0.354513,0.227457
0.547506,0.533974
0.197743,0.326268
0.259501,0.236505
0.362233,0.306014
0.635392,0.327477
0.793943,0.770164
0.732185,0.671953
0.417458,0.594970
0.481591,0.422742
0.514846,0.525969
0.000000,0.070171
0.275534,0.277263
0.597387,0.549289
0.551663,0.558759
0.137767,0.357379
0.295724,0.304355
0.705463,0.447609
0.476841,0.502375
0.451900,0.506364
0.219715,0.280587
0.178147,0.389380
0.437055,0.362373
0.493468,0.319058
0.482779,0.390802
0.235154,0.328602
0.207245,0.298089
0.334917,0.317004
0.524347,0.479920
0.158551,0.365504
0.176366,0.288267
0.555226,0.294578
0.213777,0.302867
0.459026,0.383507
0.450119,0.430852
0.071853,0.436692
0.366983,0.206222
0.620546,0.408177
0.538599,0.571259
0.564133,0.382719
0.190024,0.308695
0.081354,0.290102
0.286223,0.308793
0.272565,0.406359
0.257126,0.428843
0.396675,0.291442
0.565914,0.428430
0.754157,0.755399
1.000000,0.969120
0.454869,0.673163
0.482185,0.390483
0.651425,0.632784
0.611639,0.546686
0.292162,0.311004
0.111045,0.434992
0.370546,0.430228
0.514846,0.280758
0.541568,0.388094
0.638361,0.625400
0.633610,0.681528
0.376485,0.533310
0.576603,0.324742
0.555226,0.338660
0.222684,0.272588
0.201306,0.354827
0.378266,0.326924
0.168646,0.257594
0.227435,0.272437
0.271971,0.316874
0.207838,0.346500
0.250594,0.319932
0.553444,0.356838
0.502375,0.495776
0.568884,0.408584
0.345606,0.330798
0.100356,0.261046
0.253563,0.297495
0.362233,0.353877
0.459620,0.479082
0.428741,0.464166
0.632423,0.378647
0.307007,0.390068
0.254751,0.343798
0.522565,0.300264
0.482779,0.450802
0.516033,0.469785
0.318884,0.430214
0.546318,0.406645
0.429929,0.475100
0.440618,0.296850
0.505938,0.466088
0.370546,0.457260
0.374109,0.482011
0.490499,0.335965
0.367577,0.369950
0.188242,0.231570
0.143112,0.237279
0.247625,0.235476
0.487530,0.213838
0.542162,0.432154
0.458432,0.445071
0.226841,0.375146
0.237530,0.257023
0.331057,0.385100
0.172209,0.171071
0.263064,0.272133
0.350356,0.380534
0.273753,0.349243
0.388361,0.352970
0.312945,0.417043
0.472090,0.301648
0.289192,0.394471
0.213777,0.354527
0.394893,0.317009
0.485748,0.356678
0.479216,0.412230
0.328385,0.392314
0.426366,0.292709
0.470903,0.428319
0.573040,0.616643
0.491686,0.570281
0.526128,0.521783
0.267221,0.397004
0.297506,0.321846
0.424287,0.333737
0.309976,0.362960
0.043349,0.339567
0.425772,0.221301
0.386580,0.390367
0.238717,0.373828
0.135392,0.250607
0.228029,0.236792
0.177553,0.160729
0.337292,0.303393
0.304335,0.305483
0.256532,0.317691
0.271971,0.287863
0.078979,0.271824
0.257126,0.208372
0.315321,0.324934
0.312352,0.356235
0.144299,0.234158
0.114608,0.228966
0.267221,0.249132
0.176960,0.241957
0.334917,0.163763
0.282660,0.250950
0.345606,0.259442
0.328979,0.301546
0.070665,0.245838
0.122328,0.175500
0.212589,0.144418
0.226247,0.254125
0.301663,0.237598
0.183492,0.301374
0.173990,0.234239
0.216746,0.104792
0.245843,0.184847
0.178741,0.220006
0.264549,0.193991
0.305819,0.266855
0.084323,0.245305
0.138955,0.193507
0.243468,0.183303
0.302257,0.197872
0.046318,0.219051
0.136580,0.202131
0.311164,0.202739
0.201010,0.238891
0.051663,0.191713
0.095012,0.148217
0.256532,0.191798
0.103325,0.261889
0.232779,0.176480
0.215558,0.209898
0.422209,0.214907
0.333135,0.276558
0.296318,0.162152
0.150238,0.241655
0.071853,0.181439
0.212589,0.170132
0.195962,0.177457
0.229216,0.277663
0.179335,0.241579
0.188836,0.171498
0.140736,0.161274
0.093824,0.226958
0.107482,0.171859
0.093230,0.149770
0.150831,0.209583
0.186461,0.220743
0.286223,0.213778
0.224466,0.242341
0.099762,0.147757
0.122328,0.134842
0.245843,0.165485
