REAL,ESTIMATE
0.166865,0.260117
0.301069,0.205169
0.261876,0.265417
0.186461,0.243587
0.133610,0.199517
0.151425,0.175925
0.141924,0.185664
0.358670,0.179897
0.460808,0.293164
0.260095,0.324987
0.212589,0.257948
0.161520,0.219350
0.135392,0.141702
0.040974,0.165059
0.122922,0.176050
0.159739,0.225204
0.500000,0.213069
0.333729,0.362235
0.172209,0.267133
0.257126,0.191106
0.105701,0.203014
0.266627,0.150339
0.173990,0.254064
0.241686,0.273620
0.280879,0.262963
0.019596,0.250927
0.153800,0.172578
0.120546,0.214557
0.141330,0.191374
0.203088,0.181571
0.245843,0.217935
0.161520,0.271310
0.077197,0.186342
0.388361,0.147114
0.333729,0.268716
0.178147,0.272607
0.122922,0.217795
0.266627,0.200221
0.303444,0.261558
0.290380,0.253861
0.388955,0.268877
0.480404,0.295034
0.618171,0.381747
0.466746,0.423158
0.327791,0.365344
0.223872,0.306054
0.271971,0.235730
0.239311,0.319672
0.071853,0.291405
0.205463,0.247500
0.273456,0.246621
0.286223,0.253486
0.153800,0.320444
0.203088,0.225940
0.447150,0.203631
0.486342,0.332970
0.507126,0.375487
0.412114,0.366861
0.120546,0.357037
0.195962,0.214679
0.145487,0.231397
0.112233,0.276652
0.409145,0.260986
0.581948,0.391202
0.672803,0.480897
0.714964,0.801671
0.571853,0.820685
0.448337,0.397626
0.489311,0.343060
0.444477,0.406876
0.421021,0.434929
0.344782,0.418216
0.339897,0.411219
0.209620,0.338401
0.301663,0.293796
0.423990,0.444487
0.153800,0.552833
0.218527,0.293210
0.262470,0.306795
0.097981,0.288001
0.295724,0.230137
0.505344,0.292316
0.500594,0.369809
0.587886,0.373472
0.810570,0.394168
0.701306,0.486796
0.323040,0.485638
0.149644,0.339661
0.104513,0.314700
0.179929,0.292248
0.308195,0.328818
0.471496,0.391923
0.344418,0.383476
0.305819,0.368567
0.339074,0.307132
0.267221,0.323518
0.346200,0.348371
0.276128,0.328143
0.173397,0.377485
0.279394,0.292224
0.329572,0.311555
0.415083,0.317154
0.254751,0.337325
0.211401,0.301351
0.195368,0.312882
0.204276,0.332462
0.109264,0.305586
0.198931,0.168232
0.451900,0.234831
0.365202,0.341868
0.372328,0.329853
0.597387,0.351280
0.463777,0.533690
0.149050,0.365290
0.252375,0.190631
0.318290,0.310118
0.353325,0.328393
0.527910,0.353020
0.783254,0.440988
0.755938,0.581779
0.543349,0.865331
0.319477,0.442214
0.398456,0.330534
0.528504,0.386516
0.500000,0.524567
0.257720,0.585670
0.061758,0.335730
0.098575,0.263086
0.453682,0.218098
0.557601,0.423734
0.608670,0.542479
0.450119,0.485951
0.464964,0.384130
0.537411,0.387809
0.425178,0.417399
0.187648,0.387875
0.328979,0.358228
0.116390,0.375310
0.168646,0.294638
0.596200,0.328540
0.594418,0.437426
0.431116,0.516818
