E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.661624,0.514170,0.092474,0.099973
11,2,0.8,6,0.675194,0.486156,0.090601,0.102815
11,2,0.8,7,0.683103,0.502112,0.089491,0.101206
11,2,0.8,8,0.686995,0.503674,0.088939,0.101047
11,2,0.8,9,0.682362,0.533408,0.089595,0.097973
11,2,0.8,10,0.696870,0.510289,0.087525,0.100371
11,2,0.8,11,0.710106,0.509080,0.085593,0.100495
11,2,0.8,12,0.716436,0.503918,0.084653,0.101022
11,2,0.8,13,0.731072,0.488818,0.082440,0.102548
11,2,0.8,14,0.740469,0.457838,0.080987,0.105610
11,2,0.8,15,0.747876,0.413705,0.079823,0.109824
