REAL,ESTIMATE
0.101493,0.130538
0.052537,0.107103
0.017313,0.103363
0.063881,0.118240
0.242985,0.126596
0.045970,0.126081
0.158806,0.108182
0.057910,0.149749
0.154030,0.115988
0.161791,0.134677
0.038209,0.120704
0.077015,0.121279
0.281791,0.112697
0.331343,0.161620
0.229254,0.139880
0.112836,0.161233
0.205373,0.135762
0.238209,0.169071
0.265075,0.129853
0.247761,0.183422
0.228060,0.175686
0.141493,0.205942
0.193433,0.135693
0.229254,0.189821
0.186866,0.170041
0.149254,0.226190
0.258507,0.188368
0.311045,0.218414
0.183582,0.197829
0.231045,0.234515
0.286567,0.263725
0.290746,0.248834
0.277612,0.225407
0.207761,0.281349
0.145075,0.256790
0.182687,0.232207
0.220896,0.230536
0.245373,0.247291
0.152836,0.249072
0.363582,0.231241
0.235224,0.306402
0.244179,0.231719
0.411940,0.261389
0.291343,0.324940
0.310448,0.292433
0.192239,0.284338
0.316418,0.264953
0.208955,0.283513
0.117015,0.258299
0.053731,0.251778
0.384478,0.213178
0.341493,0.287478
0.322985,0.272582
0.349254,0.307717
0.226866,0.311168
0.316418,0.262811
0.180896,0.286759
0.286567,0.264408
0.364776,0.280387
0.256119,0.335551
0.403582,0.288901
0.299701,0.356105
0.256716,0.282136
0.241194,0.321859
0.171343,0.283596
0.475224,0.253804
0.291343,0.339871
0.441791,0.298450
0.194030,0.409913
0.240597,0.273615
0.290149,0.280283
0.240000,0.294288
0.359403,0.287953
0.306866,0.337489
0.370746,0.287828
0.257313,0.336564
0.251343,0.281925
0.165970,0.294884
0.231642,0.278263
0.217313,0.289546
0.139104,0.290341
0.324179,0.226873
0.251642,0.320969
0.171343,0.270210
0.183881,0.278064
0.285970,0.263222
0.293134,0.285145
0.311045,0.289391
0.375522,0.302988
0.460299,0.334545
0.469851,0.349214
0.512239,0.373470
0.551045,0.413725
0.384478,0.411839
0.380299,0.359338
0.516418,0.377770
0.400000,0.401759
0.576119,0.349652
0.542090,0.520084
0.471642,0.469317
0.518209,0.442302
0.488955,0.469957
0.392239,0.482424
0.550448,0.437229
0.462090,0.551911
0.500896,0.463171
0.490746,0.521181
0.358209,0.490425
0.459104,0.419830
0.694328,0.464235
0.631642,0.615295
0.751045,0.576310
0.948657,0.755899
0.636418,0.806390
0.444179,0.587534
0.525373,0.521214
0.644776,0.519897
0.402388,0.461085
0.506269,0.487107
0.488060,0.573834
0.473433,0.500798
0.469851,0.462702
0.470448,0.494334
0.518209,0.515192
0.552836,0.622609
0.837612,0.610706
1.000000,0.759659
0.778507,0.684895
0.507463,0.672187
0.722388,0.597849
0.803582,0.549846
0.262090,0.402832
