REAL,ESTIMATE
0.486567,0.416347
0.315224,0.421129
0.457313,0.345561
0.705672,0.366360
0.594030,0.461601
0.488358,0.351563
0.505075,0.481068
0.317015,0.469310
0.175522,0.341129
0.245970,0.280604
0.551642,0.269278
0.589851,0.522675
0.404776,0.488850
0.254925,0.193294
0.289552,0.317732
0.453731,0.339781
0.190448,0.432302
0.402388,0.273559
0.511642,0.455085
0.481194,0.471295
0.485373,0.467057
0.313433,0.506436
0.433134,0.382812
0.422090,0.426342
0.282388,0.394686
0.426269,0.344704
0.334925,0.426248
0.368955,0.300192
0.339104,0.389137
0.283582,0.388703
0.272836,0.404605
0.287761,0.284726
0.376716,0.234917
0.281791,0.427217
0.297910,0.347115
0.396418,0.339657
0.360597,0.375605
0.344478,0.343989
0.284179,0.392809
0.405970,0.311148
0.374328,0.372030
0.429254,0.372084
0.164179,0.419059
0.258507,0.231915
0.447164,0.317577
0.494328,0.414093
0.319403,0.477534
0.355821,0.363887
0.428657,0.324130
0.307463,0.375976
0.172537,0.349044
0.327761,0.298504
0.499104,0.376706
0.333731,0.413872
0.170149,0.382395
0.182687,0.291872
0.188060,0.238112
0.276418,0.240965
0.352836,0.321169
0.296119,0.418885
0.223284,0.339225
0.232239,0.289170
0.197612,0.251837
0.178507,0.252282
0.257910,0.273249
0.194030,0.275669
0.253134,0.229333
0.380299,0.271801
0.314627,0.327657
0.326269,0.273803
0.365373,0.325442
0.198729,0.346743
0.249629,0.263450
0.326567,0.262240
0.256119,0.309023
0.109254,0.276684
0.286567,0.234523
0.252537,0.337166
0.206567,0.276596
0.274627,0.264761
0.173134,0.313018
0.055522,0.258454
0.131940,0.190225
0.186174,0.240958
0.130841,0.213217
0.197015,0.209336
0.251940,0.247550
0.277612,0.257259
0.305672,0.236134
0.174925,0.279253
0.093134,0.219348
0.049552,0.188725
0.090746,0.174119
0.133731,0.178343
0.086567,0.172213
0.133433,0.179535
0.012537,0.184108
0.168358,0.137391
0.224478,0.183064
0.105672,0.186653
0.118806,0.164350
0.129552,0.159728
0.161194,0.154278
0.164179,0.145722
0.180299,0.172844
0.191642,0.170894
0.326567,0.177092
0.294925,0.190896
0.092537,0.202393
0.048955,0.153010
0.127164,0.149018
0.031045,0.155640
0.080597,0.132884
0.211940,0.155572
0.199403,0.187064
0.199403,0.168907
0.149254,0.172785
0.036418,0.174127
0.019701,0.139118
0.016716,0.141381
0.000000,0.132221
0.173731,0.125102
0.182090,0.152100
0.065672,0.159986
0.010149,0.137271
0.149851,0.118564
0.275224,0.141520
0.214925,0.152950
0.063284,0.154961
0.038806,0.124193
0.033433,0.116584
0.035821,0.102378
0.042388,0.115012
0.065075,0.116304
0.160000,0.125817
0.248358,0.119010
0.154030,0.137276
0.258507,0.118214
0.240000,0.151147
0.048955,0.135124
0.030448,0.117944
0.086567,0.108679
