E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.711044,0.380464,0.027552,0.023409
10,4,0.8,6,0.729511,0.420838,0.026657,0.022633
10,4,0.8,7,0.689078,0.425850,0.028580,0.022535
10,4,0.8,8,0.734995,0.444733,0.026386,0.022161
10,4,0.8,9,0.709277,0.342681,0.027636,0.024112
10,4,0.8,10,0.691510,0.382611,0.028468,0.023368
10,4,0.8,11,0.770327,0.513809,0.024564,0.020737
10,4,0.8,12,0.718417,0.457864,0.027198,0.021898
10,4,0.8,13,0.685781,0.489713,0.028731,0.021245
10,4,0.8,14,0.774172,0.401082,0.024357,0.023016
10,4,0.8,15,0.838747,0.472874,0.020582,0.021593
