REAL,ESTIMATE
0.015733,0.045945
0.005323,0.050690
0.016147,0.017472
0.024250,0.033837
0.016088,0.038469
0.021204,0.026648
0.023600,0.023638
0.016384,0.032345
0.034010,0.037716
0.071154,0.043054
0.090968,0.068589
0.019282,0.081054
0.030816,0.023138
0.076181,0.037715
0.082924,0.073926
0.112912,0.082666
0.127758,0.087884
0.201928,0.123414
0.219909,0.188524
0.167091,0.216935
0.143432,0.159363
0.138759,0.139147
0.117939,0.112665
0.031348,0.070757
0.068551,0.036644
0.100550,0.067445
0.039451,0.055184
0.035991,0.032886
0.030579,0.044887
0.046667,0.032393
0.037736,0.047169
0.043000,0.046562
0.061750,0.044235
0.044183,0.057990
0.052227,0.049253
0.072810,0.051559
0.115751,0.066268
0.119181,0.102828
0.080203,0.120997
0.163571,0.087632
0.151890,0.162620
0.083989,0.106246
0.031644,0.097950
0.067723,0.059099
0.100491,0.088356
0.064115,0.123143
0.064056,0.084359
0.080617,0.055931
0.112853,0.098454
0.143136,0.112404
0.061986,0.101817
0.040634,0.049279
0.078074,0.041264
0.083043,0.074865
0.070858,0.096210
0.065772,0.061777
0.020879,0.078659
0.046253,0.038972
0.044774,0.059506
0.088047,0.051102
0.092470,0.089613
0.086118,0.103389
0.073106,0.093790
0.084935,0.055739
0.088129,0.091777
0.090318,0.092298
0.082274,0.090105
0.093098,0.064053
0.199385,0.095101
0.112675,0.103461
0.077069,0.081306
0.049802,0.062535
0.045662,0.061152
0.061809,0.070536
0.061631,0.079448
0.100757,0.063023
0.133140,0.088331
0.076595,0.116366
0.061986,0.066848
0.025788,0.057131
0.010232,0.044944
0.012184,0.016136
0.026794,0.025776
0.061158,0.043974
0.098066,0.064949
0.026912,0.081708
0.041403,0.035038
0.040811,0.049010
0.043946,0.054343
0.050157,0.058270
0.037351,0.054740
0.050926,0.047032
0.038860,0.059977
0.030165,0.055138
0.047436,0.045394
0.115573,0.054157
0.095168,0.102174
0.056426,0.085656
0.062696,0.059922
0.065239,0.064128
0.057728,0.075165
0.070917,0.060615
0.089726,0.068658
0.067191,0.070202
0.057668,0.071379
0.087183,0.057906
0.083043,0.079188
0.056190,0.073925
0.097474,0.061754
0.194712,0.108750
0.216360,0.185181
0.157804,0.174080
0.086296,0.086911
0.139883,0.120804
0.106938,0.106378
0.102620,0.068044
0.027858,0.028679
0.019873,0.048064
0.017508,0.025395
0.029041,0.031437
0.040752,0.047016
0.036967,0.045144
0.045484,0.050157
0.033655,0.057380
0.021116,0.049013
0.026261,0.036656
0.064648,0.035023
0.044715,0.063010
0.047377,0.048771
0.041048,0.053317
0.082214,0.052265
0.066186,0.090080
0.058556,0.068440
0.059206,0.064345
0.026320,0.076121
0.020465,0.053603
0.029396,0.041214
0.044538,0.043900
0.059739,0.049786
0.052168,0.049646
0.034778,0.055101
0.040397,0.039977
0.035015,0.035142
0.034838,0.026873
0.048974,0.034270
0.088898,0.045782
0.020938,0.074720
0.018750,0.014932
0.034956,0.019693
0.026261,0.039662
0.037381,0.042853
0.029396,0.038291
0.022062,0.028067
0.031585,0.031793
0.069261,0.042578
0.085586,0.068089
0.063228,0.076032
0.091027,0.060660
0.109481,0.081633
0.060922,0.083896
0.021175,0.064960
0.013663,0.032802
0.054593,0.036801
0.065121,0.061891
0.060389,0.068149
0.017389,0.061169
0.016088,0.030523
0.007571,0.024282
0.015378,0.015506
0.039215,0.022225
0.095523,0.041202
0.069794,0.084553
0.045780,0.064881
0.028805,0.048660
0.027030,0.039702
0.013072,0.047538
0.010410,0.021097
0.006329,0.016402
0.007098,0.015086
0.057432,0.026159
0.051340,0.060698
0.048264,0.050133
0.018454,0.045565
0.018986,0.029653
0.006654,0.032135
0.025197,0.014617
0.068374,0.031705
0.087360,0.057469
0.028036,0.072090
0.034010,0.034790
0.042054,0.038481
0.028982,0.047704
0.007985,0.034275
0.013190,0.007661
0.033182,0.011951
0.013279,0.037774
0.082096,0.023314
0.089963,0.074274
0.064411,0.079717
0.047968,0.061394
0.009464,0.045859
0.005501,0.015885
0.016206,0.017104
0.024960,0.026309
0.020110,0.033781
0.023127,0.028947
0.030756,0.029536
0.018690,0.029829
0.003135,0.024978
0.013900,0.000914
0.027326,0.014782
0.037085,0.032922
0.050807,0.044453
0.058733,0.046619
0.070562,0.055345
0.026794,0.069061
0.038800,0.032176
0.041994,0.038313
0.020228,0.045189
0.011711,0.033026
0.033950,0.019780
0.038002,0.041432
0.052937,0.045317
0.022091,0.051566
0.029810,0.019646
0.033122,0.035360
0.033182,0.038763
0.029988,0.037658
0.023067,0.032214
0.014373,0.028599
0.021175,0.022037
0.024664,0.029324
0.033832,0.030125
0.047436,0.030161
0.049329,0.042155
0.018986,0.049128
0.026498,0.022170
0.037972,0.032346
0.022121,0.044186
0.019933,0.032600
0.015497,0.023939
0.018513,0.024888
0.032945,0.030712
0.039274,0.040575
0.047259,0.039572
0.047554,0.051137
0.030106,0.052656
0.033359,0.036108
0.018690,0.034653
0.022328,0.023908
0.036582,0.027360
0.057314,0.038494
0.047495,0.056954
0.058792,0.048698
0.085290,0.058473
0.040397,0.083281
0.015142,0.046082
0.017981,0.020908
0.042024,0.025401
0.059739,0.047748
0.070977,0.060140
0.056959,0.065449
0.061158,0.056366
0.089785,0.063542
0.089549,0.083750
0.091264,0.087789
0.068137,0.089999
0.054829,0.069636
0.082155,0.057650
0.054415,0.075620
0.040516,0.057388
0.046223,0.048171
0.085763,0.055448
0.077069,0.085012
0.095109,0.077926
0.082924,0.082235
0.079139,0.071608
0.102324,0.069023
