REAL,ESTIMATE
51.000000,45.109641
46.000000,51.806249
57.000000,46.771978
60.000000,56.333219
63.000000,59.884267
59.000000,62.938028
52.000000,57.650139
66.000000,51.607696
94.000000,64.468044
105.000000,91.125920
140.000000,102.212277
150.000000,135.402910
161.000000,146.073149
184.000000,157.976805
187.000000,182.512360
219.000000,184.147456
213.000000,218.959412
198.000000,213.189698
182.000000,199.421029
174.000000,184.108382
195.000000,176.787131
181.000000,201.188354
163.000000,186.359307
153.000000,166.608160
158.000000,154.582182
174.000000,161.054035
173.000000,179.986069
175.000000,179.540926
180.000000,181.666369
177.000000,187.242562
182.000000,185.174142
146.000000,191.656517
62.000000,149.092642
54.000000,57.276372
60.000000,48.024190
71.000000,53.544067
91.000000,65.239255
102.000000,87.078038
109.000000,98.502759
126.000000,106.502046
154.000000,125.820373
154.000000,157.904709
161.000000,153.529009
154.000000,161.803463
145.000000,154.571811
158.000000,144.732088
157.000000,159.994270
131.000000,159.376751
107.000000,130.561787
91.000000,104.218369
83.000000,86.485784
66.000000,76.732918
61.000000,59.471297
68.000000,54.516780
89.000000,61.622570
88.000000,84.304279
90.000000,84.615252
82.000000,87.432643
83.000000,78.762413
68.000000,79.776529
50.000000,65.101833
50.000000,48.243160
58.000000,48.970951
63.000000,56.269286
61.000000,60.547297
51.000000,59.746479
49.000000,51.176378
49.000000,49.554866
48.000000,49.236970
49.000000,47.563255
46.000000,51.514152
52.000000,49.057064
51.000000,53.569361
44.000000,51.892236
53.000000,46.555400
45.000000,55.712561
49.000000,47.898612
51.000000,50.415119
47.000000,50.298281
49.000000,48.832586
56.000000,50.446610
65.000000,54.640448
71.000000,62.718926
73.000000,67.469766
80.000000,69.288081
77.000000,75.400461
72.000000,70.869144
95.000000,65.064954
88.000000,84.782193
85.000000,78.664148
84.000000,76.614534
84.000000,76.594541
82.000000,76.975888
89.000000,74.147625
80.000000,81.129463
91.000000,73.226725
76.000000,84.197138
86.000000,69.081946
98.000000,78.148296
109.000000,90.394566
110.000000,101.107695
124.000000,101.893995
113.000000,116.437578
91.000000,105.681797
104.000000,85.999848
102.000000,101.478681
130.000000,99.389953
130.000000,127.862604
109.000000,128.504711
99.000000,106.124266
116.000000,95.734254
133.000000,113.523207
156.000000,130.934297
169.000000,151.775165
173.000000,166.384184
190.000000,169.298344
191.000000,189.974287
187.000000,192.595348
179.000000,186.231880
169.000000,176.912188
157.000000,169.530808
149.000000,158.340999
163.000000,150.404056
143.000000,166.650816
145.000000,144.455008
144.000000,147.336462
147.000000,146.258611
179.000000,148.634371
221.000000,185.067619
200.000000,236.269405
214.000000,210.516288
253.000000,227.456864
278.000000,280.816527
276.000000,313.984243
290.000000,313.543199
280.000000,331.968046
223.000000,317.538579
205.000000,245.064567
198.000000,226.361984
179.000000,215.787901
199.000000,192.407253
