E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.449988,0.414267,0.107571,0.142495
10,3,0.8,6,0.447872,0.394733,0.107778,0.144852
10,3,0.8,7,0.475484,0.425229,0.105048,0.141155
10,3,0.8,8,0.487323,0.362119,0.103856,0.148703
10,3,0.8,9,0.490206,0.365575,0.103563,0.148300
10,3,0.8,10,0.519343,0.330376,0.100560,0.152358
10,3,0.8,11,0.520354,0.366618,0.100455,0.148178
10,3,0.8,12,0.529859,0.346676,0.099454,0.150492
10,3,0.8,13,0.554838,0.345228,0.096776,0.150659
10,3,0.8,14,0.588675,0.293461,0.093025,0.156502
10,3,0.8,15,0.598270,0.225287,0.091934,0.163878
