REAL,ESTIMATE
0.603632,0.430734
0.342949,0.432171
0.342949,0.365314
0.450855,0.430745
0.328526,0.394928
0.081731,0.218238
0.074252,0.212424
0.259081,0.314612
0.459936,0.374934
0.284188,0.399491
0.195513,0.260214
0.158654,0.305741
0.263889,0.255885
0.308226,0.291362
0.358974,0.326998
0.348825,0.348610
0.320513,0.230590
0.352030,0.338951
0.510684,0.349186
0.485577,0.352711
0.247062,0.375357
0.380876,0.318744
0.322650,0.369163
0.332265,0.308514
0.467415,0.292687
0.440705,0.414273
0.546474,0.418191
0.793803,0.530810
0.808761,0.756233
0.698184,0.654222
0.540064,0.554751
0.518162,0.493938
0.183226,0.408066
0.526175,0.250604
0.669338,0.338781
0.083333,0.396629
0.166667,0.171533
0.146902,0.263620
0.338675,0.289093
0.161325,0.198236
0.293269,0.319603
0.499599,0.387378
0.569044,0.444539
0.264957,0.382719
0.326389,0.252521
0.399573,0.371726
0.403312,0.354568
0.493056,0.378374
0.322115,0.355477
0.563568,0.379586
0.314103,0.424996
0.149573,0.395200
0.441774,0.389713
0.356838,0.269571
0.468483,0.420403
0.413996,0.411411
0.496261,0.534997
0.734509,0.751138
0.453526,0.544730
0.537927,0.477888
0.194979,0.436450
0.639423,0.431487
0.668803,0.514435
0.614850,0.334391
0.511752,0.441159
0.150107,0.326586
0.217415,0.272656
0.100962,0.294478
0.399573,0.303881
0.488782,0.467826
0.533120,0.444579
0.526175,0.477720
0.531784,0.445011
0.578526,0.516176
0.418269,0.399545
0.644765,0.384964
0.516560,0.457780
0.565171,0.397813
0.619658,0.366070
0.378205,0.382278
0.310363,0.316215
0.191239,0.256768
0.259882,0.275919
0.468483,0.459102
0.590812,0.715071
0.510150,0.442294
0.741453,0.606374
0.613248,0.625159
0.248932,0.251984
0.252671,0.348873
0.216346,0.396024
0.223291,0.363555
0.292201,0.315069
0.402244,0.371408
0.157585,0.308702
0.314103,0.265202
0.074786,0.200564
0.213675,0.278213
0.376068,0.238105
0.230235,0.291677
0.385684,0.399138
0.490385,0.305115
0.264423,0.384789
0.187500,0.277604
0.368590,0.316285
0.263355,0.360943
0.231838,0.338054
0.365919,0.244597
0.625625,0.461267
0.615102,0.487079
0.553076,0.583298
0.391026,0.517376
