REAL,ESTIMATE
0.247009,0.117250
0.198718,0.178008
0.080662,0.164609
0.077457,0.131071
0.086538,0.124656
0.094017,0.119178
0.265491,0.129265
0.236645,0.214348
0.151175,0.172372
0.157051,0.128296
0.153846,0.168463
0.192842,0.164284
0.076923,0.165801
0.097756,0.150187
0.120192,0.153402
0.349893,0.151592
0.269231,0.235349
0.153312,0.196523
0.247863,0.151678
0.190705,0.254773
0.283387,0.192162
0.144765,0.203839
0.185363,0.208684
0.279380,0.196928
0.103632,0.240850
0.200855,0.133212
0.215812,0.188203
0.194712,0.225397
0.178953,0.106066
0.225427,0.152232
0.172009,0.197405
0.130342,0.191419
0.372863,0.163044
0.430021,0.292403
0.285791,0.452663
0.237179,0.261842
0.319979,0.261988
0.284188,0.305922
0.313568,0.258385
0.511752,0.306833
0.550748,0.374067
0.712073,0.440660
0.505876,0.665898
0.405983,0.491034
0.317842,0.412694
0.313568,0.330643
0.291667,0.337767
0.184295,0.303687
0.313034,0.288177
0.255876,0.308244
0.262286,0.242550
0.190171,0.212691
0.283120,0.247420
0.470085,0.282580
0.494124,0.400425
0.552885,0.412092
0.479167,0.474549
0.151709,0.378286
0.262286,0.260629
0.238248,0.313055
0.174145,0.317062
0.469551,0.273278
0.690972,0.403506
0.806090,0.495117
0.777778,0.660929
0.699252,0.623066
0.572650,0.463700
0.529915,0.438888
0.402412,0.437845
0.331253,0.384269
0.442350,0.334822
0.466880,0.384025
0.247115,0.388824
0.549626,0.266610
0.526709,0.452584
0.206197,0.429181
0.265491,0.289201
0.269765,0.371138
0.094818,0.354924
0.198184,0.237626
0.379808,0.293625
0.389957,0.350152
0.471154,0.400609
0.665064,0.433186
0.582265,0.502121
0.323184,0.388782
0.231838,0.321481
0.172009,0.316510
0.186432,0.252029
0.335470,0.317942
0.543803,0.386999
0.432158,0.439610
0.403846,0.410801
0.393162,0.395240
0.288996,0.407794
0.408654,0.190947
0.316239,0.270473
0.293803,0.361284
0.318376,0.333086
0.343483,0.335018
0.445513,0.349867
0.308761,0.557470
0.234509,0.354959
0.220085,0.286728
0.187500,0.274491
0.082799,0.283651
0.146902,0.256360
0.452991,0.251595
0.346154,0.408946
0.319444,0.345311
0.565705,0.333538
0.444979,0.504119
0.135684,0.364235
0.232906,0.202202
0.285791,0.310063
0.313568,0.300809
0.563034,0.294043
0.799679,0.477953
0.817308,0.710102
0.613782,1.069131
0.444979,0.575200
0.490385,0.415227
0.560363,0.385494
0.580662,0.444688
0.366987,0.429797
0.095620,0.331728
0.124466,0.262183
0.544338,0.254508
0.638355,0.472204
0.740385,0.480243
0.584936,0.494417
0.632479,0.452362
0.699786,0.410735
0.534722,0.333441
0.294338,0.327014
0.433761,0.293210
0.166132,0.289372
0.207799,0.280172
0.684829,0.302124
0.755342,0.404078
0.543269,0.452581
