E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.621645,0.522933,0.108333,0.109866
11,2,0.8,6,0.622871,0.508806,0.108157,0.111481
11,2,0.8,7,0.626547,0.497581,0.107629,0.112747
11,2,0.8,8,0.638089,0.495887,0.105953,0.112937
11,2,0.8,9,0.655343,0.475251,0.103396,0.115225
11,2,0.8,10,0.675845,0.491859,0.100274,0.113387
11,2,0.8,11,0.688903,0.477858,0.098233,0.114939
11,2,0.8,12,0.691469,0.459473,0.097828,0.116945
11,2,0.8,13,0.695181,0.503555,0.097237,0.112075
11,2,0.8,14,0.692625,0.527270,0.097644,0.109365
11,2,0.8,15,0.704606,0.476763,0.095722,0.115059
