REAL,ESTIMATE
0.584554,0.473328
0.316245,0.471334
0.522636,0.351725
0.784953,0.426602
0.644474,0.531750
0.502663,0.510699
0.514647,0.499371
0.299601,0.513215
0.322903,0.334181
0.295606,0.377357
0.601864,0.276425
0.619174,0.581369
0.332224,0.561822
0.227031,0.465436
0.302264,0.318845
0.498003,0.357301
0.249667,0.416113
0.415446,0.335636
0.561917,0.584660
0.471372,0.483811
0.407457,0.478380
0.251332,0.186536
0.493342,0.403232
0.499334,0.395446
0.271638,0.217460
0.411451,0.294697
0.337550,0.399919
0.318908,0.364720
0.370506,0.342350
0.409454,0.433327
0.384154,0.572640
0.400133,0.255158
0.485353,0.372699
0.359521,0.476794
0.231691,0.307671
0.354194,0.274470
0.318908,0.364073
0.345539,0.349937
0.354860,0.363158
0.478695,0.314985
0.333555,0.401335
0.426764,0.287277
0.110519,0.401186
0.280959,0.197059
0.484687,0.274967
0.535952,0.430829
0.342210,0.500613
0.380826,0.360799
0.414780,0.414219
0.267643,0.308804
0.220373,0.288883
0.324234,0.343281
0.601198,0.388988
0.342876,0.488556
0.211718,0.364965
0.270306,0.280159
0.231025,0.264374
0.340213,0.242244
0.427430,0.325179
0.342876,0.531164
0.241012,0.333110
0.273635,0.293882
0.260320,0.268342
0.205060,0.343896
0.247670,0.302205
0.217044,0.227899
0.268975,0.222029
0.410120,0.331895
0.359521,0.363847
0.409454,0.315623
0.413449,0.376050
0.211718,0.383503
0.239015,0.260471
0.360186,0.257074
0.266977,0.349303
0.086551,0.295056
0.354194,0.229681
0.320240,0.379555
0.247004,0.307859
0.328895,0.277776
0.201065,0.362356
0.058589,0.291003
0.155126,0.183560
0.220373,0.241556
0.109854,0.240051
0.200399,0.219529
0.207057,0.266994
0.186418,0.258470
0.237683,0.233848
0.187084,0.267485
0.132490,0.229217
0.039281,0.203724
0.113182,0.182860
0.099867,0.192931
0.094541,0.172000
0.133822,0.195194
0.012650,0.184184
0.180426,0.154393
0.169774,0.194699
0.099867,0.181718
0.143142,0.154527
0.131158,0.167056
0.159121,0.162508
0.156458,0.159579
0.157790,0.172821
0.203728,0.162651
0.351531,0.175578
0.324234,0.218258
0.070573,0.204338
0.035952,0.138972
0.151132,0.132891
0.025965,0.158152
0.074567,0.128442
0.223702,0.146923
0.180093,0.189175
0.209720,0.164614
0.166445,0.176120
0.022636,0.165766
0.017310,0.128621
0.015979,0.142203
0.000000,0.133675
0.130493,0.127635
0.159787,0.162514
0.091212,0.167727
0.021971,0.136247
0.158455,0.123032
0.322237,0.151011
0.229694,0.182643
0.054594,0.171448
0.023302,0.120764
0.017310,0.112061
0.027297,0.113864
0.022636,0.115247
0.043941,0.111424
0.179095,0.127188
0.248336,0.135103
0.155792,0.147947
0.272304,0.118379
0.265646,0.145965
0.042610,0.148783
0.013316,0.117949
0.097870,0.110028
