REAL,ESTIMATE
0.101864,0.162424
0.041278,0.129025
0.015979,0.117907
0.077230,0.116640
0.278961,0.136491
0.033289,0.170542
0.168442,0.128072
0.041944,0.155388
0.173103,0.119343
0.157124,0.155891
0.035286,0.134121
0.093209,0.129417
0.350200,0.119269
0.390146,0.193540
0.233688,0.175418
0.099867,0.170551
0.197736,0.119769
0.275632,0.171202
0.338216,0.159228
0.293609,0.226092
0.237683,0.174048
0.159121,0.209283
0.211718,0.138652
0.252996,0.216067
0.245672,0.188385
0.185087,0.258226
0.257656,0.191720
0.353862,0.260926
0.176431,0.262246
0.332889,0.240600
0.378162,0.294730
0.358189,0.332777
0.356192,0.306343
0.312250,0.336083
0.147803,0.316917
0.160453,0.245106
0.243342,0.264927
0.264314,0.297363
0.171105,0.305505
0.396804,0.263951
0.207723,0.376114
0.252996,0.258866
0.525300,0.294513
0.422770,0.405601
0.436751,0.374519
0.280293,0.348264
0.401465,0.346987
0.276964,0.311156
0.099867,0.307114
0.054594,0.257307
0.304261,0.234065
0.348202,0.309268
0.324900,0.333466
0.332224,0.326008
0.178429,0.343254
0.272969,0.267018
0.103862,0.284207
0.231025,0.264173
0.325566,0.293698
0.213715,0.354575
0.412783,0.295630
0.304927,0.329015
0.233688,0.305379
0.195073,0.267319
0.141145,0.262616
0.422770,0.241339
0.230360,0.355544
0.418775,0.275363
0.144474,0.367009
0.193742,0.231610
0.249667,0.259306
0.205726,0.261878
0.364847,0.289888
0.336218,0.321200
0.387483,0.350560
0.281625,0.312015
0.254993,0.307246
0.167111,0.275580
0.243675,0.270435
0.307257,0.293151
0.157790,0.350583
0.501332,0.247517
0.335553,0.420094
0.248336,0.315221
0.247670,0.277581
0.324900,0.292599
0.467377,0.322455
0.436751,0.378852
0.666445,0.415292
0.622503,0.480503
0.448735,0.460755
0.493342,0.362624
0.526631,0.399239
0.374168,0.432261
0.366178,0.398490
0.452064,0.398827
0.361518,0.476851
0.516644,0.388912
0.527297,0.524178
0.528628,0.521608
0.484021,0.469185
0.487350,0.560883
0.388149,0.524128
0.583222,0.347008
0.462051,0.544992
0.479361,0.455494
0.498668,0.502883
0.382157,0.427782
0.370839,0.411013
0.573236,0.408686
0.673103,0.474446
0.727031,0.543995
0.980027,0.710239
0.635819,0.782491
0.428762,0.521887
0.189182,0.429811
0.355953,0.378982
0.508128,0.411566
0.462051,0.430097
0.503995,0.407757
0.428096,0.510275
0.428096,0.459321
0.437417,0.472200
0.456724,0.445328
0.579228,0.488684
0.745672,0.729955
1.000000,0.701041
0.813582,0.690235
0.446072,0.632566
0.712383,0.619070
0.801598,0.717553
0.241678,0.500945
0.299601,0.297984
0.605193,0.254222
0.496005,0.507037
0.594208,0.447557
0.487350,0.558078
0.657790,0.471683
0.434088,0.596112
0.383489,0.539709
0.238349,0.481910
0.388149,0.386140
0.511984,0.477993
0.693742,0.514337
0.784288,0.606242
0.462051,0.535361
0.611851,0.671636
0.764647,0.712442
0.564581,0.533331
0.527297,0.454139
0.445406,0.536027
0.474035,0.445426
0.292277,0.465073
0.466711,0.401669
0.558589,0.471090
0.580559,0.431729
0.500000,0.524376
0.848868,0.769207
0.752330,0.692240
0.596538,0.565554
0.804927,0.632881
0.673103,0.664614
0.342876,0.555635
0.484687,0.482851
0.387483,0.557369
0.366844,0.360810
0.623169,0.442331
0.386152,0.449745
0.095206,0.212073
0.434754,0.332903
0.925433,0.724518
0.809587,0.681576
0.604527,0.702668
0.719707,0.489204
0.707057,0.717488
0.611185,0.501071
0.343542,0.544418
0.308921,0.359843
0.315579,0.388282
0.498668,0.251212
0.297936,0.402795
0.029294,0.244019
0.129161,0.169514
0.226365,0.245980
0.087217,0.283107
0.656458,0.586668
0.922770,0.847013
0.579228,0.549871
0.482690,0.437112
0.284288,0.279788
0.159121,0.244886
0.147137,0.234545
0.157790,0.209138
0.187750,0.204637
0.219041,0.178173
0.427430,0.196690
0.366844,0.312077
0.145806,0.267899
0.247337,0.254066
0.500666,0.247882
0.423435,0.395845
0.383489,0.331126
0.774301,0.357890
0.187750,0.459381
0.236352,0.258884
0.394141,0.233272
0.424767,0.290851
0.175766,0.279424
0.224368,0.253894
0.135153,0.288352
0.115513,0.239704
0.136485,0.239928
0.511984,0.261268
0.435419,0.437771
0.436751,0.383186
0.302929,0.456053
0.389481,0.288988
0.219041,0.190326
0.380826,0.263092
0.300266,0.419375
0.387483,0.307526
0.300932,0.361291
0.304261,0.307687
0.144141,0.311410
0.216378,0.233374
0.314913,0.314957
0.357523,0.304562
0.465379,0.452285
0.493342,0.383144
0.542610,0.454975
0.683755,0.376770
0.374168,0.394784
0.388149,0.334944
0.127164,0.366674
0.242344,0.273961
0.388149,0.337352
0.670439,0.390023
0.404128,0.596668
0.169108,0.400040
0.145806,0.308546
0.205060,0.271855
0.320240,0.283541
0.223036,0.378022
0.243675,0.377228
0.219041,0.353709
0.218375,0.338550
0.264314,0.246992
0.134487,0.245483
0.336884,0.211723
0.202397,0.295464
0.110519,0.253117
0.182091,0.220110
0.274301,0.256151
0.147803,0.300006
0.381491,0.237282
0.179095,0.327223
0.438083,0.236181
0.396138,0.319866
0.228362,0.309973
0.211718,0.271235
0.405459,0.232534
0.223036,0.378540
0.315579,0.242335
0.215047,0.345136
0.328229,0.246700
0.284953,0.339161
0.249001,0.261371
0.294274,0.329702
0.181092,0.272591
0.099201,0.309999
0.225033,0.217672
0.134487,0.310946
0.085220,0.231048
0.223036,0.245343
0.114514,0.265460
0.101864,0.224963
0.137150,0.207965
0.247004,0.234611
0.210386,0.248844
0.062583,0.246972
0.035286,0.188885
0.035952,0.178248
0.053262,0.163257
0.252330,0.164801
0.557923,0.217168
0.284953,0.292861
0.085220,0.209636
0.123169,0.136225
0.308921,0.158530
0.137150,0.189506
0.061917,0.167275
0.316911,0.141371
0.183089,0.220404
0.137816,0.152585
0.390146,0.166880
0.373502,0.230023
0.156458,0.238721
0.211052,0.169280
0.136485,0.208689
0.261984,0.174436
0.241678,0.224049
0.141145,0.222096
0.140479,0.218631
0.136485,0.189902
0.133822,0.217006
0.156458,0.184451
0.080559,0.219053
0.204394,0.174964
0.219707,0.232942
0.057923,0.210389
0.059920,0.186163
0.136485,0.160875
0.150466,0.204698
0.366844,0.182740
0.255659,0.270575
0.180426,0.206127
0.278296,0.197999
0.300266,0.200945
0.316245,0.232544
0.075233,0.221658
0.168442,0.171286
0.084554,0.189532
0.014647,0.159706
