REAL,ESTIMATE
0.110227,0.052074
0.107626,0.068110
0.037238,0.068953
0.029954,0.034079
0.056117,0.035477
0.057678,0.069486
0.041846,0.063138
0.057232,0.041791
0.057529,0.072243
0.042441,0.058352
0.001412,0.050781
0.007396,0.030019
0.028170,0.030475
0.037907,0.050403
0.044225,0.051319
0.047792,0.058338
0.046975,0.063521
0.035826,0.051669
0.033373,0.049785
0.029434,0.038668
0.044448,0.041736
0.041549,0.062521
0.013825,0.056646
0.012710,0.030338
0.014420,0.031609
0.019251,0.041667
0.037610,0.041830
0.051880,0.039258
0.025346,0.050397
0.024454,0.042252
0.045563,0.039673
0.035677,0.053454
0.017913,0.044392
0.013230,0.035680
0.021406,0.033016
0.041995,0.026759
0.067638,0.033362
0.068232,0.048268
0.058198,0.052465
0.056786,0.065098
0.053664,0.056179
0.050840,0.041454
0.064888,0.038614
0.046678,0.044421
0.041549,0.037507
0.026386,0.035346
0.021332,0.029311
0.017690,0.024982
0.043927,0.026930
0.062584,0.036829
0.036197,0.048789
0.039319,0.043158
0.042887,0.073311
0.064888,0.047604
0.083172,0.050774
0.045711,0.108976
0.026981,0.052630
0.018136,0.034250
0.018656,0.029408
0.046901,0.028879
0.074104,0.043199
0.097072,0.106056
0.104579,0.100254
0.097369,0.069041
0.122343,0.071164
0.160621,0.070441
0.155641,0.084625
0.193400,0.099776
0.123086,0.111036
0.076111,0.075854
0.047569,0.055823
0.043630,0.045371
0.050840,0.045725
0.051435,0.059364
0.041846,0.057818
0.032109,0.049195
0.042144,0.039583
0.042441,0.049654
0.059462,0.048205
0.071280,0.051688
0.110450,0.047452
0.131634,0.076274
0.117735,0.079098
0.075294,0.070057
0.010331,0.048272
0.000000,0.042712
0.011000,0.042820
0.069124,0.043262
0.058942,0.064564
0.021035,0.060228
0.016724,0.043496
0.008771,0.043721
0.018285,0.041644
0.039393,0.042310
0.018359,0.040918
0.011075,0.034005
0.018470,0.037441
0.049874,0.040835
0.069942,0.043644
0.036941,0.047258
0.005798,0.036875
0.033670,0.034575
0.011818,0.045311
0.049502,0.036227
0.054259,0.042128
0.079307,0.046107
0.058347,0.057436
0.059759,0.044391
0.082652,0.045863
0.080868,0.044295
0.023487,0.050044
0.058904,0.029621
0.048313,0.044234
0.046529,0.032913
0.073510,0.036924
0.094990,0.039560
0.106808,0.058226
0.060502,0.055944
0.048833,0.049023
0.043556,0.037456
0.055671,0.041176
0.063847,0.035050
0.085699,0.052567
0.036941,0.052090
0.025271,0.039433
0.066597,0.034505
0.096105,0.055500
0.085774,0.054704
0.075219,0.077190
0.097740,0.066894
0.075591,0.080935
0.165601,0.051989
0.037387,0.089678
0.113201,0.041510
0.040806,0.101630
0.032630,0.053172
0.088375,0.054507
0.090679,0.061801
0.091423,0.087846
