REAL,ESTIMATE
0.021109,0.055010
0.008548,0.092730
0.025792,0.047600
0.032258,0.061012
0.023264,0.050204
0.028839,0.043072
0.033224,0.044740
0.023710,0.043988
0.042292,0.048441
0.093355,0.048408
0.131113,0.082322
0.032035,0.060403
0.044894,0.026002
0.102720,0.066365
0.101828,0.091297
0.153114,0.128487
0.175190,0.125463
0.269957,0.177916
0.292924,0.268966
0.227367,0.263960
0.191765,0.200487
0.193102,0.173749
0.153263,0.156057
0.044522,0.130991
0.096105,0.046617
0.129478,0.064000
0.049651,0.057970
0.046975,0.034455
0.039393,0.060157
0.059759,0.062659
0.050617,0.077728
0.053813,0.045011
0.056990,0.035515
0.072822,0.047648
0.070091,0.071521
0.095139,0.079240
0.152966,0.102946
0.157574,0.139133
0.102720,0.153287
0.209306,0.109190
0.202839,0.204891
0.106734,0.110776
0.041103,0.099804
0.088895,0.059528
0.125985,0.081004
0.080794,0.121823
0.086145,0.093067
0.100193,0.077936
0.137877,0.104982
0.182771,0.185350
0.085997,0.091679
0.055002,0.059977
0.101903,0.060993
0.108072,0.108388
0.096849,0.099398
0.088747,0.080445
0.025940,0.098341
0.058570,0.054882
0.056117,0.063701
0.104058,0.071842
0.071280,0.110201
0.109261,0.089237
0.097220,0.145199
0.110711,0.065398
0.115059,0.113748
0.114984,0.113264
0.110599,0.124734
0.117809,0.090666
0.252416,0.118764
0.142411,0.167309
0.105099,0.107876
0.069124,0.075109
0.061766,0.073192
0.082541,0.073362
0.087260,0.111971
0.135647,0.097600
0.176602,0.121277
0.097740,0.132189
0.080497,0.088105
0.038725,0.077207
0.014494,0.076373
0.016798,0.020847
0.035008,0.037090
0.079605,0.071886
0.125836,0.081628
0.037981,0.058875
0.056043,0.058477
0.051732,0.065941
0.057232,0.057040
0.066969,0.038637
0.050022,0.062320
0.061989,0.072583
0.051360,0.088172
0.044671,0.068059
0.064367,0.067227
0.148878,0.070665
0.121600,0.126441
0.073956,0.102776
0.079976,0.071362
0.096464,0.078265
0.109969,0.103331
0.104998,0.086655
0.113944,0.101650
0.086368,0.095312
0.076260,0.079763
0.115876,0.065442
0.102646,0.111007
0.073287,0.098820
0.129404,0.089009
0.257990,0.163820
0.286681,0.238407
0.208042,0.232309
0.112309,0.128266
0.183366,0.148299
0.139810,0.136798
0.131634,0.104396
0.037238,0.047678
0.027055,0.059125
0.022670,0.041558
0.036420,0.037771
0.048982,0.055180
0.044150,0.060098
0.056489,0.056047
0.044373,0.045824
0.027055,0.050621
0.035900,0.063636
0.082652,0.055572
0.054482,0.098620
0.060577,0.060462
0.052326,0.064502
0.118998,0.099659
0.087669,0.108107
0.074848,0.084568
0.078861,0.076211
0.032704,0.081118
0.026758,0.058423
0.040657,0.053181
0.057306,0.071008
0.077821,0.055725
0.067489,0.074821
0.044522,0.069190
0.050766,0.050870
0.044819,0.048348
0.047495,0.035276
0.063624,0.041669
0.118626,0.067727
0.029359,0.103136
0.022893,0.042879
0.042441,0.059126
0.034042,0.065277
0.045488,0.094280
0.036866,0.043200
0.026461,0.036582
0.042738,0.040926
0.092389,0.051148
0.110153,0.077706
