E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.435889,0.442820,0.097825,0.108361
11,2,0.8,6,0.442168,0.442415,0.097279,0.108400
11,2,0.8,7,0.465266,0.427028,0.095244,0.109886
11,2,0.8,8,0.487955,0.433211,0.093201,0.109291
11,2,0.8,9,0.483982,0.420141,0.093562,0.110544
11,2,0.8,10,0.497781,0.396753,0.092303,0.112751
11,2,0.8,11,0.522892,0.412939,0.089966,0.111228
11,2,0.8,12,0.540362,0.392563,0.088303,0.113142
11,2,0.8,13,0.554219,0.315065,0.086962,0.120143
11,2,0.8,14,0.555983,0.433057,0.086790,0.109306
11,2,0.8,15,0.563319,0.401533,0.086070,0.112304
