REAL,ESTIMATE
0.152705,0.244638
0.183820,0.193426
0.190522,0.202084
0.131163,0.189475
0.074677,0.115312
0.109143,0.139011
0.110101,0.193864
0.174246,0.152399
0.352322,0.208512
0.246529,0.275023
0.240306,0.222761
0.184299,0.188238
0.120153,0.123546
0.090474,0.098479
0.137865,0.157038
0.146482,0.236712
0.379607,0.182214
0.290570,0.303422
0.166108,0.236780
0.169459,0.186423
0.111058,0.172125
0.167066,0.090959
0.115845,0.141846
0.265199,0.230168
0.252274,0.256782
0.044998,0.211402
0.118717,0.145292
0.105792,0.130883
0.097654,0.121166
0.170416,0.139174
0.244136,0.222135
0.158449,0.238973
0.089517,0.173036
0.279560,0.146603
0.162757,0.157601
0.103399,0.140538
0.070847,0.152172
0.192915,0.203800
0.217808,0.200961
0.216371,0.202707
0.271248,0.235186
0.271117,0.219933
0.402585,0.246846
0.305409,0.251051
0.228339,0.266409
0.213978,0.240422
0.137865,0.207211
0.109143,0.213053
0.038775,0.187534
0.113451,0.213416
0.127334,0.159840
0.196266,0.161437
0.120153,0.206261
0.143131,0.159437
0.295835,0.127492
0.344184,0.174171
0.401628,0.201937
0.291048,0.243362
0.100048,0.236698
0.194830,0.158608
0.166587,0.205692
0.124461,0.226223
0.334131,0.218962
0.486836,0.294845
0.530397,0.377391
0.641934,0.467857
0.494016,0.466855
0.378171,0.361840
0.406893,0.259541
0.459550,0.372315
0.387745,0.402196
0.242221,0.374259
0.362374,0.325052
0.221637,0.346126
0.167066,0.266867
0.290091,0.203885
0.154619,0.341455
0.199138,0.250187
0.214457,0.328317
0.101005,0.257539
0.284347,0.175764
0.438009,0.259620
0.480134,0.301408
0.575395,0.386786
0.657252,0.364261
0.606032,0.391686
0.146482,0.439338
0.025371,0.238171
0.040689,0.256051
0.249880,0.237421
0.301101,0.274505
0.311154,0.315473
0.213499,0.311396
0.179033,0.297973
0.310675,0.345309
0.286740,0.223438
0.264720,0.294668
0.228818,0.229085
0.093107,0.254612
0.179990,0.185532
0.286261,0.215507
0.290091,0.261982
0.190043,0.299937
0.159885,0.270337
0.152705,0.257219
0.165629,0.215743
0.113451,0.144795
0.231211,0.149724
0.361417,0.190209
0.274294,0.301403
0.366683,0.277452
0.420297,0.301570
0.442317,0.330324
0.145045,0.281122
0.204404,0.156420
0.303494,0.303084
0.284347,0.357653
0.453806,0.303237
0.700814,0.315938
0.651987,0.482470
0.516515,0.493407
0.211106,0.314927
0.225945,0.348114
0.380565,0.301129
0.435136,0.457191
0.291527,0.418776
0.093825,0.321205
0.116324,0.237696
0.384394,0.187040
0.433700,0.363793
0.449976,0.403461
0.380565,0.402762
0.392532,0.356818
0.459071,0.383698
0.440402,0.389610
0.250359,0.356321
0.357587,0.328438
0.171374,0.297104
0.258976,0.285493
0.543801,0.279776
0.469124,0.394821
0.426520,0.438828
