REAL,ESTIMATE
0.398277,0.277422
0.457635,0.283807
0.460986,0.395321
0.373863,0.469901
0.162757,0.341260
0.397798,0.236103
0.277166,0.416519
0.376735,0.413905
0.316419,0.352536
0.144567,0.193829
0.247008,0.251274
0.224988,0.173259
0.061273,0.136930
0.047391,0.179660
0.180469,0.204474
0.218286,0.265658
0.129727,0.288900
0.080421,0.155394
0.089995,0.148404
0.105314,0.090002
0.101484,0.132105
0.173767,0.187885
0.150790,0.221853
0.111537,0.192900
0.236955,0.162048
0.318813,0.195287
0.221637,0.280009
0.107228,0.186104
0.181905,0.182270
0.362374,0.207634
0.314983,0.284243
0.387267,0.267856
0.354715,0.307384
0.515079,0.274559
0.652465,0.350808
0.431786,0.453590
0.465773,0.361472
0.292963,0.330457
0.480613,0.389444
0.068454,0.400048
0.322642,0.237787
0.446625,0.367340
0.060316,0.350876
0.123025,0.241769
0.096697,0.234239
0.308281,0.212544
0.127334,0.228767
0.258018,0.223954
0.373863,0.272678
0.446625,0.387351
0.101484,0.376685
0.240785,0.175848
0.306367,0.286815
0.232647,0.226771
0.283868,0.305581
0.216371,0.245675
0.269986,0.244313
0.144583,0.273390
0.051683,0.126812
0.321685,0.237017
0.297750,0.311063
0.327908,0.338192
0.293442,0.287499
0.329823,0.266309
0.519866,0.299665
0.262805,0.352844
0.226903,0.247974
0.104835,0.245615
0.417903,0.235449
0.464832,0.452004
0.224014,0.364551
0.357587,0.262899
0.086166,0.312642
0.209191,0.150775
0.070847,0.215159
0.247008,0.221028
0.265677,0.291119
0.373624,0.241169
0.452370,0.375238
0.483964,0.395909
0.482049,0.488590
0.299186,0.301078
0.456199,0.302059
0.480613,0.291571
0.460986,0.506596
0.357109,0.344081
0.278124,0.304237
0.133557,0.305484
0.114888,0.205769
0.255625,0.277173
0.348492,0.273188
0.449019,0.353516
0.424605,0.390010
0.470560,0.374084
0.425562,0.439816
0.127334,0.333140
0.118956,0.208543
0.133557,0.240474
0.194830,0.284286
0.342748,0.246117
0.267113,0.174491
0.123983,0.191130
0.207276,0.204783
0.050742,0.273153
0.178076,0.164652
0.278602,0.234364
0.188128,0.284808
0.389181,0.238155
0.293442,0.285180
0.036381,0.232512
0.159885,0.136635
0.248923,0.190353
0.231211,0.268294
0.147918,0.267021
0.301580,0.235889
0.419818,0.282590
0.321685,0.376321
0.408808,0.255765
0.237913,0.305356
0.187650,0.213864
0.374342,0.320724
0.299186,0.390441
0.306367,0.290053
0.110101,0.288855
0.210148,0.229481
0.218286,0.159302
0.269986,0.300008
0.348013,0.267268
0.461465,0.320155
0.438009,0.409534
0.210148,0.365885
0.295357,0.193450
0.100527,0.260768
0.027764,0.131760
0.078028,0.203368
0.115845,0.215190
0.277645,0.194133
0.111537,0.186076
0.251795,0.178335
0.174246,0.229042
0.197702,0.160339
0.153183,0.173795
0.278124,0.138299
0.202968,0.270177
0.141216,0.176227
0.268550,0.190074
0.320249,0.224787
0.179512,0.299264
0.179033,0.207761
0.140737,0.250862
0.088559,0.223367
0.063667,0.154476
0.286261,0.188537
0.236477,0.239512
0.290091,0.206006
0.198660,0.240411
0.165629,0.164319
0.103877,0.166491
0.137865,0.076222
0.277166,0.178888
0.260890,0.234784
0.242221,0.300602
0.143609,0.219891
0.086644,0.150964
0.323600,0.136295
0.148396,0.227747
0.191479,0.200338
0.240306,0.242277
0.139780,0.253608
0.059359,0.150089
0.185256,0.098684
0.169938,0.202222
0.079943,0.116942
0.162757,0.165319
0.164672,0.210424
0.209670,0.175423
0.161800,0.174498
0.195787,0.140265
0.202011,0.172803
0.118238,0.185486
0.256103,0.186016
0.103877,0.207307
0.286740,0.179702
0.162757,0.233700
0.122068,0.164063
0.088080,0.196517
0.073719,0.141458
0.249880,0.159961
0.161800,0.185608
0.178554,0.209181
0.250120,0.168181
0.134993,0.202168
0.034466,0.140136
0.004787,0.049631
0.185256,0.153256
0.237913,0.163405
0.327908,0.222853
0.347056,0.252133
0.042604,0.271381
0.043562,0.114266
0.047870,0.049176
0.114409,0.150674
0.169938,0.178371
0.355194,0.233265
0.165629,0.278200
0.179033,0.181284
0.232169,0.194697
0.137386,0.131561
0.073241,0.125522
0.209670,0.150007
0.244136,0.274858
0.175682,0.229730
0.242700,0.202751
0.221637,0.222009
0.140737,0.167524
0.113930,0.161802
0.106989,0.178530
0.084251,0.201754
0.174246,0.181947
0.225945,0.197744
0.096218,0.191156
0.151269,0.145051
0.205840,0.154287
0.115366,0.128119
0.134035,0.145917
0.162757,0.170165
0.248444,0.180316
0.159885,0.198115
0.095261,0.179839
0.084730,0.157490
0.134035,0.128808
0.218765,0.167203
0.178076,0.187160
0.236477,0.215380
0.124461,0.217742
0.075156,0.123473
0.159646,0.102423
