E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.628413,0.437402,0.089118,0.087914
10,7,0.8,6,0.606183,0.443701,0.091745,0.087420
10,7,0.8,7,0.622249,0.425068,0.089854,0.088872
10,7,0.8,8,0.657100,0.502697,0.085609,0.082655
10,7,0.8,9,0.661411,0.501947,0.085069,0.082717
10,7,0.8,10,0.674749,0.499871,0.083377,0.082890
10,7,0.8,11,0.678960,0.499039,0.082835,0.082958
10,7,0.8,12,0.683090,0.510048,0.082301,0.082042
10,7,0.8,13,0.690484,0.508219,0.081335,0.082195
10,7,0.8,14,0.698467,0.491317,0.080279,0.083595
10,7,0.8,15,0.701927,0.469064,0.079817,0.085404
