REAL,ESTIMATE
0.150617,0.324861
0.206420,0.191689
0.385679,0.243189
0.405926,0.387636
0.334815,0.355729
0.180741,0.313888
0.232099,0.259740
0.391111,0.288140
0.183704,0.357916
0.310617,0.268424
0.384198,0.385899
0.382222,0.358519
0.349136,0.364485
0.281975,0.269295
0.352099,0.292413
0.248889,0.253890
0.187654,0.203752
0.330370,0.229047
0.290370,0.340191
0.324444,0.301087
0.333333,0.284942
0.290864,0.320345
0.236049,0.266396
0.255309,0.239911
0.348148,0.305335
0.298272,0.377586
0.321975,0.337510
0.357037,0.290935
0.321481,0.311248
0.297284,0.299159
0.258765,0.227937
0.333827,0.221975
0.456790,0.334639
0.700741,0.433237
0.194074,0.568892
0.255802,0.236190
0.366914,0.285092
0.343704,0.307057
0.332346,0.291523
0.347160,0.334500
0.330864,0.373209
0.287407,0.399287
0.198519,0.291701
0.231605,0.196493
0.405432,0.245473
0.288889,0.360671
0.219259,0.304706
0.233086,0.270988
0.151111,0.328755
0.233580,0.212904
0.292346,0.245625
0.206420,0.278169
0.144198,0.252393
0.169383,0.225758
0.162469,0.231017
0.110370,0.268814
0.187160,0.196134
0.140658,0.196741
0.185021,0.199841
0.287407,0.208550
0.256296,0.332193
0.189630,0.290204
0.230370,0.248604
0.219753,0.189974
0.143210,0.203144
0.218765,0.181774
0.243457,0.244593
0.115556,0.295102
0.222716,0.177825
0.193086,0.190427
0.169877,0.191556
0.217284,0.210516
0.119753,0.194631
0.045926,0.159424
0.101235,0.141446
0.105185,0.168589
0.068642,0.162467
0.115062,0.097892
0.297284,0.157402
0.297778,0.243878
0.277037,0.225517
0.090370,0.219130
0.062222,0.123379
0.080988,0.089887
0.149630,0.127839
0.173827,0.150938
0.071605,0.165322
0.068148,0.133625
0.030370,0.151292
0.120247,0.119139
0.213333,0.149214
0.103704,0.162240
0.078519,0.134975
0.128889,0.145412
0.129383,0.137519
0.138765,0.119363
0.138765,0.112371
0.147160,0.151823
0.247901,0.139913
0.182222,0.181023
0.080000,0.168135
0.062222,0.114472
0.085432,0.102397
0.050370,0.106199
0.060247,0.088227
0.161481,0.114376
0.161975,0.165721
0.153086,0.162250
0.121481,0.146804
0.028148,0.132144
0.015309,0.090776
0.019259,0.093557
0.000000,0.112114
0.203951,0.103412
0.215802,0.166606
0.072099,0.154133
0.007407,0.093733
0.119506,0.090716
0.223704,0.122232
0.162963,0.166537
0.007901,0.153466
0.024198,0.112874
0.034568,0.121232
0.030617,0.103873
0.041481,0.093927
0.032099,0.096954
0.094815,0.096939
0.168889,0.132840
0.110123,0.159328
0.187160,0.125296
0.121481,0.135488
0.035062,0.114181
0.020741,0.095888
0.054815,0.103121
