REAL,ESTIMATE
0.233580,0.223120
0.261235,0.190168
0.136296,0.224582
0.224691,0.152415
0.146667,0.216919
0.106667,0.187437
0.041975,0.163012
0.284444,0.153897
0.259259,0.227049
0.245432,0.241130
0.332346,0.190457
0.206914,0.287635
0.244938,0.195711
0.168395,0.201481
0.255990,0.170278
0.390924,0.236185
0.187160,0.327643
0.307160,0.181992
0.262716,0.294756
0.191111,0.220786
0.193580,0.194178
0.150617,0.182731
0.389630,0.212624
0.275062,0.368235
0.353580,0.227889
0.149630,0.349145
0.126266,0.199215
0.430277,0.179747
0.184691,0.305250
0.299259,0.235437
0.206914,0.323859
0.307160,0.223725
0.183704,0.329357
0.038519,0.219476
0.014568,0.151019
0.136790,0.157228
0.280000,0.209992
0.175802,0.337201
0.463210,0.232049
0.393086,0.451298
0.260247,0.307222
0.240000,0.201210
0.416296,0.205398
0.428148,0.317563
0.504691,0.425337
0.602469,0.378806
0.510123,0.544910
0.446420,0.398100
0.485926,0.296814
0.469136,0.349318
0.507160,0.365833
0.450370,0.407608
0.408395,0.396317
0.416790,0.443991
0.524938,0.393176
0.434074,0.377151
0.415802,0.361440
0.517037,0.386994
0.439012,0.488142
0.401975,0.431986
0.521481,0.475285
0.429630,0.533633
0.464691,0.403011
0.502222,0.409825
0.319506,0.473885
0.442963,0.408188
0.713086,0.480065
0.594568,0.711108
0.747654,0.649189
0.899753,0.716785
0.629630,0.611874
0.418272,0.663127
0.467654,0.465254
0.561481,0.530303
0.436543,0.513438
0.587160,0.486300
0.493333,0.669305
0.466173,0.587916
0.488395,0.510355
0.417778,0.424342
0.485926,0.379279
0.495802,0.452825
0.862716,0.569580
1.000000,0.864927
0.704691,0.791902
0.521975,0.726582
0.716049,0.489452
0.746173,0.680681
0.354074,0.371747
0.393086,0.452929
0.602963,0.398871
0.528395,0.362311
0.551605,0.546255
0.442469,0.496710
0.526420,0.502269
0.385185,0.442324
0.417284,0.486360
0.226173,0.408947
0.376296,0.255668
0.419259,0.492958
0.571358,0.414696
0.638025,0.552130
0.405926,0.481444
0.563951,0.526072
0.638519,0.469517
0.455802,0.330208
0.396049,0.496216
0.408395,0.425215
0.429136,0.317279
0.243951,0.289703
0.350123,0.362824
0.421235,0.385266
0.519012,0.180327
0.409383,0.479429
0.694815,0.451039
0.636543,0.576564
0.486420,0.518288
0.673086,0.492168
0.545185,0.505588
0.321481,0.301866
0.495309,0.485253
0.364444,0.495974
0.419259,0.391623
0.647407,0.545008
0.376790,0.510420
0.144198,0.333888
0.404938,0.240048
0.787654,0.751407
0.724444,0.613883
0.560988,0.543982
0.668148,0.578485
0.689383,0.554033
0.537284,0.417311
0.327901,0.143995
0.317037,0.336114
0.272099,0.352946
0.444938,0.315008
0.280988,0.430917
0.061235,0.358668
0.122963,0.187202
0.303704,0.154646
0.174815,0.399163
0.579259,0.330861
0.825185,0.586701
0.467160,0.585043
0.561481,0.485205
0.324444,0.283343
0.123704,0.137227
0.179259,0.230558
0.237531,0.246719
0.249877,0.253087
0.158519,0.264052
0.332840,0.320659
0.322963,0.315722
0.127407,0.241443
0.400000,0.207737
0.567901,0.335807
0.370864,0.480510
0.354568,0.500392
0.666667,0.390341
0.199012,0.464619
0.293827,0.232782
0.355556,0.257322
0.376790,0.299166
