E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.538093,0.442319,0.037205,0.024987
10,5,0.8,6,0.566587,0.281302,0.036039,0.028366
10,5,0.8,7,0.584713,0.270969,0.035278,0.028569
10,5,0.8,8,0.641485,0.271874,0.032778,0.028552
10,5,0.8,9,0.594743,0.421503,0.034849,0.025449
10,5,0.8,10,0.651834,0.357810,0.032301,0.026814
10,5,0.8,11,0.655146,0.471390,0.032147,0.024327
10,5,0.8,12,0.741276,0.413349,0.027845,0.025628
10,5,0.8,13,0.651689,0.428738,0.032308,0.025290
10,5,0.8,14,0.663742,0.485908,0.031744,0.023991
10,5,0.8,15,0.770472,0.461877,0.026227,0.024545
