REAL,ESTIMATE
0.097483,0.069655
0.117617,0.120801
0.030235,0.093640
0.041876,0.042860
0.106180,0.044932
0.115494,0.099764
0.146790,0.110207
0.155898,0.120929
0.253484,0.129924
0.281493,0.308724
0.210204,0.213762
0.185756,0.198592
0.176716,0.176764
0.166376,0.137436
0.032700,0.077667
0.087143,0.033326
0.127273,0.073189
0.050847,0.070271
0.048108,0.053907
0.039206,0.056345
0.067420,0.050684
0.050505,0.078651
0.059887,0.066966
0.085841,0.075876
0.080431,0.083935
0.074884,0.070772
0.097552,0.088394
0.161513,0.118848
0.160075,0.139670
0.113371,0.123279
0.230337,0.096136
0.198083,0.205587
0.102277,0.126650
0.047732,0.081714
0.094196,0.064935
0.138093,0.118342
0.095566,0.110953
0.091457,0.096229
0.108166,0.129037
0.157062,0.141542
0.187057,0.164027
0.084403,0.100261
0.053861,0.050253
0.098784,0.070663
0.112110,0.097846
0.077515,0.105174
0.095360,0.064471
0.034960,0.075489
0.069817,0.062603
0.062489,0.081084
0.114809,0.065383
0.075432,0.109762
0.119877,0.080036
0.111180,0.126255
0.121041,0.115400
0.127410,0.108406
0.123575,0.114202
0.111727,0.140906
0.134326,0.091486
0.267523,0.107785
0.156206,0.157191
0.104674,0.133473
0.065913,0.093591
0.068447,0.087750
0.085088,0.088218
0.083856,0.079422
0.129053,0.109954
0.179182,0.125010
0.099058,0.087746
0.081390,0.087306
0.042561,0.037482
0.014381,0.046395
0.021263,0.049806
0.037083,0.040771
0.083376,0.057556
0.127615,0.079055
0.040918,0.130353
0.058380,0.066814
0.060640,0.090591
0.064407,0.076430
0.070776,0.072312
0.054203,0.066650
0.067557,0.059756
0.045917,0.072548
0.046122,0.059990
0.064064,0.078139
0.145626,0.094370
0.124944,0.110009
0.073446,0.117345
0.082863,0.075688
0.078582,0.093260
0.080226,0.077438
0.093580,0.087523
0.113371,0.109399
0.090224,0.086311
0.076665,0.099793
0.105085,0.073865
0.110700,0.088557
0.079952,0.097697
0.120356,0.074844
0.236501,0.123649
0.280055,0.264209
0.199041,0.197579
0.117446,0.134928
0.186989,0.112793
0.152474,0.182413
0.130012,0.102303
0.037562,0.076157
0.031125,0.051319
0.026057,0.053237
0.039822,0.050546
0.056600,0.066020
0.051053,0.076626
0.059134,0.082348
0.043588,0.074940
0.032152,0.075199
0.035439,0.059803
0.087211,0.054700
0.056463,0.090332
0.061804,0.059552
0.054066,0.067210
0.091320,0.060558
0.086184,0.093981
0.078445,0.082365
0.079336,0.073348
0.032494,0.076602
0.026742,0.059869
0.042287,0.059260
0.059955,0.074777
0.074611,0.065523
0.071940,0.087935
0.053244,0.086942
0.054545,0.068167
0.049957,0.069502
0.051601,0.061060
0.067762,0.065933
0.092861,0.072446
0.036466,0.091430
0.024414,0.054265
0.043931,0.045990
0.035919,0.058821
0.047218,0.049438
0.048382,0.049845
0.033453,0.061093
0.039000,0.046520
0.091457,0.053563
0.111659,0.079331
0.086389,0.097186
0.116247,0.082956
0.135217,0.088637
0.072077,0.125655
0.032426,0.066423
0.022496,0.049040
0.071118,0.043242
0.084472,0.065129
0.086218,0.073396
0.029207,0.082747
0.026297,0.049364
0.013114,0.040024
0.023729,0.041890
0.050026,0.052489
0.115768,0.061495
0.082075,0.093298
0.055710,0.064550
0.043383,0.056662
0.042424,0.056421
0.024345,0.056719
0.015716,0.044267
0.012498,0.037600
0.015990,0.036062
0.076870,0.039882
0.073994,0.065244
0.057970,0.071422
0.024003,0.049605
0.028796,0.036037
0.015648,0.041073
0.039069,0.042193
0.088341,0.051703
0.124328,0.072139
0.040438,0.100967
0.043999,0.045028
0.060914,0.048380
0.046807,0.063910
0.013525,0.052959
0.021058,0.036096
0.047081,0.034344
0.017702,0.048966
0.103921,0.041193
0.123027,0.095355
0.090635,0.114545
0.064201,0.066771
0.015237,0.058196
0.013525,0.037856
0.026331,0.039588
0.036192,0.039851
0.025646,0.043252
0.030440,0.041286
0.040507,0.033973
0.025646,0.049119
0.004828,0.043876
0.020031,0.029556
0.035508,0.037168
0.050574,0.039895
0.065092,0.052593
0.072898,0.062197
0.073446,0.055317
0.039000,0.054181
0.053792,0.040159
0.051601,0.055938
0.026674,0.054112
0.018045,0.037767
0.048040,0.036162
0.047286,0.042648
0.070502,0.047805
0.026742,0.064139
0.038247,0.032296
0.039206,0.039774
0.042356,0.040359
0.039000,0.050075
0.035713,0.051784
0.023010,0.039436
0.027290,0.033987
0.029550,0.035330
0.046807,0.040942
0.062147,0.053638
0.070707,0.050944
0.024482,0.053930
0.036329,0.033741
0.049820,0.042654
0.029070,0.052591
0.026126,0.037997
0.024071,0.037577
0.026331,0.031083
0.041260,0.037991
0.046602,0.050001
0.056052,0.047407
0.060229,0.051123
0.041260,0.044362
0.039274,0.038143
0.030782,0.042621
0.038658,0.037407
0.048040,0.041493
0.056189,0.044042
0.051327,0.046490
0.062558,0.048962
0.093169,0.051931
0.052012,0.076014
0.014552,0.046982
0.025167,0.032458
0.044616,0.038258
0.063037,0.046666
0.073652,0.060935
0.059750,0.060902
0.063311,0.046953
0.088444,0.052323
0.087143,0.073360
0.090156,0.083515
0.074474,0.075901
0.059271,0.059355
0.083445,0.053515
0.058723,0.071973
0.046328,0.063591
0.051943,0.055625
0.087827,0.052425
0.089060,0.073172
0.105153,0.082738
0.086869,0.097795
0.089608,0.083604
0.113303,0.078294
0.067078,0.092460
0.135901,0.071649
0.048519,0.102461
0.051053,0.056761
0.071460,0.056129
0.051395,0.070161
0.058106,0.063512
0.085157,0.070978
0.099538,0.079623
0.100360,0.091075
0.067488,0.102719
0.091868,0.066871
0.107345,0.103121
0.046465,0.081335
0.045711,0.057268
0.069132,0.060336
0.035782,0.064295
0.024345,0.054999
0.019346,0.050998
0.064818,0.045906
0.140010,0.074780
0.037220,0.099899
0.071460,0.060580
0.045985,0.073603
0.050642,0.049534
0.070707,0.058799
0.062832,0.065099
0.074063,0.063790
0.084540,0.062704
0.075569,0.066026
0.064681,0.071270
0.039480,0.077527
0.052080,0.054092
0.069611,0.061763
0.045985,0.064803
0.026331,0.056491
0.048451,0.051883
0.062352,0.054587
0.041397,0.066405
0.029002,0.055012
0.044753,0.049924
0.059545,0.057813
0.087827,0.060651
0.039274,0.076199
0.051738,0.049937
0.076323,0.053873
0.084198,0.062559
0.185756,0.073233
0.173018,0.110613
0.056326,0.128907
0.109673,0.053991
0.042493,0.092730
0.061462,0.052347
0.062078,0.060537
0.118165,0.060286
0.059202,0.093935
0.052286,0.069153
0.073926,0.058327
0.080979,0.096451
0.055436,0.100164
0.070433,0.058795
0.066187,0.073985
0.081048,0.060013
0.103852,0.083703
0.086732,0.101903
0.134874,0.086352
0.054477,0.097157
0.050163,0.056064
0.100360,0.063615
0.073926,0.091271
0.084198,0.070277
0.065092,0.073118
0.064749,0.062060
0.087348,0.080069
0.095566,0.101285
0.063037,0.088909
0.084951,0.084811
0.076939,0.073323
0.082007,0.080546
0.059476,0.086958
0.071392,0.069225
0.057764,0.078279
0.064544,0.060365
0.096456,0.074741
0.129396,0.103113
0.149735,0.117657
0.091457,0.078595
0.079336,0.081028
0.165143,0.084851
0.066324,0.121824
0.166102,0.068714
0.141106,0.086661
0.050916,0.093722
0.046602,0.062458
0.095155,0.062371
0.127204,0.094958
0.064064,0.109229
0.103715,0.068524
0.098442,0.080634
0.108851,0.089310
0.082349,0.084829
0.033864,0.062570
0.401404,0.063049
1.000000,0.994030
0.197809,0.005831
0.117001,0.102012
0.055367,0.091207
0.048725,0.064953
0.069406,0.019218
0.156925,0.000000
0.144393,0.120409
0.082965,0.081492
0.065160,0.066605
0.064612,0.049283
0.075775,0.000001
0.089402,0.051154
0.147338,0.085306
0.119603,0.107992
0.046191,0.056356
0.068242,0.000000
0.050916,0.087281
0.065229,0.070364
0.061668,0.073338
0.066119,0.032967
0.151447,0.000000
0.215545,0.115470
0.120562,0.127273
0.087827,0.107372
0.159117,0.093447
0.292039,0.000007
0.246636,0.258673
0.091354,0.161143
0.066393,0.076799
0.066324,0.035541
0.075775,0.000000
0.092279,0.060721
0.074679,0.080525
0.114193,0.085752
0.254511,0.071380
0.166731,0.000003
0.059634,0.060036
0.034891,0.047480
0.054340,0.064425
0.019072,0.030877
0.023386,0.000000
0.100633,0.027483
0.064201,0.090214
0.045711,0.075001
0.082897,0.021361
0.086115,0.000000
0.107824,0.076069
0.074884,0.097076
0.042219,0.070530
0.029139,0.056179
0.074987,0.051712
0.132340,0.082100
0.111590,0.150369
0.090087,0.097735
0.047903,0.073678
0.022154,0.061167
0.067899,0.041996
0.114741,0.076133
0.100976,0.104074
0.114604,0.081634
0.093374,0.141165
0.096388,0.106881
0.101250,0.101738
0.064955,0.068143
0.066393,0.070948
0.044410,0.062391
0.063859,0.038005
0.056121,0.060585
0.034480,0.071470
0.078856,0.055835
0.060572,0.085095
0.078719,0.053894
0.072077,0.085291
0.088170,0.078670
0.069817,0.075619
0.071495,0.067890
0.064955,0.074368
0.065845,0.070413
0.104126,0.064674
0.090019,0.074325
0.156309,0.078931
0.079541,0.141168
0.081185,0.074532
0.063037,0.074959
0.083308,0.071904
0.060846,0.080738
0.071049,0.068353
0.080089,0.071124
0.064955,0.073947
0.045574,0.074620
0.064475,0.063384
0.056600,0.081766
0.053107,0.066271
0.060092,0.063145
0.070981,0.062936
0.058928,0.073157
0.055710,0.068711
0.049615,0.064932
0.050916,0.062039
0.059476,0.059496
0.058175,0.059695
0.048177,0.066650
0.046191,0.055219
0.045300,0.056099
0.053929,0.056978
0.067420,0.062303
0.074679,0.070564
0.063037,0.064900
0.069611,0.059852
0.114672,0.065097
0.044342,0.082791
0.054408,0.059362
0.065502,0.056384
0.061873,0.059378
0.037220,0.059287
0.030440,0.052799
0.048040,0.049118
0.028180,0.055642
0.047286,0.046322
0.050437,0.056205
0.058380,0.062500
0.059955,0.059862
0.014415,0.057022
0.015169,0.036630
0.031741,0.040261
0.034275,0.048214
0.043451,0.047621
0.049204,0.050617
0.074063,0.046662
0.061668,0.059382
0.042013,0.059753
0.047766,0.044696
0.041123,0.050623
0.049478,0.043399
0.009964,0.049415
0.012087,0.035765
0.022702,0.033376
0.033864,0.039894
0.010443,0.038763
0.044136,0.035082
0.095703,0.047989
0.067762,0.068252
0.013799,0.054833
0.014141,0.030669
0.043999,0.030776
0.029687,0.043630
0.031193,0.041582
0.043041,0.041587
0.053039,0.038542
0.034686,0.044771
0.018935,0.042349
0.023523,0.035915
0.022976,0.037618
0.040096,0.033086
0.054272,0.040816
0.051464,0.050068
0.104948,0.045495
0.087280,0.075129
0.068379,0.064262
0.043999,0.056833
0.037973,0.045279
0.043178,0.042377
0.044616,0.048457
0.052491,0.045477
0.058038,0.049968
0.045780,0.050751
0.029070,0.043176
0.042972,0.042580
0.077281,0.045237
0.072898,0.066051
0.048930,0.062998
0.057353,0.048574
0.100633,0.055182
0.093991,0.080631
