REAL,ESTIMATE
44.000000,41.790539
40.000000,44.665607
39.000000,40.211138
41.000000,39.382517
44.000000,41.440306
55.000000,43.906875
61.000000,54.082991
57.000000,60.465110
56.000000,57.592723
55.000000,56.749880
64.000000,55.746103
113.000000,65.419859
117.000000,122.688262
111.000000,124.057487
126.000000,113.135848
133.000000,127.899236
160.000000,133.134596
179.000000,159.114471
172.000000,183.579472
170.000000,173.796357
173.000000,158.188556
176.000000,160.865855
167.000000,166.201684
169.000000,161.827582
175.000000,163.529890
160.000000,171.203218
146.000000,158.131955
146.000000,143.866646
146.000000,149.464824
165.000000,150.160912
173.000000,172.153053
171.000000,182.560710
175.000000,181.182397
186.000000,187.669529
169.000000,199.315772
91.000000,177.169458
62.000000,91.257440
65.000000,63.565545
59.000000,68.957162
60.000000,64.516450
69.000000,65.955727
97.000000,77.656222
106.000000,108.205859
138.000000,112.200477
160.000000,133.955442
154.000000,154.076520
138.000000,148.354937
117.000000,129.231285
118.000000,107.128375
145.000000,109.615534
131.000000,142.781381
111.000000,126.887844
98.000000,105.002162
72.000000,93.549262
46.000000,70.244403
60.000000,46.632971
58.000000,55.343418
63.000000,54.649781
86.000000,64.379072
81.000000,80.977971
83.000000,72.104697
72.000000,72.300731
61.333333,59.948000
50.666667,48.879796
40.000000,41.474740
34.000000,35.109691
44.000000,34.639818
52.000000,41.735746
27.000000,47.658384
34.000000,31.038686
47.000000,34.515425
45.000000,41.941378
42.000000,39.359743
43.000000,37.711207
41.000000,39.689001
43.000000,37.327471
49.000000,39.104521
51.000000,42.276852
52.000000,43.711088
56.000000,44.902244
49.000000,47.791565
44.000000,43.251761
41.000000,40.742397
47.000000,37.498857
49.000000,39.596253
67.000000,41.021629
65.000000,54.373233
67.000000,53.550586
75.000000,55.732759
61.000000,60.861028
72.000000,49.340112
83.000000,58.170269
77.000000,72.483356
78.000000,65.532191
75.000000,67.824936
72.000000,66.098313
79.000000,64.810231
80.000000,70.950116
82.000000,68.121431
83.000000,71.913058
85.000000,78.538432
95.000000,78.571004
110.000000,91.482604
111.000000,111.384449
112.000000,114.232352
99.000000,114.813901
85.000000,95.872206
92.000000,82.009200
96.000000,88.602180
112.000000,90.265041
115.000000,109.059182
104.000000,113.640288
83.000000,102.969635
87.000000,81.346926
100.000000,84.045343
134.000000,99.081960
143.000000,135.649435
151.000000,147.767649
156.000000,152.349159
159.000000,158.754883
167.000000,164.081129
161.000000,173.062057
156.000000,162.678392
145.000000,151.010027
128.000000,141.938220
133.000000,126.139030
150.000000,134.144503
141.000000,153.940416
127.000000,142.157310
122.000000,125.162154
136.000000,119.496119
184.000000,136.055385
227.000000,195.843546
196.000000,247.922043
213.000000,209.662481
228.000000,234.042445
255.000000,251.648177
251.000000,282.059517
253.000000,277.298440
230.000000,282.873954
210.000000,263.325938
198.000000,245.760177
178.000000,223.053921
178.000000,203.922630
178.000000,206.973876
166.000000,213.401507
163.000000,195.858250
166.000000,194.884018
181.000000,198.358447
180.000000,216.600628
178.000000,206.840227
175.000000,203.082267
174.000000,201.049219
169.000000,203.528889
162.000000,192.150653
166.000000,184.161094
133.000000,190.861447
156.000000,158.004884
212.000000,178.902828
190.000000,246.879050
134.000000,219.461130
120.000000,156.260603
97.000000,137.388196
83.000000,112.495989
63.000000,99.979967
61.000000,78.169990
53.000000,78.013116
53.000000,82.076040
48.000000,77.938796
50.000000,65.988609
52.000000,62.721741
50.000000,60.254862
51.000000,57.800264
61.000000,55.551377
55.000000,62.880586
53.000000,63.751186
61.000000,59.960453
52.000000,61.340105
64.000000,52.903525
68.500000,59.944362
73.000000,64.011518
68.000000,65.948475
67.000000,63.246549
60.000000,67.545803
58.000000,61.402965
70.000000,58.487768
65.000000,63.441103
62.000000,60.395273
51.000000,58.370634
50.000000,51.459944
37.000000,48.457096
39.000000,43.179148
36.000000,43.275670
35.000000,41.321836
35.000000,39.995767
40.000000,39.928131
45.000000,43.189675
51.000000,47.026952
52.000000,48.229288
51.000000,48.964826
46.000000,48.366833
47.000000,46.325912
43.000000,45.718233
34.000000,43.242142
34.000000,37.081397
42.000000,35.723285
48.000000,40.951057
50.000000,46.456431
42.000000,46.273639
37.000000,38.983712
39.000000,35.351068
46.000000,35.912204
51.000000,40.229033
51.000000,43.869922
43.000000,43.903024
42.000000,39.616000
38.000000,38.337413
37.000000,34.567904
36.000000,33.838403
41.000000,33.719806
46.000000,38.053955
53.000000,45.263774
48.000000,49.764644
44.000000,41.622846
48.000000,39.248678
54.000000,46.467306
44.000000,53.397409
42.000000,45.211934
40.000000,43.827744
51.000000,41.982249
56.000000,53.197980
51.000000,57.585688
48.000000,52.642668
38.000000,49.583498
23.000000,39.917429
31.000000,26.681272
36.000000,33.394428
40.000000,37.740044
37.000000,41.965009
34.000000,39.023962
35.000000,36.276427
39.000000,36.978302
35.000000,40.077738
41.000000,36.128915
47.000000,42.225711
49.000000,48.322181
55.000000,50.618524
63.000000,56.441037
60.000000,65.272593
56.000000,61.225967
59.000000,56.777121
59.000000,59.569641
61.000000,60.381075
61.000000,62.944941
53.000000,63.211134
48.000000,53.908700
49.000000,49.061890
45.000000,49.689130
42.000000,45.760943
47.000000,42.691675
46.000000,47.726226
47.000000,47.070820
50.000000,48.703556
50.000000,51.629460
53.000000,51.156288
55.000000,53.986263
46.000000,55.907719
49.000000,45.676427
41.000000,49.072014
52.000000,41.491792
49.000000,53.217223
52.000000,50.245520
60.000000,52.897682
67.000000,60.754045
87.000000,67.402645
107.000000,87.006808
82.000000,109.677421
