E,Tau,Smoothness
3,1,-4.188369
3,2,-3.171677
3,3,-992676514386.968872
3,4,-3.365574
3,5,-2.698197
3,6,-3.079326
3,7,-2.797190
3,8,-1073705649222.040283
3,9,-2.783515
3,10,-2.731037
4,1,-1.618960
4,2,-1.006720
4,3,-0.959796
4,4,-0.949353
4,5,-0.955884
4,6,-1.068261
4,7,-0.751911
4,8,-0.920115
4,9,-0.900366
4,10,-0.857155
5,1,-0.657711
5,2,-0.274009
5,3,-0.297241
5,4,-0.285073
5,5,-0.252851
5,6,-0.343270
5,7,-0.192915
5,8,-0.278296
5,9,-0.232301
5,10,-0.146273
6,1,-0.178535
6,2,0.000180
6,3,0.036471
6,4,0.013980
6,5,0.056321
6,6,0.050079
6,7,0.101372
