REAL,ESTIMATE
7.000000,6.775311
9.000000,9.004834
12.000000,12.001464
14.000000,25.320580
23.000000,28.885055
28.000000,32.416332
3.000000,16.247761
12.000000,14.166577
33.000000,19.354867
36.000000,28.492749
42.000000,36.182755
45.000000,33.050351
1.000000,8.091011
2.000000,9.154782
3.000000,13.710652
9.000000,16.213541
12.000000,19.601539
23.000000,19.477835
10.000000,14.215127
15.000000,12.440868
18.000000,15.779782
21.000000,20.643429
34.000000,24.217220
41.000000,31.165459
15.000000,5.038536
19.000000,16.634583
21.000000,21.706155
34.000000,27.423243
41.000000,39.694271
44.000000,45.374021
8.000000,12.903224
10.000000,13.220404
13.000000,16.695986
36.000000,23.877677
37.000000,36.807504
40.000000,44.307394
5.000000,8.298545
21.000000,10.861257
27.000000,19.802279
34.000000,32.443816
44.000000,38.953946
45.000000,37.506930
4.000000,8.057743
8.000000,11.589847
9.000000,15.570239
16.000000,19.926174
17.000000,26.132200
19.000000,27.259075
7.000000,16.453747
22.000000,15.934179
29.000000,22.455670
33.000000,26.082047
34.000000,26.831596
35.000000,17.623444
23.000000,9.714749
27.000000,23.492224
28.000000,30.555768
38.000000,34.325049
42.000000,39.064183
43.000000,35.103123
13.000000,22.383737
15.000000,16.184718
18.000000,20.187975
24.000000,27.721410
27.000000,35.267945
41.000000,42.055574
2.000000,9.837707
11.000000,13.775981
17.000000,18.842987
18.000000,25.308015
21.000000,27.194495
27.000000,31.189261
5.000000,13.040322
10.000000,16.829227
13.000000,21.684806
27.000000,24.354334
37.000000,31.867829
41.000000,36.545475
6.000000,3.799193
16.000000,11.552875
37.000000,18.364238
38.000000,33.055265
41.000000,36.062982
45.000000,35.178834
11.000000,11.008038
24.000000,12.555716
32.000000,24.000155
33.000000,31.333853
35.000000,34.641138
40.000000,36.232626
2.000000,13.324698
4.000000,14.673262
5.000000,17.744919
17.000000,19.867168
27.000000,25.758933
32.000000,30.105028
2.000000,12.521959
7.000000,10.384578
13.000000,14.230543
25.000000,22.785642
42.000000,31.829499
45.000000,39.349664
4.000000,5.087003
10.000000,8.821563
14.000000,13.835287
15.000000,21.448542
18.000000,26.474302
22.000000,28.989099
11.000000,16.794721
17.000000,18.652572
21.000000,23.492712
26.000000,25.759201
36.000000,29.004509
45.000000,27.013728
3.000000,5.159350
6.000000,12.506028
10.000000,15.363216
30.000000,20.201659
34.000000,31.346149
37.000000,38.541026
7.000000,6.726038
8.000000,11.269709
10.000000,16.005331
19.000000,24.779124
21.000000,31.039820
31.000000,32.615719
1.000000,15.388947
11.000000,12.679571
21.000000,18.091127
23.000000,27.029328
34.000000,29.420973
44.000000,36.673576
6.000000,0.473345
7.000000,12.544126
19.000000,16.674908
21.000000,24.881156
41.000000,29.800812
43.000000,44.542092
2.000000,4.920698
8.000000,9.380989
33.000000,15.005651
35.000000,26.879908
37.000000,32.434821
41.000000,39.650796
20.000000,7.448005
30.000000,14.623086
33.000000,29.135412
35.000000,32.721570
36.000000,35.124017
44.000000,34.267614
12.000000,22.759690
14.000000,18.043929
21.000000,22.061738
30.000000,29.778049
39.000000,36.767263
43.000000,48.543656
1.000000,6.852535
28.000000,10.891021
35.000000,22.757947
41.000000,29.019737
43.000000,33.301211
44.000000,25.391420
1.000000,11.316990
12.000000,10.877204
29.000000,17.349549
34.000000,28.902582
36.000000,33.230912
37.000000,38.602128
4.000000,5.495912
8.000000,13.089170
13.000000,20.360378
19.000000,26.262799
20.000000,30.693736
43.000000,31.073842
4.000000,11.038853
11.000000,11.841002
20.000000,16.582900
23.000000,24.012062
32.000000,26.813186
39.000000,40.985939
2.000000,1.102555
11.000000,12.665297
19.000000,19.515370
25.000000,26.430741
28.000000,32.911464
32.000000,37.707361
2.000000,5.245912
6.000000,14.405897
13.000000,19.289335
16.000000,25.412143
29.000000,27.212949
30.000000,33.122728
2.000000,10.302856
7.000000,12.221736
27.000000,17.195488
33.000000,28.280990
41.000000,37.674720
44.000000,41.041499
1.000000,5.257909
7.000000,8.804955
22.000000,15.826898
33.000000,25.965362
37.000000,32.819863
40.000000,42.877639
2.000000,3.430731
5.000000,10.284912
15.000000,16.206527
18.000000,25.101176
19.000000,28.027858
23.000000,28.927855
17.000000,14.414230
20.000000,16.567982
30.000000,24.317745
31.000000,26.444114
33.000000,25.184353
45.000000,25.869605
11.000000,16.108439
15.000000,16.507306
24.000000,22.512907
35.000000,30.252379
37.000000,36.612106
45.000000,45.612808
3.000000,7.758096
4.000000,11.333508
9.000000,14.700181
24.000000,20.590999
25.000000,28.629403
33.000000,32.145963
10.000000,10.721971
18.000000,12.681561
30.000000,20.733099
36.000000,33.720424
39.000000,36.895276
44.000000,38.010836
2.000000,10.064582
10.000000,11.448009
16.000000,17.890189
19.000000,24.781954
34.000000,28.371085
45.000000,38.009639
2.000000,2.905780
12.000000,10.510136
19.000000,16.115642
24.000000,22.765652
39.000000,30.283073
44.000000,40.663611
3.000000,1.124404
4.000000,10.963231
6.000000,13.867659
10.000000,17.504210
28.000000,21.891281
30.000000,29.313159
1.000000,14.118926
6.000000,10.085796
17.000000,13.334773
22.000000,21.376224
28.000000,30.842726
45.000000,33.917968
1.000000,4.173476
4.000000,9.927582
8.000000,14.061032
23.000000,18.128920
33.000000,25.879755
42.000000,34.100225
10.000000,7.231711
